date,cols_lab,ok_lab,bad_lab,ok_all,bad_all,reg_a,reg_b,reg_c,reg_d,br_a,br_b,br_c,br_d,agg_a,agg_b,n_a,n_b,n_c,n_d,same_list,added,removed
2005-02-11,248,248,0,493,716,0.732,0.732,0.687,0.732,0.76,0.76,0.314,0.763,1.166,1.166,22,22,22,22,True,0,0
2005-02-18,248,248,0,493,716,0.747,0.747,0.712,0.748,0.607,0.607,0.256,0.619,1.166,1.166,22,22,22,22,True,0,0
2005-02-28,247,247,0,493,716,0.686,0.686,0.652,0.687,0.584,0.584,0.247,0.597,1.166,1.166,22,22,18,22,True,0,0
2005-03-07,247,247,0,493,716,0.717,0.717,0.672,0.716,0.753,0.753,0.307,0.742,1.166,1.166,22,22,18,22,True,0,0
2005-03-14,248,248,0,494,715,0.664,0.664,0.619,0.663,0.756,0.756,0.308,0.746,1.1,1.1,18,18,15,18,True,0,0
2005-03-21,248,248,0,494,715,0.617,0.617,0.586,0.619,0.54,0.54,0.232,0.56,1.04,1.04,15,15,15,15,True,0,0
2005-03-29,247,247,0,495,714,0.567,0.567,0.542,0.568,0.433,0.433,0.182,0.441,1.04,1.04,15,15,15,15,True,0,0
2005-04-05,247,247,0,495,714,0.607,0.607,0.57,0.606,0.626,0.626,0.255,0.613,1.04,1.04,15,15,15,15,True,0,0
2005-04-12,247,247,0,496,713,0.658,0.658,0.617,0.655,0.684,0.684,0.276,0.663,1.1,1.1,18,18,15,18,True,0,0
2005-04-19,247,247,0,496,713,0.592,0.592,0.562,0.594,0.53,0.53,0.228,0.546,1.04,1.04,15,15,15,15,True,0,0
2005-04-26,248,248,0,497,712,0.507,0.507,0.487,0.51,0.359,0.359,0.162,0.388,1.04,1.04,15,15,11,15,True,0,0
2005-05-03,248,248,0,497,712,0.53,0.53,0.501,0.531,0.51,0.51,0.215,0.515,1.04,1.04,15,15,15,15,True,0,0
2005-05-10,248,248,0,497,712,0.532,0.532,0.508,0.534,0.423,0.423,0.184,0.444,1.04,1.04,15,15,15,15,True,0,0
2005-05-17,248,248,0,498,711,0.654,0.654,0.614,0.652,0.673,0.673,0.272,0.653,1.1,1.1,18,18,15,18,True,0,0
2005-05-24,247,247,0,498,711,0.691,0.691,0.653,0.689,0.634,0.634,0.257,0.616,1.166,1.166,22,22,18,22,True,0,0
2005-06-01,247,247,0,499,710,0.714,0.714,0.666,0.711,0.789,0.789,0.314,0.757,1.166,1.166,22,22,18,22,True,0,0
2005-06-08,246,246,0,501,708,0.715,0.715,0.68,0.715,0.607,0.607,0.255,0.61,1.166,1.166,22,22,22,22,True,0,0
