date,value
2000-01-04,99668.2038752212
2000-01-05,99904.7453708926
2000-01-06,100574.52826048354
2000-01-07,102039.36966830023
2000-01-10,104013.432367221
2000-01-11,103271.16332340529
2000-01-12,103066.29968632538
2000-01-13,104037.39065657582
2000-01-14,104436.8781861162
2000-01-18,104437.74492664536
2000-01-19,104782.40080472908
2000-01-20,104476.1239687225
2000-01-21,104430.79294001302
2000-01-24,103779.20142013604
2000-01-25,103172.43085794857
2000-01-26,102953.21761027304
2000-01-27,102436.80833965848
2000-01-28,101072.00869909044
2000-01-31,102754.04258283244
2000-02-01,103867.89947401632
2000-02-02,104619.16744641322
2000-02-03,105137.18667491536
2000-02-04,105149.1537834438
2000-02-07,105197.54006959544
2000-02-08,105228.28094452976
2000-02-09,105023.0565143401
2000-02-10,104795.3229597786
2000-02-11,104408.75191441984
2000-02-14,104404.6282292249
2000-02-15,104369.2559400844
2000-02-16,103716.75769401091
2000-02-17,105207.16813658006
2000-02-18,104952.30236428457
2000-02-22,104879.81016852372
2000-02-23,106448.0020780111
2000-02-24,106290.366584114
2000-02-25,105788.35009976274
2000-02-28,106855.52741895083
2000-02-29,107463.59328329352
2000-03-01,107559.6300028892
2000-03-02,107443.63775981
2000-03-03,109911.06012098916
2000-03-06,109672.96073068756
2000-03-07,111140.07638165246
2000-03-08,111046.00245416995
2000-03-09,111276.47130126704
2000-03-10,112333.51788376576
2000-03-13,111244.36879324836
2000-03-14,110330.43465303116
2000-03-15,112563.40079388204
2000-03-16,115336.62819820872
2000-03-17,115817.7488457746
2000-03-20,115283.45461571946
2000-03-21,115133.70609712966
2000-03-22,115716.45238496702
2000-03-23,116249.439766162
2000-03-24,116142.21575730632
2000-03-27,116564.9367659682
2000-03-28,116147.7642637445
2000-03-29,115854.42436721214
2000-03-30,115467.49928816738
2000-03-31,118183.66656150662
2000-04-03,119123.65932386396
2000-04-04,115842.29842412674
2000-04-05,116989.06034588542
2000-04-06,118179.53004588724
2000-04-07,118526.45814175278
2000-04-10,118300.85427838827
2000-04-11,118289.45852998646
2000-04-12,117990.90068646336
2000-04-13,117758.56584806363
2000-04-14,114448.73374250616
2000-04-17,118355.17805825526
2000-04-18,124068.9126657286
2000-04-19,124109.65649002546
2000-04-20,124893.16594510258
2000-04-24,125139.356099908
2000-04-25,125848.48860585576
2000-04-26,125749.55723129628
2000-04-27,125643.31354137302
2000-04-28,125272.04693063568
2000-05-01,125773.96946890622
2000-05-02,125782.50949656471
2000-05-03,125294.0816523904
2000-05-04,125110.29105655644
2000-05-05,125415.8907776214
2000-05-08,125714.7229179256
2000-05-09,124811.65285525317
2000-05-10,123866.083770875
2000-05-11,124753.50319886036
2000-05-12,125707.6036100074
2000-05-15,127551.60011203444
2000-05-16,128243.86564951952
2000-05-17,128132.21761025254
2000-05-18,128004.123125798
2000-05-19,127639.45628789924
2000-05-22,127750.41768927248
2000-05-23,124750.99163184207
2000-05-24,126305.89817831854
2000-05-25,126495.10533364578
2000-05-26,125960.12372609584
2000-05-30,128381.92255422084
2000-05-31,127689.9571882256
2000-06-01,128303.89310454424
2000-06-02,128722.79005292457
2000-06-05,128861.72558249794
2000-06-06,129791.88982418696
2000-06-07,130278.3529220989
2000-06-08,130315.6496727381
2000-06-09,130445.73541497956
2000-06-12,130573.07433389238
2000-06-13,131409.63012013477
2000-06-14,132923.4359359264
2000-06-15,131749.48978938436
2000-06-16,127848.8894423541
2000-06-19,128018.014319266
2000-06-20,128136.4536894645
2000-06-21,127831.12248846542
2000-06-22,127646.00423930626
2000-06-23,127541.00390854018
2000-06-26,127761.42071273664
2000-06-27,127833.77347245594
2000-06-28,128177.77492098528
2000-06-29,125727.2908937136
2000-06-30,126728.00125111442
2000-07-03,127215.88050177852
2000-07-05,125502.71070095102
2000-07-06,127371.57153681738
2000-07-07,127804.994346172
2000-07-10,127730.54143436466
2000-07-11,127649.41840630442
2000-07-12,127934.231889354
2000-07-13,128122.01897339772
2000-07-14,129069.40877481832
2000-07-17,128881.31243589276
2000-07-18,128757.67283723917
2000-07-19,129223.68775595116
2000-07-20,129853.7993192594
2000-07-21,129913.5971306354
2000-07-24,129691.41618302834
2000-07-25,129449.98294691142
2000-07-26,129022.18869874525
2000-07-27,128097.8103059169
2000-07-28,128598.2846984515
2000-07-31,130998.14413032802
2000-08-01,132725.0798052549
2000-08-02,132983.1798828586
2000-08-03,133601.26607224438
2000-08-04,133617.6367370619
2000-08-07,134080.9832955287
2000-08-08,134043.61647359916
2000-08-09,134127.01370216458
2000-08-10,133971.11755245578
2000-08-11,134228.13583792257
2000-08-14,134515.6965938645
2000-08-15,134402.90334273502
2000-08-16,134297.0618547933
2000-08-17,134847.00367674846
2000-08-18,134375.39372264658
2000-08-21,134923.44718886705
2000-08-22,135117.9377548868
2000-08-23,134815.8818734058
2000-08-24,135272.94585847142
2000-08-25,135247.69713776655
2000-08-28,134260.904629344
2000-08-29,133558.59994242413
2000-08-30,133607.09434767498
2000-08-31,133313.74579995373
2000-09-01,133400.19448316548
2000-09-05,133368.52180607404
2000-09-06,133218.7870487803
2000-09-07,133503.0137847252
2000-09-08,133197.20618366325
2000-09-11,133177.46283685087
2000-09-12,132521.16326990302
2000-09-13,131871.28384379015
2000-09-14,131981.87499865767
2000-09-15,131289.8783706246
2000-09-18,130155.91117933772
2000-09-19,133178.00293191406
2000-09-20,132941.85887700884
2000-09-21,129945.68244307637
2000-09-22,131559.7458196782
2000-09-25,132692.6681080204
2000-09-26,132386.19121738913
2000-09-27,132581.2016910314
2000-09-28,133215.84471976178
2000-09-29,133274.46964691288
2000-10-02,133242.2626617072
2000-10-03,133444.8898743965
2000-10-04,133558.10818775513
2000-10-05,133367.87317611408
2000-10-06,133051.02474097884
