date,value
2000-01-04,99668.20387522121
2000-01-05,99925.51174116801
2000-01-06,100902.59101044756
2000-01-07,101942.13968008259
2000-01-10,104221.21219974846
2000-01-11,103492.92027101359
2000-01-12,103372.51517963948
2000-01-13,104353.66808800667
2000-01-14,104658.38226662265
2000-01-18,104756.2766376825
2000-01-19,105062.62388175225
2000-01-20,104890.5227674017
2000-01-21,104863.62007228425
2000-01-24,104443.52639836131
2000-01-25,103585.57112929833
2000-01-26,103423.23790820575
2000-01-27,102861.52546057149
2000-01-28,101626.71238538047
2000-01-31,103291.9633878532
2000-02-01,104489.51661145032
2000-02-02,105367.75433286824
2000-02-03,105794.80693310672
2000-02-04,105860.58985231255
2000-02-07,105936.99870157818
2000-02-08,105803.8195065118
2000-02-09,105822.50909613083
2000-02-10,105527.77061199112
2000-02-11,105321.9358778024
2000-02-14,105244.44857753372
2000-02-15,105062.42870014031
2000-02-16,104471.7605983807
2000-02-17,106301.50215727018
2000-02-18,105998.54120303386
2000-02-22,105912.40608623321
2000-02-23,107628.35858449721
2000-02-24,107440.84864723313
2000-02-25,106843.8483086435
2000-02-28,107848.20216329204
2000-02-29,108447.87634704668
2000-03-01,108469.06333596651
2000-03-02,108322.80371501311
2000-03-03,111010.80130828726
2000-03-06,110855.12841650366
2000-03-07,112852.0136308916
2000-03-08,112756.28872744697
2000-03-09,112643.93554918878
2000-03-10,113973.34977160375
2000-03-13,112819.82271123021
2000-03-14,111917.92648134279
2000-03-15,114275.56503487236
2000-03-16,116959.77176648026
2000-03-17,117442.81780442761
2000-03-20,116875.94145701436
2000-03-21,116415.1560174033
2000-03-22,117025.17389427229
2000-03-23,117424.25915747223
2000-03-24,117214.82639755186
2000-03-27,117862.6655563549
2000-03-28,117446.26361253564
2000-03-29,117083.01127014637
2000-03-30,116853.54284426638
2000-03-31,119931.36290308044
2000-04-03,120971.49696739521
2000-04-04,117157.04525934116
2000-04-05,118607.56432197055
2000-04-06,119906.19134031673
2000-04-07,120230.9584284986
2000-04-10,120017.18012059253
2000-04-11,120044.53746113631
2000-04-12,120075.40605648345
2000-04-13,119993.401970337
2000-04-14,116025.58256512615
2000-04-17,120207.96343951495
2000-04-18,126661.58196071943
2000-04-19,126849.12200711248
2000-04-20,127719.5615001563
2000-04-24,128179.0050417931
2000-04-25,128407.4227352069
2000-04-26,128459.13334330136
2000-04-27,128381.4239051957
2000-04-28,128028.87982728255
2000-05-01,128427.99182401592
2000-05-02,128740.04558014704
2000-05-03,128506.58974159126
2000-05-04,128170.68857591794
2000-05-05,128356.26926723108
2000-05-08,128829.50273276819
2000-05-09,127862.10144684049
2000-05-10,126722.47887601258
2000-05-11,127449.91181253988
2000-05-12,128434.12152363158
2000-05-15,130389.38786519665
2000-05-16,131073.45317639137
2000-05-17,131100.18211013937
2000-05-18,131135.25921243615
2000-05-19,130937.85423261244
2000-05-22,131187.73801718286
