symbol,entry_date,exit_date,exit_reason,pnl,return
8035.T,2000-05-16,2000-05-22,position_stop,-696.5280546479629,-0.14571648367071344
7267.T,2000-05-16,2000-05-22,trailing_stop,17.938842513731814,0.0026643258301485098
4519.T,2000-05-16,2000-05-23,position_stop,-899.7047197875397,-0.08235530531754724
4523.T,2000-05-16,2000-05-23,position_stop,-570.5613596306723,-0.09752366543785164
6503.T,2000-05-16,2000-05-23,trailing_stop,341.8543063742908,0.029700916568764002
9983.T,2000-05-22,2000-05-24,position_stop,-1100.4390990919253,-0.12772314998295572
4523.T,2000-05-23,2000-05-24,position_stop,-1082.3260577530043,-0.0994859260212262
4523.T,2000-05-24,2000-05-26,position_stop,-1715.7878698225295,-0.10476261165421906
4568.T,2000-05-22,2000-05-29,hold_expired,2603.0269411830004,0.10198203050711639
4519.T,2000-05-23,2000-05-30,hold_expired,-171.1037622970008,-0.01795107928685876
6503.T,2000-05-23,2000-05-30,hold_expired,-165.28771544455122,-0.01442434355630813
8035.T,2000-05-24,2000-05-31,hold_expired,965.3763894700969,0.0970146423479607
4523.T,2000-05-26,2000-06-02,hold_expired,634.4297972141679,0.04042428323919578
9983.T,2000-05-29,2000-06-05,hold_expired,1309.0142586068046,0.06333278346163672
6503.T,2000-05-30,2000-06-06,hold_expired,1438.3468066767653,0.1190227834420733
4519.T,2000-05-30,2000-06-06,hold_expired,-688.997778049593,-0.05013288517520826
4568.T,2000-05-31,2000-06-07,hold_expired,368.4105308941318,0.02505959611156587
4502.T,2000-06-02,2000-06-09,hold_expired,409.1618110201248,0.02664726003284811
4523.T,2000-06-05,2000-06-09,trailing_stop,965.2104326194908,0.05360713994669555
4519.T,2000-06-06,2000-06-13,hold_expired,1639.518987927687,0.10774905692678044
6503.T,2000-06-06,2000-06-13,hold_expired,175.72580058348552,0.01656393692467229
4568.T,2000-06-07,2000-06-14,hold_expired,1466.2890911446077,0.0855725489759311
005930.KS,2000-06-09,2000-06-15,trailing_stop,-45.67116505440668,-0.002849270234795748
9983.T,2000-06-09,2000-06-16,hold_expired,944.9464707525091,0.04638607794755217
055550.KS,2000-06-14,2000-06-16,position_stop,-1442.3497823474004,-0.08992841784135938
2317.TW,2000-06-13,2000-06-20,hold_expired,-525.1979563960641,-0.033098057111324214
7201.T,2000-06-13,2000-06-20,hold_expired,407.01388260148747,0.028405702496410567
6503.T,2000-06-15,2000-06-22,hold_expired,1032.5042318024432,0.06445893335747614
055550.KS,2000-06-16,2000-06-23,hold_expired,586.1282783127742,0.05731226384729128
7011.T,2000-06-16,2000-06-23,hold_expired,-542.4352513555461,-0.027276577620941104
7201.T,2000-06-20,2000-06-27,hold_expired,1407.1291565878182,0.058928834801639546
4005.T,2000-06-20,2000-06-27,hold_expired,626.700088573084,0.04347522817899867
9983.T,2000-06-22,2000-06-29,hold_expired,831.4130959784358,0.05373781545760395
7011.T,2000-06-23,2000-06-29,trailing_stop,1379.8146449681158,0.08878145013028507
4568.T,2000-06-23,2000-06-30,hold_expired,-383.7673889254126,-0.025363960854308556
006400.KS,2000-06-27,2000-07-04,hold_expired,-230.45839875855057,-0.009693680251999796
005930.KS,2000-06-27,2000-07-04,hold_expired,85.9154721855885,0.005471597477008379
6503.T,2000-06-29,2000-07-06,hold_expired,-1075.1170069653408,-0.047333417225584304
005380.KS,2000-06-29,2000-07-06,hold_expired,1003.5872748779946,0.1032029606500672
4568.T,2000-06-30,2000-07-07,hold_expired,261.57149711040546,0.016726167774552447
006400.KS,2000-07-04,2000-07-11,hold_expired,2191.556349137084,0.09090929588159803
7011.T,2000-07-04,2000-07-11,hold_expired,-682.7903323865219,-0.04412074428979884
4005.T,2000-07-06,2000-07-13,hold_expired,-103.32183490449452,-0.004646918318851527
9983.T,2000-07-06,2000-07-13,hold_expired,-342.8729142771663,-0.025701334120240813
4568.T,2000-07-07,2000-07-14,hold_expired,630.2736793033148,0.04387405424724737
7011.T,2000-07-11,2000-07-17,position_stop,-1723.8507197843533,-0.08571802129675682
7201.T,2000-07-11,2000-07-18,hold_expired,-60.28122439659045,-0.003543054718120578
055550.KS,2000-07-13,2000-07-18,position_stop,-1751.367074983022,-0.14986751202752968
006400.KS,2000-07-13,2000-07-20,hold_expired,-1431.5871183932436,-0.07308377335611128
4568.T,2000-07-14,2000-07-21,position_stop,-1710.0283491346174,-0.09632371256125204
7011.T,2000-07-17,2000-07-24,hold_expired,-909.1232577670112,-0.05048448891008519
055550.KS,2000-07-18,2000-07-25,hold_expired,1470.2583208489252,0.12168434692553223
2914.T,2000-07-18,2000-07-25,hold_expired,812.0176175470007,0.048540741606287775
006400.KS,2000-07-20,2000-07-27,hold_expired,-898.4075961446867,-0.051923260580060436
