timestamp,total_value,cash,positions,sector_exposure,metrics,date,returns,cumulative_returns
2026-02-08 15:14:05.736569,999918.78896,918707.74896,"{'AAPL': {'sector': 'Unknown', 'shares': 292, 'entry_price': 278.12, 'current_price': 278.12, 'market_value': 81211.04000000001, 'unrealized_pnl': 0.0, 'unrealized_pnl_pct': 0.0, 'weight': 0.08121763576866713, 'stop_loss': np.float64(271.4414329310826), 'take_profit': np.float64(298.1557012067522)}}",{'Unknown': 0.08121763576866713},"{'total_value': 999918.78896, 'total_return': -8.121103999996559e-05, 'cash': 918707.74896, 'invested': 81211.04000000001, 'num_positions': 1, 'win_rate': 0, 'total_trades': 0}",2020-01-05,,
2026-02-08 15:14:08.226631,918207.96732,418426.32732,"{'AAPL': {'sector': 'Unknown', 'shares': 1797, 'entry_price': 278.12, 'current_price': 278.12, 'market_value': 499781.64, 'unrealized_pnl': 0.0, 'unrealized_pnl_pct': 0.0, 'weight': 0.5443011363305058, 'stop_loss': None, 'take_profit': None}}",{'Unknown': 0.5443011363305058},"{'total_value': 918207.96732, 'total_return': -0.08179203267999995, 'cash': 418426.32732, 'invested': 499781.64, 'num_positions': 1, 'win_rate': 0, 'total_trades': 0}",2020-01-12,-0.08171745799975028,-0.08171745799975028
2026-02-08 15:14:10.776190,917633.64952,843097.48952,"{'AAPL': {'sector': 'Unknown', 'shares': 268, 'entry_price': 278.12, 'current_price': 278.12, 'market_value': 74536.16, 'unrealized_pnl': 0.0, 'unrealized_pnl_pct': 0.0, 'weight': 0.081226489502634, 'stop_loss': np.float64(271.4414329310826), 'take_profit': np.float64(298.1557012067522)}}",{'Unknown': 0.081226489502634},"{'total_value': 917633.64952, 'total_return': -0.08236635048000002, 'cash': 843097.48952, 'invested': 74536.16, 'num_positions': 1, 'win_rate': 0.0, 'total_trades': 1}",2020-01-19,-0.0006254768205468109,-0.08229182244448419
2026-02-08 15:14:13.315098,843022.9533599999,768486.7933599999,"{'AAPL': {'sector': 'Unknown', 'shares': 268, 'entry_price': 278.12, 'current_price': 278.12, 'market_value': 74536.16, 'unrealized_pnl': 0.0, 'unrealized_pnl_pct': 0.0, 'weight': 0.08841533875551605, 'stop_loss': np.float64(271.4414329310826), 'take_profit': np.float64(298.1557012067522)}}",{'Unknown': 0.08841533875551605},"{'total_value': 843022.9533599999, 'total_return': -0.15697704664000006, 'cash': 768486.7933599999, 'invested': 74536.16, 'num_positions': 1, 'win_rate': 0.0, 'total_trades': 1}",2020-01-26,-0.08130771599213671,-0.15690857830882943
2026-02-08 15:14:15.868136,842879.9996799999,774462.4796799999,"{'AAPL': {'sector': 'Unknown', 'shares': 246, 'entry_price': 278.12, 'current_price': 278.12, 'market_value': 68417.52, 'unrealized_pnl': 0.0, 'unrealized_pnl_pct': 0.0, 'weight': 0.08117112759345906, 'stop_loss': np.float64(271.4414329310826), 'take_profit': np.float64(298.1557012067522)}}",{'Unknown': 0.08117112759345906},"{'total_value': 842879.9996799999, 'total_return': -0.15712000032000012, 'cash': 774462.4796799999, 'invested': 68417.52, 'num_positions': 1, 'win_rate': 0.0, 'total_trades': 2}",2020-02-02,-0.00016957270194162266,-0.15705154359918938
2026-02-08 15:14:18.544010,842743.1646399999,774325.6446399998,"{'AAPL': {'sector': 'Unknown', 'shares': 246, 'entry_price': 278.12, 'current_price': 278.12, 'market_value': 68417.52, 'unrealized_pnl': 0.0, 'unrealized_pnl_pct': 0.0, 'weight': 0.08118430723698171, 'stop_loss': np.float64(271.4414329310826), 'take_profit': np.float64(298.1557012067522)}}",{'Unknown': 0.08118430723698171},"{'total_value': 842743.1646399999, 'total_return': -0.15725683536000015, 'cash': 774325.6446399998, 'invested': 68417.52, 'num_positions': 1, 'win_rate': 0.0, 'total_trades': 3}",2020-02-09,-0.00016234225518696466,-0.15718838975260785
2026-02-08 15:14:21.544802,842606.3295999998,774188.8095999998,"{'AAPL': {'sector': 'Unknown', 'shares': 246, 'entry_price': 278.12, 'current_price': 278.12, 'market_value': 68417.52, 'unrealized_pnl': 0.0, 'unrealized_pnl_pct': 0.0, 'weight': 0.0811974911611203, 'stop_loss': np.float64(271.4414329310826), 'take_profit': np.float64(298.1557012067522)}}",{'Unknown': 0.0811974911611203},"{'total_value': 842606.3295999998, 'total_return': -0.15739367040000019, 'cash': 774188.8095999998, 'invested': 68417.52, 'num_positions': 1, 'win_rate': 0.0, 'total_trades': 4}",2020-02-16,-0.00016236861447405104,-0.15732523590602632
2026-02-08 15:14:24.310470,842469.4945599998,774051.9745599998,"{'AAPL': {'sector': 'Unknown', 'shares': 246, 'entry_price': 278.12, 'current_price': 278.12, 'market_value': 68417.52, 'unrealized_pnl': 0.0, 'unrealized_pnl_pct': 0.0, 'weight': 0.08121067936796064, 'stop_loss': np.float64(271.4414329310826), 'take_profit': np.float64(298.1557012067522)}}",{'Unknown': 0.08121067936796064},"{'total_value': 842469.4945599998, 'total_return': -0.15753050544000022, 'cash': 774051.9745599998, 'invested': 68417.52, 'num_positions': 1, 'win_rate': 0.0, 'total_trades': 5}",2020-02-23,-0.00016239498232228922,-0.15746208205944479
2026-02-08 15:14:27.314056,842332.6595199998,773915.1395199997,"{'AAPL': {'sector': 'Unknown', 'shares': 246, 'entry_price': 278.12, 'current_price': 278.12, 'market_value': 68417.52, 'unrealized_pnl': 0.0, 'unrealized_pnl_pct': 0.0, 'weight': 0.08122387185958987, 'stop_loss': np.float64(271.4414329310826), 'take_profit': np.float64(298.1557012067522)}}",{'Unknown': 0.08122387185958987},"{'total_value': 842332.6595199998, 'total_return': -0.15766734048000025, 'cash': 773915.1395199997, 'invested': 68417.52, 'num_positions': 1, 'win_rate': 0.0, 'total_trades': 6}",2020-03-01,-0.00016242135873600905,-0.15759892821286325
2026-02-08 15:14:29.965510,842195.8244799997,773778.3044799997,"{'AAPL': {'sector': 'Unknown', 'shares': 246, 'entry_price': 278.12, 'current_price': 278.12, 'market_value': 68417.52, 'unrealized_pnl': 0.0, 'unrealized_pnl_pct': 0.0, 'weight': 0.08123706863809649, 'stop_loss': np.float64(271.4414329310826), 'take_profit': np.float64(298.1557012067522)}}",{'Unknown': 0.08123706863809649},"{'total_value': 842195.8244799997, 'total_return': -0.15780417552000028, 'cash': 773778.3044799997, 'invested': 68417.52, 'num_positions': 1, 'win_rate': 0.0, 'total_trades': 7}",2020-03-08,-0.00016244774371920734,-0.15773577436628172
