date,portfolio_value,cash,positions_count,closed_count
2000-01-03,101379.38223938365,5000.0,5,0
2000-01-04,96323.29820161793,2061.328316295484,8,2
2000-01-05,95040.82554452565,3554.4194686561677,8,7
2000-01-06,98423.17474002417,2818.742923648244,8,12
2000-01-07,103559.66691064367,2819.494840832922,9,16
2000-01-10,102505.57992405565,3475.2379365174966,8,22
2000-01-11,100777.5243396283,2432.676800579309,9,26
2000-01-12,100728.76328338798,3612.9454863267165,8,32
2000-01-13,103326.25300135717,2341.2513008584465,9,36
2000-01-14,103673.37927148276,3915.403556920979,8,42
2000-01-18,103940.42132794601,1724.4375151893082,11,44
2000-01-19,104464.53677908244,1069.3670484556133,13,47
2000-01-20,103903.59178624174,1117.8421010410239,14,51
2000-01-21,102303.76642629762,1279.8638612274226,13,57
2000-01-24,101488.24003368196,935.7143448305924,14,61
2000-01-25,102912.64807868707,912.5280054411305,15,65
2000-01-26,100919.52523882886,1126.6818280231364,14,71
2000-01-27,99978.51633049542,988.9663406655527,14,76
2000-01-28,95331.77135609326,1183.4477082585763,13,82
2000-01-31,96562.46827354204,1119.830956504753,13,87
2000-02-01,98208.90018446655,952.3128655863366,14,91
2000-02-02,99474.53742374959,1067.8019419120037,14,96
2000-02-03,105666.17312640573,1061.1226948215594,14,101
2000-02-04,104870.96358624147,1264.897735921133,13,107
2000-02-07,104766.9294545385,1149.8397384838681,13,112
2000-02-08,108884.46558957407,976.3867251214924,14,116
2000-02-09,107832.7994258292,1272.8322479775143,13,122
2000-02-10,106463.26480705365,661.6476502014311,15,125
2000-02-11,105245.81089423544,1246.0414083491996,14,131
2000-02-14,103933.36730300894,871.4837896218314,14,136
2000-02-15,104894.95112862778,917.6794265362814,15,140
2000-02-16,106032.83562895795,877.5197351920501,15,145
2000-02-17,104999.66533918996,906.7896544326113,15,150
2000-02-18,101915.41546806614,849.5587884951774,15,155
2000-02-22,101668.27639956643,669.1348175313378,16,159
2000-02-23,103163.34338374299,159.37544089738003,20,160
2000-02-24,102596.45337334422,590.6464674695408,19,166
2000-02-25,98890.04816218438,449.2383680389871,18,172
2000-02-28,98701.81096379302,317.9663038466151,20,175
2000-02-29,100586.15148059053,481.76559361064574,19,181
2000-03-01,101344.86987861284,402.26493259080576,19,186
2000-03-02,95996.21118842646,388.27842152849234,20,190
2000-03-03,99339.5670720851,470.48523164478456,19,196
2000-03-06,96764.99313706311,499.8726757829936,18,202
2000-03-07,95397.30096647415,335.17476763059904,20,205
