date,portfolio_value,cash,positions_value,positions_count
2000-01-03,97685.34251175061,5000.000000000005,92685.34251175061,10
2000-01-04,94455.75351319881,22420.83783548752,72034.9156777113,10
2000-01-05,96036.68001469292,19902.996061539285,76133.68395315362,10
2000-01-06,97308.9901441551,24144.569720644584,73164.42042351053,10
2000-01-07,99699.76668174125,26791.874873060282,72907.89180868097,10
2000-01-10,99439.40999324677,29595.778446221066,69843.6315470257,10
2000-01-11,98099.84996486238,30806.872010622672,67292.97795423972,10
2000-01-12,97564.46874576324,27057.027835866036,70507.44090989721,10
2000-01-13,99968.76965767039,27095.658251591583,72873.11140607881,10
2000-01-14,99958.17558615722,32406.061008867517,67552.1145772897,10
2000-01-18,98326.12432766476,34686.24741808417,63639.8769095806,10
2000-01-19,98545.9758570219,35293.27687934082,63252.69897768108,10
2000-01-20,97840.72290095093,35542.403160081034,62298.31974086989,10
2000-01-21,96894.88156000146,35791.07977698243,61103.80178301903,10
2000-01-24,95995.23148909913,36994.564074153524,59000.667414945594,10
2000-01-25,97072.41763911096,36153.882008543296,60918.53563056766,10
2000-01-26,97851.56452105756,35565.770013702844,62285.794507354716,10
2000-01-27,98545.62999621814,36233.939782074485,62311.69021414366,10
2000-01-28,96563.74106550406,35034.663722525926,61529.07734297813,10
2000-01-31,97816.08838813173,36326.001342282194,61490.087045849534,10
2000-02-01,99654.67448148652,35653.46494247436,64001.209539012154,10
2000-02-02,99133.26643177896,35996.76447560704,63136.50195617192,10
2000-02-03,99581.00742306007,36218.12501126332,63362.88241179675,10
2000-02-04,99729.55158698394,37095.814920036435,62633.73666694751,10
2000-02-07,99859.23078206883,35913.13553230658,63946.09524976225,10
2000-02-08,100944.92296064104,37102.06485199688,63842.85810864416,10
2000-02-09,99420.93416582415,37880.32693865757,61540.607227166576,10
2000-02-10,98787.10205408357,37786.8817511282,61000.22030295538,10
2000-02-11,98665.70515797425,36890.12611791809,61775.57904005617,10
2000-02-14,97365.09262852912,37082.391567984436,60282.70106054469,10
2000-02-15,98506.99794655928,36865.12104738309,61641.87689917618,10
2000-02-16,99218.0968066029,36999.21324658739,62218.88356001551,10
2000-02-17,98575.74291855092,36656.27941144094,61919.463507109984,10
2000-02-18,97182.57023179924,35511.84101065642,61670.72922114283,10
2000-02-22,96792.89611933031,36246.546401201485,60546.34971812883,10
2000-02-23,97114.3763749771,36296.74413559735,60817.63223937975,10
2000-02-24,95701.47167328352,36285.798365096634,59415.673308186895,10
2000-02-25,93998.23209282021,36201.80848841964,57796.42360440057,10
2000-02-28,95259.73320189802,36201.80848841964,59057.92471347839,10
2000-02-29,95545.71760538258,36247.27406246038,59298.44354292219,10
2000-03-01,96292.49688682193,36247.27406246038,60045.222824361554,10
2000-03-02,94659.08158641224,36382.3941579303,58276.68742848194,10
2000-03-03,95880.17988338412,36382.3941579303,59497.785725453825,10
2000-03-06,95067.86892452712,36502.430034584395,58565.43888994273,10
2000-03-07,93702.25577436908,36502.430034584395,57199.8257397847,10
2000-03-08,93376.34452377334,36381.52087854313,56994.82364523021,10
2000-03-09,94448.42574159185,36381.52087854313,58066.90486304872,10
2000-03-10,93957.76187450899,36312.41213696038,57645.3497375486,10
2000-03-13,94814.73930584788,36331.41428954435,58483.32501630352,10
2000-03-14,93727.57746310945,36331.41428954435,57396.1631735651,10
2000-03-15,97956.37112660476,36548.92765233674,61407.44347426802,10
2000-03-16,101767.72320787901,36990.246776350614,64777.4764315284,10
2000-03-17,101884.69255270975,36990.246776350614,64894.44577635914,10
