date,portfolio_value,cash,positions_count,regime_mult
2000-01-03,98845.5282194265,28750.0,10,0.75
2000-01-04,96167.10935103871,8265.625,20,0.75
2000-01-05,97364.77288286346,12438.943960966197,25,0.75
2000-01-06,100020.5623796074,16899.126978731947,24,0.75
2000-01-07,103763.63255665771,13976.24791278108,23,0.75
2000-01-10,102743.12660502618,11926.770060545838,26,0.75
2000-01-11,102082.25909594784,16050.551851033133,25,0.75
2000-01-12,101778.87642031893,13705.113426500247,25,0.75
2000-01-13,103594.59152459592,12911.01051323312,26,0.75
2000-01-14,105069.16415178907,15436.761629304394,25,0.75
2000-01-18,104096.63897407493,14076.384111253441,26,0.75
2000-01-19,104515.91749531071,7422.137083017242,33,0.75
2000-01-20,103523.93249949678,8106.343545505707,37,0.75
2000-01-21,101127.47908273463,9949.407100949335,36,0.75
2000-01-24,97920.49087112921,8237.110159301294,36,0.75
2000-01-25,99533.9562487549,7444.770457229538,38,0.75
2000-01-26,99370.96781025201,8993.35695757519,37,0.75
2000-01-27,99353.86090852943,8064.577756046718,37,0.75
2000-01-28,97589.98616477796,6382.605567426484,40,0.75
2000-01-31,99998.24516762212,9686.501454988844,37,0.75
2000-02-01,101714.70031476094,16218.658328105135,35,0.5
2000-02-02,101124.24864872829,21345.037583937432,31,0.5
2000-02-03,101064.49183703485,27481.637370216144,27,0.5
2000-02-04,100229.5261060115,27868.338125641043,26,0.5
2000-02-07,100693.9194038624,14733.487222948968,26,0.75
2000-02-08,101833.12642911143,13786.362376509227,26,0.75
2000-02-09,99469.05484771785,12964.604393099871,27,0.75
2000-02-10,98737.62762274934,12976.420579333819,27,0.75
2000-02-11,98146.02095948324,13725.377365528184,26,0.75
2000-02-14,97357.03510652996,13353.197323836988,26,0.75
2000-02-15,98872.06264736537,15243.281033176972,24,0.75
2000-02-16,97409.94015016993,11885.711164272114,27,0.75
2000-02-17,95869.73633776416,15342.675265949558,24,0.75
2000-02-18,93862.80436748647,11504.873269777476,27,0.75
