date,portfolio_value,cash,n_positions,leverage,drawdown,regime_score,crash_active,max_positions,rebalance_today,n_trend_holdings
2002-07-30,100025.91269841269,100025.91269841269,0,1.0,0.0,1.0,False,4,True,0
2002-07-31,100051.83211150479,100051.83211150479,0,1.0,0.0,1.0,False,4,True,0
2002-08-01,100077.12299128853,100077.12299128853,0,1.0,0.0,1.0,False,4,True,0
2002-08-02,100102.42026404466,100102.42026404466,0,1.0,0.0,1.0,False,4,True,0
2002-08-05,100127.72393138918,100127.72393138918,0,1.0,0.0,1.0,False,4,True,0
2002-08-06,100153.0339949385,100153.0339949385,0,1.0,0.0,1.0,False,4,True,0
2002-08-07,100178.35045630943,100178.35045630943,0,1.0,0.0,1.0,False,4,True,0
2002-08-08,100203.67331711922,100203.67331711922,0,1.0,0.0,1.0,False,4,True,0
2002-08-09,100229.00257898548,100229.00257898548,0,1.0,0.0,1.0,False,4,True,0
2002-08-12,100254.33824352629,100254.33824352629,0,1.0,0.0,1.0,False,4,True,0
2002-08-13,100279.68031236007,100279.68031236007,0,1.0,0.0,1.0,False,4,True,0
2002-08-14,100305.0287871057,100305.0287871057,0,1.0,0.0,1.0,False,4,True,0
2002-08-15,100330.38366938243,100330.38366938243,0,1.0,0.0,1.0,False,4,True,0
2002-08-16,100355.74496080997,100355.74496080997,0,1.0,0.0,1.0,False,4,True,0
2002-08-19,100381.1126630084,100381.1126630084,0,1.0,0.0,1.0,False,4,True,0
2002-08-20,100406.48677759821,100406.48677759821,0,1.0,0.0,1.0,False,4,True,0
2002-08-21,100431.86730620032,100431.86730620032,0,1.0,0.0,1.0,False,4,True,0
2002-08-22,100457.25425043606,100457.25425043606,0,1.0,0.0,1.0,False,4,True,0
2002-08-23,100482.64761192714,100482.64761192714,0,1.0,0.0,1.0,False,4,True,0
2002-08-26,100508.0473922957,100508.0473922957,0,1.0,0.0,1.0,False,4,True,0
2002-08-27,100533.4535931643,100533.4535931643,0,1.0,0.0,1.0,False,4,True,0
2002-08-28,100558.8662161559,100558.8662161559,0,1.0,0.0,1.0,False,4,True,0
2002-08-29,100584.28526289387,100584.28526289387,0,1.0,0.0,1.0,False,4,True,0
2002-08-30,100609.710735002,100609.710735002,0,1.0,0.0,1.0,False,4,True,0
2002-09-03,100635.14263410446,100635.14263410446,0,1.0,0.0,1.0,False,4,True,0
2002-09-04,100660.58096182585,100660.58096182585,0,1.0,0.0,1.0,False,4,True,0
2002-09-05,100686.0257197912,100686.0257197912,0,1.0,0.0,1.0,False,4,True,0
2002-09-06,100711.47690962593,100711.47690962593,0,1.0,0.0,1.0,False,4,True,0
2002-09-09,100736.93453295586,100736.93453295586,0,1.0,0.0,1.0,False,4,True,0
2002-09-10,100762.39859140724,100762.39859140724,0,1.0,0.0,1.0,False,4,True,0
2002-09-11,100787.86908660673,100787.86908660673,0,1.0,0.0,1.0,False,4,True,0
2002-09-12,100813.3460201814,100813.3460201814,0,1.0,0.0,1.0,False,4,True,0
2002-09-13,100838.82939375873,100838.82939375873,0,1.0,0.0,1.0,False,4,True,0
2002-09-16,100864.3192089666,100864.3192089666,0,1.0,0.0,1.0,False,4,True,0
2002-09-17,100889.8154674333,100889.8154674333,0,1.0,0.0,1.0,False,4,True,0
2002-09-18,100915.31817078758,100915.31817078758,0,1.0,0.0,1.0,False,4,True,0
2002-09-19,100940.82732065853,100940.82732065853,0,1.0,0.0,1.0,False,4,True,0
2002-09-20,100966.3429186757,100966.3429186757,0,1.0,0.0,1.0,False,4,True,0
2002-09-23,100991.86496646903,100991.86496646903,0,1.0,0.0,1.0,False,4,True,0
2002-09-24,101017.3934656689,101017.3934656689,0,1.0,0.0,1.0,False,4,True,0
2002-09-25,101042.92841790605,101042.92841790605,0,1.0,0.0,1.0,False,4,True,0
2002-09-26,101068.46982481169,101068.46982481169,0,1.0,0.0,1.0,False,4,True,0
2002-09-27,101094.01768801741,101094.01768801741,0,1.0,0.0,1.0,False,4,True,0
2002-09-30,101119.57200915522,101119.57200915522,0,1.0,0.0,1.0,False,4,True,0
2002-10-01,101144.93215578608,101144.93215578608,0,1.0,0.0,1.0,False,4,True,0
2002-10-02,101170.29866258071,101170.29866258071,0,1.0,0.0,1.0,False,4,True,0
2002-10-03,101195.67153113418,101195.67153113418,0,1.0,0.0,1.0,False,4,True,0
2002-10-04,101221.05076304199,101221.05076304199,0,1.0,0.0,1.0,False,4,True,0
2002-10-07,101246.43635990002,101246.43635990002,0,1.0,0.0,1.0,False,4,True,0
2002-10-08,101271.82832330457,101271.82832330457,0,1.0,0.0,1.0,False,4,True,0
2002-10-09,101297.22665485232,101297.22665485232,0,1.0,0.0,1.0,False,4,True,0
2002-10-10,101322.63135614037,101322.63135614037,0,1.0,0.0,1.0,False,4,True,0
2002-10-11,101348.04242876619,101348.04242876619,0,1.0,0.0,1.0,False,4,True,0
2002-10-14,101373.45987432769,101373.45987432769,0,1.0,0.0,1.0,False,4,True,0
2002-10-15,101398.88369442316,101398.88369442316,0,1.0,0.0,1.0,False,4,True,0
2002-10-16,101424.31389065129,101424.31389065129,0,1.0,0.0,1.0,False,4,True,0
2002-10-17,101449.75046461116,101449.75046461116,0,1.0,0.0,1.0,False,4,True,0
2002-10-18,101475.1934179023,101475.1934179023,0,1.0,0.0,1.0,False,4,True,0
2002-10-21,101500.64275212456,101500.64275212456,0,1.0,0.0,1.0,False,4,True,0
2002-10-22,101526.09846887828,101526.09846887828,0,1.0,0.0,1.0,False,4,True,0
2002-10-23,101551.56056976413,101551.56056976413,0,1.0,0.0,1.0,False,4,True,0
2002-10-24,101577.02905638321,101577.02905638321,0,1.0,0.0,1.0,False,4,True,0
2002-10-25,101602.50393033703,101602.50393033703,0,1.0,0.0,1.0,False,4,True,0
2002-10-28,101627.98519322749,101627.98519322749,0,1.0,0.0,1.0,False,4,True,0
2002-10-29,101653.4728466569,101653.4728466569,0,1.0,0.0,1.0,False,4,True,0
2002-10-30,101678.96689222797,101678.96689222797,0,1.0,0.0,1.0,False,4,True,0
2002-10-31,101704.4673315438,101704.4673315438,0,1.0,0.0,1.0,False,4,True,0
2002-11-01,101729.9338072923,101729.9338072923,0,1.0,0.0,1.0,False,4,True,0
2002-11-04,101755.40665976547,101755.40665976547,0,1.0,0.0,1.0,False,4,True,0
2002-11-05,101780.88589056005,101780.88589056005,0,1.0,0.0,1.0,False,4,True,0
2002-11-06,101806.37150127313,101806.37150127313,0,1.0,0.0,1.0,False,4,True,0
2002-11-07,101831.86349350221,101831.86349350221,0,1.0,0.0,1.0,False,4,True,0
