date,portfolio_value,cash,n_positions,leverage,drawdown,regime_score,crash_active,max_positions,above_sma_today
2001-08-27,100027.85714285714,100027.85714285714,0,1.0,0.0,0.0,False,1,False
2001-08-28,100055.72204591837,100055.72204591837,0,1.0,0.0,0.0,False,1,False
2001-08-29,100083.59471134545,100083.59471134545,0,1.0,0.0,0.0,False,1,False
2001-08-30,100111.47514130075,100111.47514130075,0,1.0,0.0,0.0,False,1,False
2001-08-31,100139.36333794726,100139.36333794726,0,1.0,0.0,0.0,False,1,False
2001-09-04,100167.25930344855,100167.25930344855,0,1.0,0.0,0.0,False,1,False
2001-09-05,100195.1630399688,100195.1630399688,0,1.0,0.0,0.0,False,1,False
2001-09-06,100223.07454967279,100223.07454967279,0,1.0,0.0,0.0,False,1,False
2001-09-07,100250.99383472592,100250.99383472592,0,1.0,0.0,0.0,False,1,False
2001-09-10,100278.92089729416,100278.92089729416,0,1.0,0.0,0.0,False,1,False
2001-09-17,100306.85573954412,100306.85573954412,0,1.0,0.0,0.0,False,1,False
2001-09-18,100334.79836364299,100334.79836364299,0,1.0,0.0,0.0,False,1,False
2001-09-19,100362.74877175858,100362.74877175858,0,1.0,0.0,0.0,False,1,False
2001-09-20,100390.70696605928,100390.70696605928,0,1.0,0.0,0.0,False,1,False
2001-09-21,100418.67294871411,100418.67294871411,0,1.0,0.0,0.0,False,1,False
2001-09-24,100446.64672189268,100446.64672189268,0,1.0,0.0,0.0,False,1,False
2001-09-25,100474.62828776521,100474.62828776521,0,1.0,0.0,0.0,False,1,False
2001-09-26,100502.61764850252,100502.61764850252,0,1.0,0.0,0.0,False,1,False
2001-09-27,100530.61480627603,100530.61480627603,0,1.0,0.0,0.0,False,1,False
2001-09-28,100558.61976325778,100558.61976325778,0,1.0,0.0,0.0,False,1,False
2001-10-01,100586.6724258346,100586.6724258346,0,1.0,0.0,0.0,False,1,False
2001-10-02,100614.7329142137,100614.7329142137,0,1.0,0.0,0.0,False,1,False
2001-10-03,100642.80123057826,100642.80123057826,0,1.0,0.0,0.0,False,1,False
2001-10-04,100670.87737711203,100670.87737711203,0,1.0,0.0,0.0,False,1,False
2001-10-05,100698.96135599937,100698.96135599937,0,1.0,0.0,0.0,False,1,False
2001-10-08,100727.05316942527,100727.05316942527,0,1.0,0.0,0.0,False,1,False
2001-10-09,100755.15281957532,100755.15281957532,0,1.0,0.0,0.0,False,1,False
2001-10-10,100783.2603086357,100783.2603086357,0,1.0,0.0,0.0,False,1,False
2001-10-11,100811.37563879322,100811.37563879322,0,1.0,0.0,0.0,False,1,False
2001-10-12,100839.49881223531,100839.49881223531,0,1.0,0.0,0.0,False,1,False
2001-10-15,100867.62983115,100867.62983115,0,1.0,0.0,0.0,False,1,False
2001-10-16,100895.76869772591,100895.76869772591,0,1.0,0.0,0.0,False,1,False
2001-10-17,100923.9154141523,100923.9154141523,0,1.0,0.0,0.0,False,1,False
2001-10-18,100952.06998261902,100952.06998261902,0,1.0,0.0,0.0,False,1,False
2001-10-19,100980.23240531655,100980.23240531655,0,1.0,0.0,0.0,False,1,False
2001-10-22,101008.40268443598,101008.40268443598,0,1.0,0.0,0.0,False,1,False
2001-10-23,101036.58082216898,101036.58082216898,0,1.0,0.0,0.0,False,1,False
2001-10-24,101064.76682070787,101064.76682070787,0,1.0,0.0,0.0,False,1,False
2001-10-25,101092.96068224555,101092.96068224555,0,1.0,0.0,0.0,False,1,False
2001-10-26,101121.16240897556,101121.16240897556,0,1.0,0.0,0.0,False,1,False
2001-10-29,101149.37200309204,101149.37200309204,0,1.0,0.0,0.0,False,1,False
2001-10-30,101177.58946678972,101177.58946678972,0,1.0,0.0,0.0,False,1,False
2001-10-31,101205.814802264,101205.814802264,0,1.0,0.0,0.0,False,1,False
2001-11-01,101233.8070454851,101233.8070454851,0,1.0,0.0,0.0,False,1,False
2001-11-02,101261.80703100521,101261.80703100521,0,1.0,0.0,0.0,False,1,False
2001-11-05,101289.81476096578,101289.81476096578,0,1.0,0.0,0.0,False,1,False
2001-11-06,101317.8302375088,101317.8302375088,0,1.0,0.0,0.0,False,1,False
2001-11-07,101345.85346277687,101345.85346277687,0,1.0,0.0,0.0,False,1,False
2001-11-08,101373.8844389132,101373.8844389132,0,1.0,0.0,0.0,False,1,False
2001-11-09,101401.92316806158,101401.92316806158,0,1.0,0.0,0.0,False,1,False
2001-11-12,101429.96965236639,101429.96965236639,0,1.0,0.0,0.0,False,1,False
2001-11-13,101458.02389397261,101458.02389397261,0,1.0,0.0,0.0,False,1,False
2001-11-14,101486.08589502583,101486.08589502583,0,1.0,0.0,0.0,False,1,False
2001-11-15,101514.15565767219,101514.15565767219,0,1.0,0.0,0.0,False,1,False
2001-11-16,101542.23318405847,101542.23318405847,0,1.0,0.0,0.0,False,1,False
2001-11-19,101570.31847633199,101570.31847633199,0,1.0,0.0,0.0,False,1,False
2001-11-20,101598.41153664072,101598.41153664072,0,1.0,0.0,0.0,False,1,False
2001-11-21,101626.5123671332,101626.5123671332,0,1.0,0.0,0.0,False,1,False
2001-11-23,101654.62096995855,101654.62096995855,0,1.0,0.0,0.0,False,1,False
2001-11-26,101682.7373472665,101682.7373472665,0,1.0,0.0,0.0,False,1,False
2001-11-27,101710.8615012074,101710.8615012074,0,1.0,0.0,0.0,False,1,False
2001-11-28,101738.99343393213,101738.99343393213,0,1.0,0.0,0.0,False,1,False
2001-11-29,101767.13314759223,101767.13314759223,0,1.0,0.0,0.0,False,1,False
2001-11-30,101795.2806443398,101795.2806443398,0,1.0,0.0,0.0,False,1,False
2001-12-03,101823.43592632754,101823.43592632754,0,1.0,0.0,0.0,False,1,False
2001-12-04,101851.59899570874,101851.59899570874,0,1.0,0.0,0.0,False,1,False
2001-12-05,101879.76985463731,101879.76985463731,0,1.0,0.0,0.0,False,1,False
2001-12-06,101907.94850526775,101907.94850526775,0,1.0,0.0,0.0,False,1,False
2001-12-07,101936.13494975511,101936.13494975511,0,1.0,0.0,0.0,False,1,False
2001-12-10,101964.3291902551,101964.3291902551,0,1.0,0.0,0.0,False,1,False
2001-12-11,101992.531228924,101992.531228924,0,1.0,0.0,0.0,False,1,False
2001-12-12,102020.74106791866,102020.74106791866,0,1.0,0.0,0.0,False,1,False
2001-12-13,102048.95870939657,102048.95870939657,0,1.0,0.0,0.0,False,1,False
2001-12-14,102077.18415551579,102077.18415551579,0,1.0,0.0,0.0,False,1,False
2001-12-17,102105.417408435,102105.417408435,0,1.0,0.0,0.0,False,1,False
2001-12-18,102133.65847031344,102133.65847031344,0,1.0,0.0,0.0,False,1,False
2001-12-19,102161.90734331099,102161.90734331099,0,1.0,0.0,0.0,False,1,False
2001-12-20,102190.1640295881,102190.1640295881,0,1.0,0.0,0.0,False,1,False
2001-12-21,102218.4285313058,102218.4285313058,0,1.0,0.0,0.0,False,1,False
2001-12-24,102246.70085062577,102246.70085062577,0,1.0,0.0,0.0,False,1,False
2001-12-26,102274.98098971025,102274.98098971025,0,1.0,0.0,0.0,False,1,False
2001-12-27,102303.2689507221,102303.2689507221,0,1.0,0.0,0.0,False,1,False
2001-12-28,102331.56473582474,102331.56473582474,0,1.0,0.0,0.0,False,1,False
2001-12-31,102359.86834718223,102359.86834718223,0,1.0,0.0,0.0,False,1,False
2002-01-02,102386.47378915342,102386.47378915342,0,1.0,0.0,0.0,False,1,False
2002-01-03,102413.08614642797,102413.08614642797,0,1.0,0.0,0.0,False,1,False
2002-01-04,102439.70542080334,102439.70542080334,0,1.0,0.0,0.0,False,1,False
2002-01-07,102466.3316140774,102466.3316140774,0,1.0,0.0,0.0,False,1,False
2002-01-08,102492.96472804852,102492.96472804852,0,1.0,0.0,0.0,False,1,False
2002-01-09,102519.60476451553,102519.60476451553,0,1.0,0.0,0.0,False,1,False
2002-01-10,102546.25172527773,102546.25172527773,0,1.0,0.0,0.0,False,1,False
2002-01-11,102572.9056121349,102572.9056121349,0,1.0,0.0,0.0,False,1,False
2002-01-14,102599.56642688726,102599.56642688726,0,1.0,0.0,0.0,False,1,False
2002-01-15,102626.23417133553,102626.23417133553,0,1.0,0.0,0.0,False,1,False
2002-01-16,102652.90884728085,102652.90884728085,0,1.0,0.0,0.0,False,1,False
