label,final_value,cagr,sharpe,max_dd,vol,trades,win_rate,stops,blocks,d_cagr,d_sharpe,d_maxdd
BASELINE,8313069.145217617,0.18461898262905718,0.8910093862261041,-0.28529110434006044,0.20720206260791055,5457,0.5539673813450614,9,0,0.0,0.0,0.0
Z-only z>1.0,287484.1184938173,0.04130341238136381,0.5465058197495904,-0.1605438327741607,0.0755772599096732,775,0.5187096774193548,3,46472,-0.14331557024769337,-0.3445035664765137,0.12474727156589974
Z-only z>1.5,878983.9758135783,0.0868758890161645,0.6526139136435911,-0.25786178379895736,0.13311988482000034,2712,0.5420353982300885,7,25640,-0.09774309361289268,-0.23839547258251303,0.027429320541103086
Z-only z>2.0,1641156.7538307253,0.11319962636607284,0.6485117415349724,-0.31501251579057604,0.17455293268575045,4137,0.5501571186850375,8,12342,-0.07141935626298435,-0.24249764469113178,-0.0297214114505156
Z-only z>2.5,2390724.534633637,0.1293664872887632,0.6589751159848556,-0.38426177915109644,0.19631467736899533,4696,0.5445059625212947,10,6538,-0.05525249534029397,-0.23203427024124856,-0.098970674811036
Z-only z>3.0,2949231.8262130865,0.13849080626760646,0.7068705592758061,-0.4301757097839585,0.19592102747848386,5073,0.5470136014192786,9,3450,-0.04612817636145072,-0.18413882695029804,-0.14488460544389808
Vol-only >1.5x,3909023.1697633984,0.15085124946134898,0.7104065262957167,-0.30953727144485604,0.21234496570285594,5200,0.5384615384615384,10,2028,-0.0337677331677082,-0.1806028599303875,-0.024246167104795602
Vol-only >2.0x,6519708.583555159,0.17363733544134474,0.8268039494694518,-0.2903582958979029,0.21001028787146617,5437,0.5471767518852308,8,620,-0.01098164718771244,-0.06420543675665236,-0.005067191557842465
Vol-only >2.5x,6455399.565422749,0.17319152457765274,0.8542375422401154,-0.32048580861615583,0.20274398631963989,5425,0.551705069124424,9,236,-0.011427458051404438,-0.03677184398598876,-0.03519470427609539
Vol-only >3.0x,7079040.686121963,0.17734559194557287,0.8811604157538907,-0.2988809648459817,0.20126368454016633,5452,0.5502567865003668,9,104,-0.007273390683484315,-0.009848970472213447,-0.013589860505921258
Gap-only >1%,2876010.7083284813,0.13739432729930812,0.7592553826940069,-0.4304139623908186,0.1809593062242147,4837,0.5441389290882779,12,4528,-0.047224655329749066,-0.1317540035320972,-0.14512285805075814
Gap-only >2%,2568190.4304908738,0.1324701856305206,0.6833026370650397,-0.4164582475422701,0.19386751703390764,5175,0.5418357487922705,11,1508,-0.052148796998536584,-0.20770674916106446,-0.13116714320220968
Gap-only >3%,2068373.3988098644,0.12311468431203898,0.6296587182954881,-0.4350526074303169,0.19552605361411568,5244,0.5480549199084668,12,674,-0.0615042983170182,-0.261350667930616,-0.14976150309025643
Gap-only >4%,3727553.32863836,0.1487564332106519,0.7494807064361553,-0.3595682238777444,0.19847933633675702,5317,0.5476772616136919,10,360,-0.035862549418405276,-0.14152867978994887,-0.07427711953768396
Z>1.5+Vol>1.5x,4787100.734271736,0.15982411641534133,0.742238322736092,-0.2873922631800665,0.215327222429295,5241,0.5399732875405457,11,1294,-0.02479486621371585,-0.14877106349001212,-0.0021011588400060566
Z>1.5+Vol>2.0x,7111229.089623794,0.17755032408685323,0.847503658989576,-0.2876162157714782,0.2094980029921464,5403,0.5511752729964834,9,380,-0.007068658542203954,-0.043505727236528124,-0.002325111431417781
Z>2.0+Vol>1.5x,4181004.331781393,0.15382200170056204,0.7179543629752897,-0.43188862593099986,0.21425038920733772,5309,0.544546995667734,10,738,-0.030796980928495143,-0.17305502325081445,-0.14659752159093942
Z>2.0+Vol>2.0x,6649468.934227191,0.17452414453243037,0.8295759946047061,-0.2819868941900076,0.21037752498562995,5357,0.5497479932798208,10,244,-0.010094838096626813,-0.06143339162139805,0.003304210150052833
Z>1.5+Gap>2%,2566114.5028927876,0.1324350873860798,0.6814447372601246,-0.4054289092362167,0.1943445743209636,5221,0.5456809040413714,11,1194,-0.052183895242977396,-0.2095646489659796,-0.12013780489615628
Z>1.5+Gap>3%,1826208.4826876284,0.11776739110351087,0.6029543820100756,-0.4202367026044593,0.19531724889519575,5242,0.54406714994277,12,536,-0.06685159152554632,-0.2880550042160286,-0.13494559826439884
Z>2.0+Gap>2%,3023253.4595373333,0.13957297864533502,0.6994127361203799,-0.3419070600167572,0.19955738784446775,5284,0.54333838001514,10,782,-0.04504600398372216,-0.19159665010572424,-0.05661595567669675
Z>2.0+Gap>3%,2410594.3999360646,0.129724810886102,0.6405669420029957,-0.43409781006175413,0.20251561918019698,5268,0.5430903568716781,11,384,-0.05489417174295519,-0.25044244422310846,-0.1488067057216937
5d-winner>P80,8586832.905686064,0.18609099994507838,0.8996281891605373,-0.2701412115790923,0.20685323357722255,5408,0.5538091715976331,10,440,0.0014720173160212013,0.008618802934433178,0.01514989276096812
5d-winner>P85,8586832.905686064,0.18609099994507838,0.8996281891605373,-0.2701412115790923,0.20685323357722255,5408,0.5538091715976331,10,440,0.0014720173160212013,0.008618802934433178,0.01514989276096812
5d-winner>P90,8586832.905686064,0.18609099994507838,0.8996281891605373,-0.2701412115790923,0.20685323357722255,5408,0.5538091715976331,10,440,0.0014720173160212013,0.008618802934433178,0.01514989276096812
5d-winner>P95,8586832.905686064,0.18609099994507838,0.8996281891605373,-0.2701412115790923,0.20685323357722255,5408,0.5538091715976331,10,440,0.0014720173160212013,0.008618802934433178,0.01514989276096812
