symbol,entry_date,exit_date,exit_reason,pnl,return
CIEN,2000-05-18,2000-05-19,position_stop,-1095.175328920392,-0.1515724039274335
GLW,2000-05-18,2000-05-22,position_stop,-960.8291932922408,-0.09839956661589638
AMD,2000-05-18,2000-05-23,position_stop,-1559.60344907332,-0.1271907514450867
MU,2000-05-18,2000-05-23,position_stop,-1184.0182281804293,-0.09847134905906575
TXN,2000-05-18,2000-05-23,position_stop,-1658.0158009588965,-0.11764426788199832
CIEN,2000-05-19,2000-05-23,position_stop,-3092.186690885405,-0.14377927651747394
NTAP,2000-05-23,2000-05-25,trailing_stop,522.0541851715305,0.05816609740605061
GLW,2000-05-22,2000-05-30,hold_expired,742.1484692540715,0.045171822930151144
CIEN,2000-05-23,2000-05-31,hold_expired,1764.580207980656,0.1998718224131758
AMD,2000-05-23,2000-05-31,trailing_stop,1327.5910160478936,0.08275496688741721
MU,2000-05-23,2000-05-31,hold_expired,3092.7685028164174,0.19805549378149287
ORCL,2000-05-25,2000-05-31,trailing_stop,1213.8569665990929,0.08180606967547195
CIEN,2000-05-31,2000-06-05,trailing_stop,775.6019958256253,0.1164466989929131
DIS,2000-05-30,2000-06-06,hold_expired,-377.26045528777286,-0.02391205221461402
MU,2000-05-31,2000-06-06,trailing_stop,1260.5626996231802,0.10186170653685846
AMD,2000-05-31,2000-06-07,trailing_stop,612.3932041952926,0.06419571865443426
C,2000-05-31,2000-06-07,hold_expired,1354.431244750603,0.06733290843913967
CIEN,2000-06-05,2000-06-12,hold_expired,777.5388968268448,0.04302873179206201
MU,2000-06-06,2000-06-13,hold_expired,1179.1747785616963,0.07054640975333365
ORCL,2000-06-06,2000-06-13,hold_expired,935.8064596239835,0.05998368312872236
AMD,2000-06-07,2000-06-14,hold_expired,-533.1793017139128,-0.03737931034482758
INTC,2000-06-07,2000-06-14,hold_expired,-319.94804788531155,-0.019415687552775538
CIEN,2000-06-12,2000-06-19,hold_expired,2079.686070929369,0.11928046124279307
MU,2000-06-13,2000-06-20,hold_expired,1893.741829790443,0.08938149041195606
ORCL,2000-06-13,2000-06-20,hold_expired,840.6596454107647,0.053335593605231026
AMD,2000-06-14,2000-06-21,hold_expired,2444.18928477844,0.1343044776119403
AMAT,2000-06-14,2000-06-21,hold_expired,1950.028535077353,0.1379488641821857
CIEN,2000-06-19,2000-06-26,hold_expired,124.01116779532083,0.0076103479853479854
AMD,2000-06-21,2000-06-26,position_stop,-1444.5476200139342,-0.0816
MU,2000-06-20,2000-06-27,hold_expired,32.74310476909378,0.0013794327256174477
GLW,2000-06-20,2000-06-27,hold_expired,659.6537838861948,0.04082381288629662
BAC,2000-06-21,2000-06-28,hold_expired,-802.075430116425,-0.04634055676582365
AMD,2000-06-26,2000-06-29,position_stop,-2381.322885820034,-0.1260974212034384
ORCL,2000-06-26,2000-07-03,hold_expired,-481.529663310047,-0.030264439977649098
MU,2000-06-27,2000-07-05,hold_expired,-1790.863002226255,-0.06945584076302355
TXN,2000-06-27,2000-07-05,position_stop,-1294.0463788900695,-0.08364660081004224
AMD,2000-06-29,2000-07-05,trailing_stop,-212.05029152653842,-0.013140983606557377
INTC,2000-06-28,2000-07-06,hold_expired,509.6564421561537,0.03207927291518196
AIG,2000-07-03,2000-07-11,hold_expired,393.1183215065575,0.024787812569491273
MU,2000-07-05,2000-07-12,hold_expired,2432.617251874447,0.12237562884564283
AMD,2000-07-05,2000-07-12,hold_expired,1885.9699801393083,0.12040531561461795
C,2000-07-05,2000-07-12,hold_expired,970.7460539448491,0.057307724431744936
GLW,2000-07-06,2000-07-13,hold_expired,741.5465443924976,0.04433656882655234
