date,reason,positions_before,portfolio_value
2000-10-19,drift_threshold,0,126813.83514687786
2000-10-20,drift_threshold,0,126851.82897447147
2000-10-23,drift_threshold,0,126889.83418513644
2000-10-24,drift_threshold,0,126927.85078228317
2000-10-25,drift_threshold,0,126965.8787693231
2000-10-26,drift_threshold,0,127003.91814966867
2000-10-27,drift_threshold,0,127041.96892673335
2000-10-30,drift_threshold,0,127080.03110393163
2000-10-31,drift_threshold,0,127118.10468467904
2000-11-01,drift_threshold,0,127156.18967239211
2000-11-02,drift_threshold,0,127193.78148243415
2000-11-03,drift_threshold,0,127231.38440592797
2000-11-06,drift_threshold,0,127268.99844615908
2000-11-07,drift_threshold,0,127306.623606414
2000-11-08,drift_threshold,0,127344.25988998018
2000-11-09,drift_threshold,0,127381.90730014606
2000-11-10,drift_threshold,0,127419.56584020107
2000-11-13,drift_threshold,0,127457.23551343557
2000-11-14,drift_threshold,0,127494.91632314093
2000-11-15,drift_threshold,0,127532.60827260948
2000-11-16,drift_threshold,0,127570.31136513452
2000-11-17,drift_threshold,0,127608.02560401033
2000-11-20,drift_threshold,0,127645.75099253215
2000-11-21,drift_threshold,0,127683.48753399622
2000-11-22,drift_threshold,0,127721.23523169971
2000-11-24,drift_threshold,0,127758.99408894083
2000-11-27,drift_threshold,0,127796.76410901871
2000-11-28,drift_threshold,0,127834.54529523347
2000-11-29,drift_threshold,0,127872.33765088623
2000-11-30,drift_threshold,0,127910.14117927905
2000-12-01,drift_threshold,0,127947.95588371498
2000-12-04,drift_threshold,0,127984.56321553727
2000-12-05,drift_threshold,0,128021.18102112394
2000-12-06,drift_threshold,0,128057.80930347164
2000-12-07,drift_threshold,0,128094.44806557792
2000-12-08,drift_threshold,0,128131.09731044112
2000-12-11,drift_threshold,0,128167.7570410605
2000-12-12,drift_threshold,0,128204.42726043613
2000-12-13,drift_threshold,0,128241.10797156898
2000-12-14,drift_threshold,0,128277.79917746085
2000-12-15,drift_threshold,0,128314.5008811144
2000-12-18,drift_threshold,0,128351.21308553316
2000-12-19,drift_threshold,0,128387.93579372152
2000-12-20,drift_threshold,0,128424.66900868472
2000-12-21,drift_threshold,0,128461.41273342888
2000-12-22,drift_threshold,0,128498.16697096094
2000-12-26,drift_threshold,0,128534.93172428875
2000-12-27,drift_threshold,0,128571.70699642098
2000-12-28,drift_threshold,0,128608.49279036718
2000-12-29,drift_threshold,0,128645.28910913775
2001-01-02,drift_threshold,0,128682.09595574398
2001-01-03,drift_threshold,0,128718.60694725523
2001-01-04,drift_threshold,0,128755.12829803591
2001-01-05,drift_threshold,0,128791.66001102523
2001-01-08,drift_threshold,0,128828.20208916329
2001-01-09,drift_threshold,0,128864.75453539097
2001-01-10,drift_threshold,0,128901.31735265002
2001-01-11,drift_threshold,0,128937.89054388301
2001-01-12,drift_threshold,0,128974.47411203336
2001-01-16,drift_threshold,0,129011.0680600453
2001-01-17,drift_threshold,0,129047.67239086393
2001-01-18,drift_threshold,0,129084.28710743514
2001-01-19,drift_threshold,0,129120.9122127057
2001-01-22,drift_threshold,0,129157.5477096232
2001-01-23,drift_threshold,0,129194.19360113605
2001-01-24,drift_threshold,0,129230.84989019352
2001-01-25,drift_threshold,0,129267.5165797457
2001-01-26,drift_threshold,0,129304.19367274352
2001-01-29,drift_threshold,0,129340.88117213876
2001-01-30,drift_threshold,0,129377.57908088402
2001-01-31,drift_threshold,0,129414.28740193277
2001-02-01,drift_threshold,0,129451.00613823927
2001-02-02,drift_threshold,0,129487.47844552425
2001-02-05,drift_threshold,0,129523.96102873707
2001-02-06,drift_threshold,0,129560.45389077294
2001-02-07,drift_threshold,0,129596.95703452788
2001-02-08,drift_threshold,0,129633.47046289871
2001-02-09,drift_threshold,0,129669.99417878309
2001-02-12,drift_threshold,0,129706.5281850795
2001-02-13,drift_threshold,0,129743.0724846872
2001-02-14,drift_threshold,0,129779.6270805063
