date,value,cash,compass_pos,rattle_pos,efa_value,drawdown,leverage,in_protection,risk_on
1999-01-04,100024.76190476191,100024.76190476191,0,0,0.0,0.0,1.0,False,True
1999-01-05,100049.52994104309,100049.52994104309,0,0,0.0,0.0,1.0,False,True
1999-01-06,100074.30411036182,100074.30411036182,0,0,0.0,0.0,1.0,False,True
1999-01-07,100099.08441423676,100099.08441423676,0,0,0.0,0.0,1.0,False,True
1999-01-08,100123.87085418694,100123.87085418694,0,0,0.0,0.0,1.0,False,True
1999-01-11,100148.6634317318,100148.6634317318,0,0,0.0,0.0,1.0,False,True
1999-01-12,100173.46214839107,100173.46214839107,0,0,0.0,0.0,1.0,False,True
1999-01-13,100198.26700568496,100198.26700568496,0,0,0.0,0.0,1.0,False,True
1999-01-14,100223.07800513398,100223.07800513398,0,0,0.0,0.0,1.0,False,True
1999-01-15,100247.89514825906,100247.89514825906,0,0,0.0,0.0,1.0,False,True
1999-01-19,100272.71843658149,100272.71843658149,0,0,0.0,0.0,1.0,False,True
1999-01-20,100297.54787162293,100297.54787162293,0,0,0.0,0.0,1.0,False,True
1999-01-21,100322.38345490543,100322.38345490543,0,0,0.0,0.0,1.0,False,True
1999-01-22,100347.22518795141,100347.22518795141,0,0,0.0,0.0,1.0,False,True
1999-01-25,100372.07307228366,100372.07307228366,0,0,0.0,0.0,1.0,False,True
1999-01-26,100396.92710942536,100396.92710942536,0,0,0.0,0.0,1.0,False,True
1999-01-27,100421.78730090008,100421.78730090008,0,0,0.0,0.0,1.0,False,True
1999-01-28,100446.65364823173,100446.65364823173,0,0,0.0,0.0,1.0,False,True
1999-01-29,100471.52615294463,100471.52615294463,0,0,0.0,0.0,1.0,False,True
1999-02-01,100497.04273101522,100497.04273101522,0,0,0.0,0.0,1.0,False,True
1999-02-02,100522.56578948659,100522.56578948659,0,0,0.0,0.0,1.0,False,True
1999-02-03,100548.09533000455,100548.09533000455,0,0,0.0,0.0,0.6531466970251342,False,True
1999-02-04,100573.63135421535,100573.63135421535,0,0,0.0,0.0,0.6824082906818795,False,True
1999-02-05,100599.17386376562,100599.17386376562,0,0,0.0,0.0,0.6735756520890573,False,True
1999-02-08,100624.72286030246,100624.72286030246,0,0,0.0,0.0,0.6793054463044039,False,True
1999-02-09,100650.27834547333,100650.27834547333,0,0,0.0,0.0,0.6476062830850475,False,True
1999-02-10,100675.84032092615,100675.84032092615,0,0,0.0,0.0,0.6659776385066066,False,True
1999-02-11,100701.40878830924,100701.40878830924,0,0,0.0,0.0,0.6280788160733523,False,True
1999-02-12,100726.98374927136,100726.98374927136,0,0,0.0,0.0,0.6410417674712083,False,True
1999-02-16,100752.56520546165,100752.56520546165,0,0,0.0,0.0,0.6956728324578991,False,True
1999-02-17,100778.1531585297,100778.1531585297,0,0,0.0,0.0,0.7009235813426303,False,True
1999-02-18,100803.74761012552,100803.74761012552,0,0,0.0,0.0,0.7010947872616956,False,True
1999-02-19,100829.34856189952,100829.34856189952,0,0,0.0,0.0,0.7817803736374637,False,True
1999-02-22,100854.95601550254,100854.95601550254,0,0,0.0,0.0,0.7061267020082493,False,True
