symbol,entry_date,exit_date,exit_reason,pnl,return
BAC,2000-06-15,2000-06-21,position_stop,-1057.496509129792,-0.08310595619650811
DIS,2000-06-15,2000-06-22,hold_expired,-243.2887534006717,-0.011936397618455158
PFE,2000-06-15,2000-06-22,hold_expired,-534.2287057469148,-0.026654003079663768
SLB,2000-06-15,2000-06-22,hold_expired,353.5915902571234,0.022914401153806354
SLB,2000-06-23,2000-06-30,hold_expired,25.536540718158502,0.0016334917146141193
GE,2000-06-23,2000-06-30,hold_expired,1343.0147108706722,0.06264900662563343
AIG,2000-06-23,2000-06-30,hold_expired,-29.404585177127124,-0.0015942851723479774
PFE,2000-06-23,2000-07-10,hold_expired,802.1674089380748,0.042173797687287594
SLB,2000-07-03,2000-07-10,position_stop,-1807.0128601544682,-0.07321476715792964
AIG,2000-07-03,2000-07-11,hold_expired,593.9710037537731,0.0247882791867533
DIS,2000-07-03,2000-07-11,position_stop,-955.8549748296763,-0.06648477445273085
JNJ,2000-07-10,2000-07-14,position_stop,-2150.613791641738,-0.08363208413664075
PFE,2000-07-10,2000-07-17,hold_expired,-550.4801118406151,-0.03567895913990469
SLB,2000-07-11,2000-07-18,hold_expired,185.1451670130807,0.009753607823250639
AIG,2000-07-11,2000-07-18,hold_expired,-312.3549221174863,-0.01852943946642341
JNJ,2000-07-14,2000-07-21,hold_expired,92.3254811052535,0.004722683974947401
PFE,2000-07-17,2000-07-24,hold_expired,556.2549577006828,0.03145502354761994
AIG,2000-07-18,2000-07-25,hold_expired,953.075425715087,0.03827892867667051
MS,2000-07-18,2000-07-25,hold_expired,526.6240655888444,0.03525187835987396
PFE,2000-07-24,2000-07-25,position_stop,-1303.9974335791271,-0.07496014248280598
INTC,2000-07-21,2000-07-28,position_stop,-1104.036153723386,-0.06560691963435758
JNJ,2000-07-25,2000-08-01,hold_expired,301.44331901289615,0.013995665249269706
PFE,2000-07-25,2000-08-01,hold_expired,513.1631465589,0.03971039447296217
C,2000-07-28,2000-08-04,hold_expired,1023.8301672084098,0.07287086184197256
AIG,2000-07-25,2000-08-08,hold_expired,2337.1090785741453,0.07878735597507061
BA,2000-08-01,2000-08-08,hold_expired,-58.59231825507095,-0.0025988761359498733
PFE,2000-08-01,2000-08-08,hold_expired,-245.67356074144033,-0.01816189738736678
JNJ,2000-08-04,2000-08-11,hold_expired,187.20950870301192,0.013227931526249835
AIG,2000-08-08,2000-08-15,hold_expired,-623.3407277316637,-0.02528211340574208
BA,2000-08-08,2000-08-15,hold_expired,-624.1197103343437,-0.02424553983056597
KO,2000-08-08,2000-08-15,hold_expired,268.2531541504378,0.017368676173750455
C,2000-08-11,2000-08-18,hold_expired,485.62070437043053,0.03235179628284613
AIG,2000-08-15,2000-08-22,hold_expired,160.4353883800601,0.007203942228463291
PFE,2000-08-15,2000-08-22,hold_expired,187.23565074939307,0.014012241973942687
KO,2000-08-18,2000-08-25,position_stop,-1017.9337487772749,-0.07157091891545364
BA,2000-08-15,2000-08-29,hold_expired,3396.966038901924,0.1071105447698925
AIG,2000-08-22,2000-08-29,hold_expired,-311.66605821912816,-0.013591740810166033
JNJ,2000-08-22,2000-08-29,hold_expired,-669.1136976337938,-0.04863338817161591
KO,2000-08-25,2000-09-01,hold_expired,-424.24449436833805,-0.03132316807162021
JNJ,2000-08-29,2000-09-06,hold_expired,89.16314444013707,0.0026462952303844367
C,2000-08-29,2000-09-06,hold_expired,-1219.6918013915056,-0.05307438723557486
