symbol,entry_date,exit_date,exit_reason,pnl,return
BAC,2000-06-15,2000-06-21,position_stop,-1057.496509129792,-0.08310595619650811
DIS,2000-06-15,2000-06-22,hold_expired,-243.2887534006717,-0.011936397618455158
PFE,2000-06-15,2000-06-22,hold_expired,-534.2287057469148,-0.026654003079663768
SLB,2000-06-15,2000-06-22,hold_expired,353.5915902571234,0.022914401153806354
SLB,2000-06-23,2000-06-30,hold_expired,25.536540718158502,0.0016334917146141193
GE,2000-06-23,2000-06-30,hold_expired,1343.0147108706722,0.06264900662563343
AIG,2000-06-23,2000-06-30,hold_expired,-29.404585177127124,-0.0015942851723479774
PFE,2000-06-23,2000-07-10,hold_expired,802.1674089380748,0.042173797687287594
SLB,2000-07-03,2000-07-10,position_stop,-1806.984829656015,-0.07321476715792964
AIG,2000-07-03,2000-07-11,hold_expired,593.9617900377729,0.0247882791867533
DIS,2000-07-03,2000-07-11,position_stop,-955.8401475464927,-0.06648477445273084
JNJ,2000-07-10,2000-07-14,position_stop,-2150.5907176200762,-0.08363208413664075
PFE,2000-07-10,2000-07-17,hold_expired,-550.4742057174078,-0.03567895913990469
SLB,2000-07-11,2000-07-18,hold_expired,185.1426303991587,0.00975360782325064
AIG,2000-07-11,2000-07-18,hold_expired,-312.3506426439423,-0.018529439466423412
JNJ,2000-07-14,2000-07-21,hold_expired,92.3243484667005,0.004722683974947401
PFE,2000-07-17,2000-07-24,hold_expired,556.2484216967763,0.03145502354761994
AIG,2000-07-18,2000-07-25,hold_expired,953.0631604228431,0.0382789286766705
MS,2000-07-18,2000-07-25,hold_expired,526.6172883727995,0.03525187835987396
PFE,2000-07-24,2000-07-25,position_stop,-1303.9814768347671,-0.07496014248280598
INTC,2000-07-21,2000-07-28,position_stop,-1104.0222556256906,-0.06560691963435757
JNJ,2000-07-25,2000-08-01,hold_expired,301.43953599998764,0.013995665249269703
PFE,2000-07-25,2000-08-01,hold_expired,513.1567065329145,0.03971039447296217
C,2000-07-28,2000-08-04,hold_expired,1023.817300708648,0.07287086184197257
AIG,2000-07-25,2000-08-08,hold_expired,2337.0797486362926,0.07878735597507061
BA,2000-08-01,2000-08-08,hold_expired,-58.59158256050805,-0.0025988761359498733
PFE,2000-08-01,2000-08-08,hold_expired,-245.67047602473565,-0.01816189738736678
JNJ,2000-08-04,2000-08-11,hold_expired,187.20715720378914,0.013227931526249837
AIG,2000-08-08,2000-08-15,hold_expired,-623.3329017323074,-0.02528211340574208
BA,2000-08-08,2000-08-15,hold_expired,-624.1118745549153,-0.024245539830565974
KO,2000-08-08,2000-08-15,hold_expired,268.2497862507991,0.017368676173750455
C,2000-08-11,2000-08-18,hold_expired,485.6146063490832,0.03235179628284613
AIG,2000-08-15,2000-08-22,hold_expired,160.43337403234761,0.007203942228463291
PFE,2000-08-15,2000-08-22,hold_expired,187.23329991078705,0.014012241973942687
KO,2000-08-18,2000-08-25,position_stop,-1017.8570748584268,-0.07157091891545364
BA,2000-08-15,2000-08-29,hold_expired,3396.923388269549,0.1071105447698925
AIG,2000-08-22,2000-08-29,hold_expired,-311.62809518956067,-0.013591740810166031
JNJ,2000-08-22,2000-08-29,hold_expired,-669.032195069054,-0.048633388171615916
KO,2000-08-25,2000-09-01,hold_expired,-424.0056649281018,-0.031323168071620215
JNJ,2000-08-29,2000-09-06,hold_expired,96.44584449634296,0.0026462952303844367
C,2000-08-29,2000-09-06,hold_expired,-1160.5646327665675,-0.053074387235574866
