date,value
1999-01-05,99783.68199299801
1999-01-06,101851.25010442593
1999-01-07,101545.33097869996
1999-01-08,102652.33813403138
1999-01-11,105832.1047033206
1999-01-12,103300.54211577715
1999-01-13,100948.75889788286
1999-01-14,99954.36160039631
1999-01-15,102474.28257513806
1999-01-19,103750.61939416829
1999-01-20,104633.35506942081
1999-01-21,101660.92201793291
1999-01-22,101322.17516481667
1999-01-25,101812.159245813
1999-01-26,105046.92088655636
1999-01-27,107162.67272184341
1999-01-28,109492.12417646837
1999-01-29,111564.14285153385
1999-02-01,108903.03326905864
1999-02-02,107154.9305789881
1999-02-03,111234.02889902517
1999-02-04,108979.0305166787
1999-02-05,107189.93872623522
1999-02-08,106960.58123052932
1999-02-09,103317.4281614407
1999-02-10,103839.2427286404
1999-02-11,107916.9109096846
1999-02-12,105073.8369336961
1999-02-16,106265.29863444364
1999-02-17,104387.30631403833
1999-02-18,105717.21008750156
1999-02-19,107209.87507087438
1999-02-22,109737.05377611848
1999-02-23,110717.62021582913
1999-02-24,111034.22970086402
1999-02-25,110097.27802772523
1999-02-26,109733.12896441598
1999-03-01,109795.23925379323
1999-03-02,109575.98752973603
1999-03-03,109599.78553998731
1999-03-04,110444.20309898502
1999-03-05,113559.3500371104
1999-03-08,114505.20512520733
1999-03-09,113520.5510450779
1999-03-10,114753.48628949832
1999-03-11,115532.34674281525
1999-03-12,112107.66122956967
1999-03-15,114899.94871238395
1999-03-16,116068.92567267506
1999-03-17,115840.92223299519
1999-03-18,119160.23788229567
1999-03-19,118461.98512504443
1999-03-22,119793.77225235298
1999-03-23,116288.12330023415
1999-03-24,114941.80880767228
1999-03-25,118458.75927031992
1999-03-26,118059.18687887474
1999-03-29,120757.60527351548
1999-03-30,122458.17512668765
1999-03-31,121557.92278964189
1999-04-01,122808.69466567547
1999-04-05,126904.64035826107
1999-04-06,128597.67210493766
1999-04-07,129023.35364037153
1999-04-08,131090.8297773727
1999-04-09,132041.93519303246
1999-04-12,132977.11175618588
1999-04-13,135486.78891023857
1999-04-14,130725.18996967998
1999-04-15,126292.96515690057
1999-04-16,125035.78955346553
1999-04-19,117888.63757894016
1999-04-20,119890.08992201161
1999-04-21,122809.97860916465
1999-04-22,123806.8110122483
1999-04-23,123627.16158282958
1999-04-26,125069.33520881669
1999-04-27,124293.78798599925
1999-04-28,122684.24160651743
1999-04-29,122286.79939190004
1999-04-30,122475.42372288652
1999-05-03,120704.04170960392
1999-05-04,118719.21712536264
1999-05-05,120210.38745010254
1999-05-06,117895.83984341692
1999-05-07,117744.4282428857
1999-05-10,120116.62255986618
1999-05-11,123735.32631103613
1999-05-12,125000.46424775239
1999-05-13,125178.94954387889
1999-05-14,123148.1197753796
1999-05-17,124777.11717894231
1999-05-18,125126.54438666097
1999-05-19,125217.19492979144
1999-05-20,124632.83352966746
1999-05-21,123936.8647480188
1999-05-24,121184.27567010911
1999-05-25,118693.80807199684
1999-05-26,120943.5407051487
1999-05-27,119997.61660202642
1999-05-28,120455.87118757959
1999-06-01,118569.30975406962
1999-06-02,117556.09067163244
1999-06-03,117056.98795095252
1999-06-04,119134.70296312052
1999-06-07,119553.05965817963
1999-06-08,118486.73292412481
1999-06-09,119408.05648319745
1999-06-10,119041.65528058805
1999-06-11,118741.07234454021
1999-06-14,119029.23870187765
1999-06-15,119322.7532237872
1999-06-16,122160.37631216696
1999-06-17,122515.4829576973
1999-06-18,123109.27624127707
1999-06-21,124798.59953204296
1999-06-22,123336.37397233225
1999-06-23,123594.54950114347
1999-06-24,122730.23784630402
