ticker,corr_all,corr_drawdown,standalone_sharpe,hydra_sharpe,blend_85_15_sharpe,sharpe_delta,hydra_maxdd,blend_maxdd,dd_reduction
GLD,0.093,0.094,0.708,0.896,0.997,0.101,-27.0,-23.5,3.5
TLT,-0.179,-0.2,0.318,0.95,1.015,0.065,-27.0,-21.6,5.4
IEF,-0.18,-0.198,0.546,0.95,1.0,0.05,-27.0,-22.2,4.9
DBMF,0.297,0.287,0.81,1.257,1.3,0.043,-21.7,-19.5,2.2
KMLM,0.03,-0.025,0.412,1.207,1.248,0.041,-21.7,-19.0,2.7
TIP,-0.049,-0.046,0.6,0.902,0.943,0.041,-27.0,-24.2,2.9
BTAL,-0.273,-0.266,-0.019,1.065,1.102,0.037,-23.3,-19.9,3.4
BIL,-0.064,-0.088,2.67,0.875,0.89,0.014,-27.0,-23.2,3.8
HYG,0.379,0.396,0.499,0.899,0.912,0.013,-27.0,-26.7,0.3
VNQ,0.39,0.422,0.399,0.919,0.901,-0.017,-27.0,-32.6,-5.6
DBC,0.297,0.327,0.161,0.878,0.844,-0.034,-27.0,-32.9,-5.8
GSG,0.279,0.307,-0.027,0.912,0.825,-0.087,-27.0,-35.5,-8.5
