date,hydra_value,tlt_blend_value,ief_blend_value
2000-01-04,99668.2038752212,99668.2038752212,99668.2038752212
2000-01-05,99904.7453708926,99887.09241780083,99887.09241780083
2000-01-06,100574.52826048354,100295.77631760266,100295.77631760266
2000-01-07,102039.36966830023,102119.9249773408,102119.9249773408
2000-01-10,104013.432367221,103834.23091266339,103834.23091266339
2000-01-11,103271.16332340529,103080.14729174979,103080.14729174979
2000-01-12,103066.29968632538,102803.78734270141,102803.78734270141
2000-01-13,104037.39065657582,103766.33707929391,103766.33707929391
2000-01-14,104436.8781861162,104245.91141872939,104245.91141872939
2000-01-18,104437.74492664536,104164.62791002623,104164.62791002623
2000-01-19,104782.40080472908,104541.65378020098,104541.65378020098
2000-01-20,104476.1239687225,104121.90577728151,104121.90577728151
2000-01-21,104430.79294001302,104061.0263191095,104061.0263191095
2000-01-24,103779.20142013604,103214.19809170265,103214.19809170265
2000-01-25,103172.43085794857,102818.45993472984,102818.45993472984
2000-01-26,102953.21761027304,102551.27697113859,102551.27697113859
2000-01-27,102436.80833965848,102073.07674195315,102073.07674195315
2000-01-28,101072.00869909044,100598.70178382119,100598.70178382119
2000-01-31,102754.04258283244,102294.7503105634,102294.7503105634
2000-02-01,103867.89947401632,103338.08393464058,103338.08393464058
2000-02-02,104619.16744641322,103982.56890026366,103982.56890026366
2000-02-03,105137.18667491536,104576.84388903723,104576.84388903723
2000-02-04,105149.1537834438,104543.59725632561,104543.59725632561
2000-02-07,105197.54006959544,104568.44957663577,104568.44957663577
2000-02-08,105228.28094452976,104736.72690724435,104736.72690724435
2000-02-09,105023.0565143401,104343.10090162866,104343.10090162866
2000-02-10,104795.3229597786,104171.55870034477,104171.55870034477
2000-02-11,104408.75191441984,103633.36346244984,103633.36346244984
2000-02-14,104404.6282292249,103690.59746362509,103690.59746362509
2000-02-15,104369.2559400844,103778.03970677212,103778.03970677212
2000-02-16,103716.75769401091,103073.68746565841,103073.68746565841
2000-02-17,105207.16813658006,104279.38252693726,104279.38252693726
2000-02-18,104952.30236428457,104064.65705757985,104064.65705757985
2000-02-22,104879.81016852372,104003.5598350981,104003.5598350981
2000-02-23,106448.0020780111,105448.20066849074,105448.20066849074
2000-02-24,106290.366584114,105315.46898693562,105315.46898693562
2000-02-25,105788.35009976274,104892.66880560621,104892.66880560621
2000-02-28,106855.52741895083,106012.12631563432,106012.12631563432
2000-02-29,107463.59328329352,106627.11658202735,106627.11658202735
2000-03-01,107559.6300028892,106785.69489036298,106785.69489036298
2000-03-02,107443.63775981,106695.04465795137,106695.04465795137
2000-03-03,109911.06012098916,108977.50888731041,108977.50888731041
2000-03-06,109672.96073068756,108670.66260661145,108670.66260661145
2000-03-07,111140.07638165246,109696.1178138416,109696.1178138416
2000-03-08,111046.00245416995,109603.43910681305,109603.43910681305
2000-03-09,111276.47130126704,110117.09594373872,110117.09594373872
2000-03-10,112333.51788376576,110947.59947462249,110947.59947462249
2000-03-13,111244.36879324836,109911.9994205661,109911.9994205661
2000-03-14,110330.43465303116,108988.32593671467,108988.32593671467
2000-03-15,112563.40079388204,111117.53409057982,111117.53409057982
2000-03-16,115336.62819820872,113963.5770455555,113963.5770455555
2000-03-17,115817.7488457746,114442.97895231858,114442.97895231858
2000-03-20,115283.45461571946,113935.8093452421,113935.8093452421
2000-03-21,115133.70609712966,114043.82627994158,114043.82627994158
2000-03-22,115716.45238496702,114603.74304639778,114603.74304639778
2000-03-23,116249.439766162,115248.08829036776,115248.08829036776
2000-03-24,116142.21575730632,115226.14881434574,115226.14881434574
2000-03-27,116564.9367659682,115460.69793424112,115460.69793424112
2000-03-28,116147.7642637445,115042.96729076719,115042.96729076719
2000-03-29,115854.42436721214,114807.88952128084,114807.88952128084
2000-03-30,115467.49928816738,114289.80979995067,114289.80979995067
2000-03-31,118183.66656150662,116704.70831525984,116704.70831525984
2000-04-03,119123.65932386396,117561.61146686191,117561.61146686191
2000-04-04,115842.29842412674,114721.5878065373,114721.5878065373
2000-04-05,116989.06034588542,115615.26726372782,115615.26726372782
2000-04-06,118179.53004588724,116715.78663645018,116715.78663645018
2000-04-07,118526.45814175278,117080.95090137179,117080.95090137179
2000-04-10,118300.85427838827,116845.61632518593,116845.61632518593
2000-04-11,118289.45852998646,116802.15835440544,116802.15835440544
2000-04-12,117990.90068646336,116231.23484043033,116231.23484043033
2000-04-13,117758.56584806363,115875.30608365785,115875.30608365785
2000-04-14,114448.73374250616,113106.9415513481,113106.9415513481
2000-04-17,118355.17805825526,116783.53058403161,116783.53058403161
2000-04-18,124068.9126657286,121884.2678702577,121884.2678702577
2000-04-19,124109.65649002546,121804.92520123106,121804.92520123106
2000-04-20,124893.16594510258,122517.04406904307,122517.04406904307
2000-04-24,125139.356099908,122589.21833739392,122589.21833739392
2000-04-25,125848.48860585576,123688.69374881181,123688.69374881181
2000-04-26,125749.55723129628,123466.46091854003,123466.46091854003
2000-04-27,125643.31354137302,123336.97034667653,123336.97034667653
2000-04-28,125272.04693063568,122950.63688470426,122950.63688470426
2000-05-01,125773.96946890622,123536.17971029361,123536.17971029361
2000-05-02,125782.50949656471,123296.55781658267,123296.55781658267
2000-05-03,125294.0816523904,122600.86969678361,122600.86969678361
2000-05-04,125110.29105655644,122540.56205444557,122540.56205444557
2000-05-05,125415.8907776214,122943.49848586152,122943.49848586152
2000-05-08,125714.7229179256,123100.15482280687,123100.15482280687
2000-05-09,124811.65285525317,122249.943114124,122249.943114124
2000-05-10,123866.083770875,121462.70570870883,121462.70570870883
2000-05-11,124753.50319886036,122479.92277214356,122479.92277214356
2000-05-12,125707.6036100074,123408.88337926756,123408.88337926756
2000-05-15,127551.60011203444,125160.9455731256,125160.9455731256
2000-05-16,128243.86564951952,125859.49552316162,125859.49552316162
2000-05-17,128132.21761025254,125634.97912857456,125634.97912857456
2000-05-18,128004.123125798,125374.0507720728,125374.0507720728
2000-05-19,127639.45628789924,124873.70097830308,124873.70097830308
2000-05-22,127750.41768927248,124871.95817856005,124871.95817856005
2000-05-23,124750.99163184207,122379.8913800231,122379.8913800231
2000-05-24,126305.89817831854,123875.97587044383,123875.97587044383
2000-05-25,126495.10533364578,124033.70791735529,124033.70791735529
2000-05-26,125960.12372609584,123587.82197231862,123587.82197231862
2000-05-30,128381.92255422084,126010.58470617524,126010.58470617524
2000-05-31,127689.9571882256,125460.91585744632,125460.91585744632
2000-06-01,128303.89310454424,126193.27250354498,126193.27250354498
2000-06-02,128722.79005292457,126763.30148058946,126763.30148058946
2000-06-05,128861.72558249794,126817.9726435165,126817.9726435165
2000-06-06,129791.88982418696,127539.50016314539,127539.50016314539
2000-06-07,130278.3529220989,128034.25079298198,128034.25079298198
2000-06-08,130315.6496727381,128015.22226198895,128015.22226198895
2000-06-09,130445.73541497956,128096.61755493736,128096.61755493736
2000-06-12,130573.07433389238,128052.71363198986,128052.71363198986
2000-06-13,131409.63012013477,128990.37065004288,128990.37065004288
2000-06-14,132923.4359359264,130275.2666555208,130275.2666555208
2000-06-15,131749.48978938436,129324.8302970956,129324.8302970956
2000-06-16,127848.8894423541,125964.07190984333,125964.07190984333
2000-06-19,128018.014319266,126266.81358579203,126266.81358579203
2000-06-20,128136.4536894645,126320.93946800585,126320.93946800585
2000-06-21,127831.12248846542,126059.74080962318,126059.74080962318
2000-06-22,127646.00423930626,125712.77245314213,125712.77245314213
