symbol,entry_date,exit_date,exit_reason,pnl,return
AMD,2000-05-22,2000-05-24,position_stop,-1107.3804471481917,-0.09707453416149069
ADBE,2000-05-22,2000-05-30,hold_expired,467.26331437004114,0.0626412386740802
MU,2000-05-22,2000-05-30,hold_expired,1524.8458625220032,0.13400355727666868
ORCL,2000-05-22,2000-05-30,hold_expired,1091.3684758282432,0.0939725578998285
TXN,2000-05-22,2000-05-30,hold_expired,1024.7404434102234,0.08034969099904984
AMD,2000-05-24,2000-05-31,trailing_stop,2930.409796783694,0.12465004299226139
MU,2000-05-30,2000-06-06,trailing_stop,1090.064057348091,0.12089409350266071
ADBE,2000-05-30,2000-06-06,trailing_stop,-51.16652074204428,-0.007541151787812016
SLB,2000-05-30,2000-06-06,hold_expired,174.14673836659583,0.011481862609905141
MDT,2000-05-30,2000-06-06,hold_expired,-338.96687720083406,-0.024273050292914492
AMD,2000-05-31,2000-06-07,trailing_stop,1646.6687816158494,0.06419571865443426
PFE,2000-06-06,2000-06-12,trailing_stop,442.6544570059576,0.02151890068169024
MU,2000-06-06,2000-06-13,hold_expired,569.337151642511,0.0705462139741691
ADBE,2000-06-06,2000-06-13,hold_expired,663.373219224556,0.09937094247922881
SLB,2000-06-06,2000-06-13,hold_expired,529.9731891501197,0.040093571023712644
AMD,2000-06-07,2000-06-14,hold_expired,-943.4684489030521,-0.03737931034482759
ORCL,2000-06-12,2000-06-19,hold_expired,1589.6258352405805,0.06746252171987023
MU,2000-06-13,2000-06-20,hold_expired,1572.3407349820639,0.08938170538897319
ADBE,2000-06-13,2000-06-20,hold_expired,389.03447173686044,0.031909687136026654
SCHW,2000-06-13,2000-06-20,hold_expired,1819.5339888665515,0.15046964257484285
AMD,2000-06-14,2000-06-21,hold_expired,2552.2860607425882,0.1343044776119403
BAC,2000-06-19,2000-06-26,hold_expired,-195.90769406094995,-0.00912320543116124
AMD,2000-06-21,2000-06-26,position_stop,-1517.9705397143066,-0.08159999999999999
MU,2000-06-20,2000-06-27,hold_expired,19.020232861223178,0.0013795198490455986
PFE,2000-06-20,2000-06-27,hold_expired,414.1578345977363,0.016156070869917608
ORCL,2000-06-20,2000-06-27,hold_expired,-596.419355858737,-0.04415485226901731
AMD,2000-06-26,2000-06-29,position_stop,-1627.4469592894934,-0.1260974212034384
AIG,2000-06-26,2000-07-03,hold_expired,158.81685982999733,0.007437382254243863
MU,2000-06-27,2000-07-05,hold_expired,-1301.900628750377,-0.06945592764558933
PFE,2000-06-27,2000-07-05,hold_expired,244.41913151460597,0.009249522665601603
ORCL,2000-06-27,2000-07-05,position_stop,-1916.0186671652718,-0.1208508388296445
AMD,2000-06-29,2000-07-05,trailing_stop,-184.36500464362013,-0.013140983606557377
AIG,2000-07-03,2000-07-11,hold_expired,422.0925168987887,0.0247882791867533
MU,2000-07-05,2000-07-12,hold_expired,2071.414139314078,0.12237582700410635
AMD,2000-07-05,2000-07-12,hold_expired,1605.9301178696442,0.12040531561461792
PFE,2000-07-05,2000-07-12,hold_expired,299.3767109178934,0.011140790477535084
AXP,2000-07-05,2000-07-12,hold_expired,888.7649488483606,0.05512524897774998
