date,value,c_alloc,r_alloc,efa_alloc,recycled_pct
2000-01-04,99668.20,0.75,0.25,0.00,0.25
2000-01-05,99925.51,0.60,0.40,0.00,0.10
2000-01-06,100902.59,0.50,0.50,0.00,0.00
2000-01-07,101942.14,0.50,0.50,0.00,0.00
2000-01-10,104221.21,0.50,0.50,0.00,0.01
2000-01-11,103492.92,0.59,0.41,0.00,0.11
2000-01-12,103372.52,0.69,0.31,0.00,0.21
2000-01-13,104353.67,0.69,0.31,0.00,0.21
2000-01-14,104658.38,0.75,0.25,0.00,0.27
2000-01-18,104756.28,0.75,0.25,0.00,0.27
2000-01-19,105062.62,0.75,0.25,0.00,0.27
2000-01-20,104890.52,0.75,0.25,0.00,0.27
2000-01-21,104863.62,0.75,0.25,0.00,0.27
2000-01-24,104443.53,0.69,0.31,0.00,0.22
2000-01-25,103585.57,0.58,0.42,0.00,0.10
2000-01-26,103423.24,0.75,0.25,0.00,0.27
2000-01-27,102861.53,0.59,0.41,0.00,0.10
2000-01-28,101626.71,0.59,0.41,0.00,0.10
2000-01-31,103291.96,0.58,0.42,0.00,0.09
2000-02-01,104489.52,0.59,0.41,0.00,0.10
2000-02-02,105367.75,0.48,0.52,0.00,0.00
2000-02-03,105794.81,0.69,0.31,0.00,0.22
2000-02-04,105860.59,0.69,0.31,0.00,0.22
2000-02-07,105937.00,0.75,0.25,0.00,0.27
2000-02-08,105803.82,0.75,0.25,0.00,0.27
2000-02-09,105822.51,0.75,0.25,0.00,0.27
2000-02-10,105527.77,0.75,0.25,0.00,0.27
2000-02-11,105321.94,0.75,0.25,0.00,0.27
2000-02-14,105244.45,0.75,0.25,0.00,0.27
2000-02-15,105062.43,0.75,0.25,0.00,0.27
2000-02-16,104471.76,0.48,0.52,0.00,0.00
2000-02-17,106301.50,0.49,0.51,0.00,0.00
2000-02-18,105998.54,0.48,0.52,0.00,0.00
2000-02-22,105912.41,0.48,0.52,0.00,0.00
2000-02-23,107628.36,0.48,0.52,0.00,0.00
2000-02-24,107440.85,0.69,0.31,0.00,0.22
2000-02-25,106843.85,0.48,0.52,0.00,0.01
2000-02-28,107848.20,0.68,0.32,0.00,0.21
2000-02-29,108447.88,0.75,0.25,0.00,0.28
2000-03-01,108469.06,0.75,0.25,0.00,0.28
2000-03-02,108322.80,0.75,0.25,0.00,0.28
2000-03-03,111010.80,0.57,0.43,0.00,0.10
2000-03-06,110855.13,0.75,0.25,0.00,0.29
2000-03-07,112852.01,0.75,0.25,0.00,0.29
2000-03-08,112756.29,0.56,0.44,0.00,0.11
2000-03-09,112643.94,0.56,0.44,0.00,0.11
2000-03-10,113973.35,0.56,0.44,0.00,0.11
2000-03-13,112819.82,0.57,0.43,0.00,0.12
2000-03-14,111917.93,0.57,0.43,0.00,0.12
2000-03-15,114275.57,0.55,0.45,0.00,0.10
2000-03-16,116959.77,0.55,0.45,0.00,0.11
2000-03-17,117442.82,0.66,0.34,0.00,0.23
2000-03-20,116875.94,0.75,0.25,0.00,0.32
