symbol,strategy,entry_date,exit_date,exit_reason,pnl,return
ADBE,COMPASS,2001-07-11,2001-07-18,hold_expired,-587.6526524916897,-0.03354252186111912
TWX,COMPASS,2001-07-11,2001-07-18,position_stop,-1824.7793984030657,-0.07938177887666993
MSFT,COMPASS,2001-07-11,2001-07-20,trailing_stop,1063.5511366432713,0.040300462805788445
ADBE,COMPASS,2001-07-18,2001-07-25,hold_expired,1418.2703073195098,0.047940136966620375
TWX,COMPASS,2001-07-18,2001-07-25,hold_expired,-615.1516949150968,-0.020156624123634528
MSFT,COMPASS,2001-07-23,2001-07-30,hold_expired,-580.5110722524411,-0.019227236618261083
EBAY,COMPASS,2001-07-26,2001-08-02,hold_expired,-736.5870586456181,-0.06216259225914674
AIG,COMPASS,2001-07-26,2001-08-02,hold_expired,63.148398484509634,0.0020664449149131966
MSFT,COMPASS,2001-07-30,2001-08-06,hold_expired,150.47166977512916,0.005014690785783916
ADBE,COMPASS,2001-08-02,2001-08-07,position_stop,-1228.3564279763173,-0.10713390855438147
EBAY,COMPASS,2001-08-02,2001-08-09,hold_expired,360.15296557214555,0.0335527665757945
PG,COMPASS,2001-08-02,2001-08-09,hold_expired,-326.11321753655534,-0.0106351293566893
JCI,COMPASS,2001-08-07,2001-08-14,hold_expired,-229.31675874755564,-0.007712319881206938
TWX,COMPASS,2001-08-09,2001-08-14,position_stop,-1756.5057120521496,-0.11613904310127628
EBAY,COMPASS,2001-08-09,2001-08-16,hold_expired,-428.4208372312995,-0.02928058221468964
JCI,COMPASS,2001-08-15,2001-08-22,hold_expired,-106.53218898763033,-0.0036004338424309784
TWX,COMPASS,2001-08-15,2001-08-22,hold_expired,-94.88893857546282,-0.005037884103075338
PG,COMPASS,2001-08-09,2001-08-23,hold_expired,2648.9753652733375,0.08826050342315672
EBAY,COMPASS,2001-08-23,2001-08-28,trailing_stop,-130.96964245285125,-0.019614828428516414
FNMA,COMPASS,2001-08-23,2001-08-29,regime_reduce,-954.4366738633146,-0.04753098652918643
