symbol,strategy,entry_date,exit_date,exit_reason,pnl_pct,hold_days
MET,RATTLESNAKE,2001-03-15,2001-03-20,STOP,-0.06206890686489819,3
BA,RATTLESNAKE,2001-03-15,2001-03-22,STOP,-0.07308395708524584,5
DHR,RATTLESNAKE,2001-03-15,2001-03-22,STOP,-0.05324116378825139,5
DUK,RATTLESNAKE,2001-03-15,2001-03-27,PROFIT,0.06503310841691579,8
LIN,RATTLESNAKE,2001-03-15,2001-03-27,TIME,0.0053690402604194,8
NVDA,RATTLESNAKE,2001-04-02,2001-04-04,STOP,-0.07336876343557253,2
BAC,RATTLESNAKE,2001-04-06,2001-04-10,PROFIT,0.04698512332321947,2
USB,RATTLESNAKE,2001-04-20,2001-05-02,TIME,-0.012963318210172159,8
CVS,RATTLESNAKE,2001-05-04,2001-05-16,TIME,-0.015613480776427546,8
UNH,RATTLESNAKE,2001-05-08,2001-05-18,TIME,-0.04043310993303306,8
GILD,RATTLESNAKE,2001-05-29,2001-06-01,PROFIT,0.05574512741442983,3
COF,RATTLESNAKE,2001-05-30,2001-06-05,PROFIT,0.051188297614246814,4
DUK,RATTLESNAKE,2001-06-07,2001-06-14,STOP,-0.05681539364765209,5
GILD,RATTLESNAKE,2001-06-11,2001-06-19,PROFIT,0.046947402659184956,6
NVDA,RATTLESNAKE,2001-06-19,2001-06-20,PROFIT,0.04299114793212655,1
UNP,RATTLESNAKE,2001-06-14,2001-06-26,TIME,-0.025475303936071114,8
LIN,RATTLESNAKE,2001-06-26,2001-07-09,TIME,0.018954852690123758,8
CAT,RATTLESNAKE,2001-06-28,2001-07-11,TIME,-0.032767933503575986,8
NVDA,RATTLESNAKE,2001-07-09,2001-07-12,PROFIT,0.05905587946848012,3
BKNG,RATTLESNAKE,2001-07-11,2001-07-13,PROFIT,0.11395650812688474,2
BKNG,RATTLESNAKE,2001-07-24,2001-07-25,PROFIT,0.042875128035260834,1
GILD,RATTLESNAKE,2001-08-02,2001-08-03,PROFIT,0.05602403840163994,1
BKNG,RATTLESNAKE,2001-08-08,2001-08-10,STOP,-0.09090905623130008,2
BKNG,RATTLESNAKE,2001-08-10,2001-08-13,PROFIT,0.07662330087717639,1
BKNG,RATTLESNAKE,2001-08-20,2001-08-22,STOP,-0.12121215088089832,2
BKNG,RATTLESNAKE,2001-08-22,2001-08-23,STOP,-0.09482751513412147,1
BKNG,RATTLESNAKE,2001-08-23,2001-08-24,PROFIT,0.10285723112526268,1
