date,value,cash,positions,drawdown,leverage,in_protection,risk_on,universe_size
2004-01-01,100000.0,100013.88888888889,0,0.0,1.0,False,True,40
2004-01-02,100013.88888888889,100027.77970679013,0,0.0,1.0,False,True,40
2004-01-05,100027.77970679013,100041.67245397162,0,0.0,1.0,False,True,40
2004-01-06,100041.67245397162,100055.56713070134,0,0.0,1.0,False,True,40
2004-01-07,100055.56713070134,100069.46373724726,0,0.0,1.0,False,True,40
2004-01-08,100069.46373724726,100083.36227387744,0,0.0,1.0,False,True,40
2004-01-09,100083.36227387744,100097.26274085992,0,0.0,1.0,False,True,40
2004-01-12,100097.26274085992,100111.16513846282,0,0.0,1.0,False,True,40
2004-01-13,100111.16513846282,100125.06946695427,0,0.0,1.0,False,True,40
2004-01-14,100125.06946695427,100138.97572660245,0,0.0,1.0,False,True,40
2004-01-15,100138.97572660245,100152.88391767559,0,0.0,1.0,False,True,40
2004-01-16,100152.88391767559,100166.79404044194,0,0.0,1.0,False,True,40
2004-01-19,100166.79404044194,100180.70609516978,0,0.0,1.0,False,True,40
2004-01-20,100180.70609516978,100194.62008212744,0,0.0,1.0,False,True,40
2004-01-21,100194.62008212744,100208.53600158328,0,0.0,1.0,False,True,40
2004-01-22,100208.53600158328,100222.45385380572,0,0.0,1.0,False,True,40
2004-01-23,100222.45385380572,100236.3736390632,0,0.0,1.0,False,True,40
2004-01-26,100236.3736390632,100250.29535762417,0,0.0,1.0,False,True,40
2004-01-27,100250.29535762417,100264.21900975717,0,0.0,1.0,False,True,40
2004-01-28,100264.21900975717,100278.14459573074,0,0.0,1.0,False,True,40
2004-01-29,100278.14459573074,100292.07211581348,0,0.0,1.0,False,True,40
2004-01-30,100292.07211581348,100306.00157027402,0,0.0,1.0,False,True,40
2004-02-02,100306.00157027402,100319.932959381,0,0.0,1.0,False,True,0
2004-02-03,100319.932959381,100333.86628340313,0,0.0,1.0,False,True,0
2004-02-04,100333.86628340313,100347.80154260916,0,0.0,1.0,False,True,0
2004-02-05,100347.80154260916,100361.73873726785,0,0.0,1.0,False,True,0
2004-02-06,100361.73873726785,100375.67786764803,0,0.0,1.0,False,True,0
2004-02-09,100375.67786764803,100389.61893401854,0,0.0,1.0,False,True,0
2004-02-10,100389.61893401854,100403.56193664826,0,0.0,1.0,False,True,0
2004-02-11,100403.56193664826,100417.50687580612,0,0.0,1.0,False,True,0
2004-02-12,100417.50687580612,100431.4537517611,0,0.0,1.0,False,True,0
2004-02-13,100431.4537517611,100445.40256478218,0,0.0,1.0,False,True,0
2004-02-16,100445.40256478218,100459.3533151384,0,0.0,1.0,False,True,0
2004-02-17,100459.3533151384,100473.30600309884,0,0.0,1.0,False,True,0
2004-02-18,100473.30600309884,100487.2606289326,0,0.0,1.0,False,True,0
2004-02-19,100487.2606289326,100501.21719290885,0,0.0,1.0,False,True,0
2004-02-20,100501.21719290885,100515.17569529676,0,0.0,1.0,False,True,0
2004-02-23,100515.17569529676,100529.13613636555,0,0.0,1.0,False,True,0
2004-02-24,100529.13613636555,100543.09851638449,0,0.0,1.0,False,True,0
2004-02-25,100543.09851638449,100557.06283562287,0,0.0,1.0,False,True,0
2004-02-26,100557.06283562287,100571.02909435004,0,0.0,1.0,False,True,0
2004-02-27,100571.02909435004,100584.99729283537,0,0.0,1.0,False,True,0
2004-03-01,100584.99729283537,100598.96743134827,0,0.0,1.0,False,True,0
2004-03-02,100598.96743134827,100612.93951015818,0,0.0,1.0,False,True,0
2004-03-03,100612.93951015818,100626.91352953459,0,0.0,1.0,False,True,0
2004-03-04,100626.91352953459,100640.88948974703,0,0.0,1.0,False,True,40
2004-03-05,100640.88948974703,100654.86739106505,0,0.0,1.0,False,True,40
2004-03-08,100654.86739106505,100668.84723375826,0,0.0,1.0,False,True,40
2004-03-09,100668.84723375826,100682.82901809628,0,0.0,1.0,False,True,40
2004-03-10,100682.82901809628,100696.81274434879,0,0.0,1.0,False,True,40
2004-03-11,100696.81274434879,100710.7984127855,0,0.0,1.0,False,True,40
2004-03-12,100710.7984127855,100724.78602367616,0,0.0,1.0,False,True,40
2004-03-15,100724.78602367616,100738.77557729057,0,0.0,1.0,False,True,40
2004-03-16,100738.77557729057,100752.76707389852,0,0.0,1.0,False,True,40
2004-03-17,100752.76707389852,100766.7605137699,0,0.0,1.0,False,True,40
2004-03-18,100766.7605137699,100780.75589717459,0,0.0,1.0,False,True,40
2004-03-19,100780.75589717459,100794.75322438253,0,0.0,1.0,False,True,40
2004-03-22,100794.75322438253,100808.75249566369,0,0.0,1.0,False,True,40
2004-03-23,100808.75249566369,100822.7537112881,0,0.0,1.0,False,True,40
2004-03-24,100822.7537112881,100836.75687152578,0,0.0,1.0,False,True,40
2004-03-25,100836.75687152578,100850.76197664683,0,0.0,1.0,False,True,40
2004-03-26,100850.76197664683,100864.76902692136,0,0.0,1.0,False,True,40
2004-03-29,100864.76902692136,100878.77802261955,0,0.0,1.0,False,True,40
2004-03-30,100878.77802261955,100892.78896401158,0,0.0,1.0,False,True,40
2004-03-31,100892.78896401158,100906.8018513677,0,0.0,1.0,False,True,40
2004-04-01,100906.8018513677,100920.81668495816,0,0.0,1.0,False,True,40
2004-04-02,100920.81668495816,100934.83346505329,0,0.0,1.0,False,True,40
2004-04-05,100934.83346505329,100948.85219192343,0,0.0,1.0,False,True,40
2004-04-06,100948.85219192343,100962.87286583897,0,0.0,1.0,False,True,40
2004-04-07,100962.87286583897,100976.89548707035,0,0.0,1.0,False,True,40
2004-04-08,100976.89548707035,100990.920055888,0,0.0,1.0,False,True,40
2004-04-09,100990.920055888,101004.94657256243,0,0.0,1.0,False,True,40
2004-04-12,101004.94657256243,101018.97503736417,0,0.0,1.0,False,True,40
2004-04-13,101018.97503736417,101033.00545056381,0,0.0,1.0,False,True,40
2004-04-14,101033.00545056381,101047.03781243194,0,0.0,1.0,False,True,40
2004-04-15,101047.03781243194,101061.07212323922,0,0.0,1.0,False,True,40
2004-04-16,101061.07212323922,101075.10838325635,0,0.0,1.0,False,True,40
2004-04-19,101075.10838325635,101089.14659275403,0,0.0,1.0,False,True,40
2004-04-20,101089.14659275403,101103.18675200302,0,0.0,1.0,False,True,40
2004-04-21,101103.18675200302,101117.22886127414,0,0.0,1.0,False,True,40
2004-04-22,101117.22886127414,101131.27292083821,0,0.0,1.0,False,True,40
2004-04-23,101131.27292083821,101145.3189309661,0,0.0,1.0,False,True,40
2004-04-26,101145.3189309661,101159.36689192873,0,0.0,1.0,False,True,40
2004-04-27,101159.36689192873,101173.41680399705,0,0.0,1.0,False,True,40
2004-04-28,101173.41680399705,101187.46866744205,0,0.0,1.0,False,True,40
2004-04-29,101187.46866744205,101201.52248253475,0,0.0,1.0,False,True,40
2004-04-30,101201.52248253475,101215.57824954622,0,0.0,1.0,False,True,40
2004-05-03,101215.57824954622,101229.63596874755,0,0.0,1.0,False,True,40
2004-05-04,101229.63596874755,101243.69564040987,0,0.0,1.0,False,True,40
2004-05-05,101243.69564040987,101257.75726480437,0,0.0,1.0,False,True,40
2004-05-06,101257.75726480437,101271.82084220226,0,0.0,1.0,False,True,40
2004-05-07,101271.82084220226,101285.88637287478,0,0.0,1.0,False,True,40
2004-05-10,101285.88637287478,101299.95385709323,0,0.0,1.0,False,True,40
2004-05-11,101299.95385709323,101314.02329512894,0,0.0,1.0,False,True,40
2004-05-12,101314.02329512894,101328.09468725327,0,0.0,1.0,False,True,40
2004-05-13,101328.09468725327,24453.32959917006,5,0.0,1.0,False,True,40
2004-05-14,101614.96610204208,24456.725894947725,5,0.0,1.0,False,True,40
2004-05-17,100556.91193720988,24460.122662433136,5,-0.010412385157612458,1.0,False,True,40
2004-05-18,100486.75933737506,24463.51990169181,5,-0.011102761807095124,1.0,False,True,40
2004-05-19,101018.15361760618,24466.917612789264,5,-0.005873273468758295,1.0,False,True,40
