date,value
2001-06-26,100913.40880105953
2001-06-27,99415.41613731996
2001-06-28,98392.39159012743
2001-06-29,98867.37085668425
2001-07-02,98428.93017217178
2001-07-03,97771.28029541283
2001-07-05,96857.87149435331
2001-07-06,97150.15785068844
2001-07-09,97369.37819294467
2001-07-10,97259.77359682144
2001-07-11,98027.0280697036
2001-07-12,97405.916774989
2001-07-13,97588.5985352009
2001-07-16,97515.52137111222
2001-07-17,97953.9620556247
2001-07-18,98794.29369259554
2001-07-19,98428.93017217173
2001-07-20,98611.61193238363
2001-07-23,98209.70982991549
2001-07-24,98538.54591830475
2001-07-25,97807.81887745713
2001-07-26,97807.81887745713
2001-07-27,97807.81887745713
2001-07-30,97807.81887745713
2001-07-31,97807.81887745713
2001-08-01,97807.81887745713
2001-08-02,97807.81887745713
2001-08-03,97807.81887745713
2001-08-06,97807.81887745713
2001-08-07,97807.81887745713
2001-08-08,97807.81887745713
2001-08-09,97807.81887745713
2001-08-10,97807.81887745713
2001-08-13,97807.81887745713
2001-08-14,97807.81887745713
2001-08-15,97807.81887745713
2001-08-16,97807.81887745713
2001-08-17,97807.81887745713
2001-08-20,97807.81887745713
2001-08-21,97807.81887745713
2001-08-22,97807.81887745713
2001-08-23,97807.81887745713
2001-08-24,96813.04695207758
2001-08-27,96848.57684416989
2001-08-28,96741.98716789298
2001-08-29,97239.38397278357
2001-08-30,97843.34876954944
2001-08-31,97488.07153302805
2001-09-04,96493.2996076485
2001-09-05,96635.4083338169
2001-09-06,96990.68557033829
2001-09-07,97026.2154624306
2001-09-10,96493.29960764851
2001-09-14,103101.45837538646
2001-09-17,102959.33880701725
2001-09-18,102355.3740102514
2001-09-19,103563.31444598394
2001-09-20,102675.12135468046
2001-09-21,103705.42317215231
2001-09-24,102923.81975712575
2001-09-25,103208.03720946253
2001-09-26,104202.80913484209
2001-09-27,103634.37423016853
2001-09-28,105150.42097610954
2001-10-01,104969.40256265095
2001-10-02,104584.7397827611
2001-10-03,104245.31811913947
2001-10-04,104924.15065670559
2001-10-05,105557.72049864923
2001-10-08,105218.30962470474
2001-10-09,102503.00105379449
2001-10-10,99968.71089634283
2001-10-11,99629.28923272119
2001-10-12,100647.5326442318
2001-10-15,98905.20478920967
2001-10-16,97819.083518781
2001-10-17,98384.77550180658
2001-10-18,96008.87780484083
2001-10-19,96348.28867878533
2001-10-22,95488.43772776061
2001-10-23,95669.46693089633
2001-10-24,95103.77494787074
2001-10-25,95216.91550241128
