date,portfolio_value,cash,n_positions,leverage,drawdown,regime_score,crash_active,max_positions
2000-01-03,100022.89731746032,80023.86906390502,1,1.0,0.0,1.0,False,5
2000-01-04,98529.50497636852,19873.974382496453,4,1.0,-0.014969104939594744,1.0,False,5
2000-01-05,99163.75092126935,24182.386970539992,5,1.0,-0.00862659676083295,1.0,False,5
2000-01-06,100655.79911601194,24189.632090445848,5,1.0,0.0,1.0,False,5
2000-01-07,102151.00831949683,44735.806823372564,4,1.0,0.0,1.0,False,5
2000-01-10,105654.33266996496,59902.38360451811,3,1.0,0.0,1.0,False,5
2000-01-11,104348.55458491843,74074.71604674857,2,1.0,-0.01247409633462872,1.0,False,5
2000-01-12,104209.94508631948,71600.85316832784,2,1.0,-0.013578673676608047,1.0,False,5
2000-01-13,105945.0967033991,91415.73826586096,1,1.0,0.0,1.0,False,5
2000-01-14,106457.95500505445,91443.1267112541,1,1.0,0.0,1.0,False,5
2000-01-18,106241.13575875865,73206.78530347453,2,1.0,-0.0022800728920877866,1.0,False,5
2000-01-19,107150.69031769225,92482.62534100005,1,1.0,0.0,1.0,False,5
2000-01-20,106583.3386606008,106583.3386606008,0,1.0,-0.005501581403642366,1.0,False,5
2000-01-21,106612.37686722333,85294.23596756512,1,1.0,-0.005294895025027871,1.0,False,5
2000-01-24,106720.3603735378,17182.963151972555,5,1.0,-0.004176117453830348,1.0,False,5
2000-01-25,107239.05757279925,72917.63107629352,2,1.0,0.0,1.0,False,5
2000-01-26,107033.71766800933,29203.819998217154,5,1.0,-0.002075157731644123,1.0,False,5
2000-01-27,106848.40037262175,29212.56955539916,5,1.0,-0.003759051933590459,1.0,False,5
2000-01-28,103770.74183387557,33764.55199165144,5,1.0,-0.03237282530688897,1.0,False,5
2000-01-31,105987.94966374109,46729.119133574466,4,1.0,-0.011728344623559615,1.0,False,5
2000-02-01,107176.82934036074,37392.66710319338,5,1.0,-0.0007257823419974043,1.0,False,5
2000-02-02,108022.61763191779,48226.629637962185,4,1.0,0.0,1.0,False,5
2000-02-03,109515.02710416158,76281.08391644795,2,1.0,0.0,1.0,False,5
2000-02-04,108919.33396707263,90026.33723626818,1,1.0,-0.006088512563018899,1.0,False,5
2000-02-07,109148.98878293722,90053.77383428304,1,1.0,-0.004049121437456649,1.0,False,5
2000-02-08,108598.65948492204,90081.21879392778,1,1.0,-0.009072045549649398,1.0,False,5
2000-02-09,108597.24846319441,90108.67211775068,1,1.0,-0.009085000264933366,1.0,False,5
2000-02-10,107461.11892457283,85978.40003724373,1,1.0,-0.01938120250062317,1.0,False,5
2000-02-11,106560.61616180121,86004.60297820746,1,1.0,-0.02766190253020717,1.0,False,5
2000-02-14,106160.10058015288,84946.19619935454,1,1.0,-0.031267290787253314,1.0,False,5
2000-02-15,105359.34735114199,34023.43654639345,4,1.0,-0.038571851941031736,1.0,False,5
2000-02-16,105413.49867137385,27238.19726260615,5,1.0,-0.03798030790662964,1.0,False,5
2000-02-17,108334.67294024254,33822.756686198954,5,1.0,-0.011250595498762483,1.0,False,5
2000-02-18,108657.56768231886,41848.68691258925,5,1.0,-0.008276877254483363,1.0,False,5
2000-02-22,108607.09279473707,41861.44079812452,5,1.0,-0.008860989621423784,1.0,False,5
2000-02-23,110673.27361131446,71724.8087771012,3,1.0,0.0,1.0,False,5
2000-02-24,110369.60893015435,43167.077947183156,5,1.0,-0.0029209054720566296,1.0,False,5
2000-02-25,109279.84357163908,67572.390768981,3,1.0,-0.012638545648211161,1.0,False,5
2000-02-28,111325.81614655552,97145.75471467075,1,1.0,0.0,1.0,False,5
2000-02-29,112150.98527966322,112150.98527966322,0,1.0,0.0,1.0,False,5
2000-03-01,112179.69062755797,67356.66879032347,2,1.0,0.0,1.0,False,5
2000-03-02,111499.71638795457,53905.65013429247,3,1.0,-0.006223465962303542,1.0,False,5
2000-03-03,116458.58256491227,93628.39358862443,1,1.0,0.0,1.0,False,5
2000-03-06,115884.62499675216,93656.9279561943,1,1.0,-0.0051734438326532135,1.0,False,5
2000-03-07,114674.30448122555,22998.623000817835,4,1.0,-0.015460081239106888,1.0,False,5
2000-03-08,114477.93253145361,23005.632104970464,4,1.0,-0.017067519575067695,1.0,False,5
2000-03-09,114175.57365919587,37784.604010834664,4,1.0,-0.01963168875683879,1.0,False,5
2000-03-10,117384.88084364128,62163.46480322075,3,1.0,0.0,1.0,False,5
2000-03-13,116261.22376487672,62182.409859160776,3,1.0,-0.00973381006559572,1.0,False,5
2000-03-14,113988.86126511081,49127.123744892924,4,1.0,-0.029051589810312,1.0,False,5
2000-03-15,116932.00185268332,56014.49813335348,3,1.0,-0.003909941923247295,1.0,False,5
2000-03-16,121869.71848680943,103005.34079363316,1,1.0,0.0,1.0,False,5
2000-03-17,121389.87273666644,103036.73289749408,1,1.0,-0.004194953925812507,1.0,False,5
2000-03-20,121267.90764739082,103068.13456847236,1,1.0,-0.005195814992101067,1.0,False,5
2000-03-21,120217.28691684455,96182.62862025946,1,1.0,-0.013747445483412408,1.0,False,5
2000-03-22,120246.59971794786,96211.94142136278,1,1.0,-0.013559000467730939,1.0,False,5
2000-03-23,121418.91183701303,121418.91183701303,0,1.0,-0.00389922033319758,1.0,False,5
2000-03-24,121453.6126958586,97169.81978051436,1,1.0,-0.0036990866590472663,1.0,False,5
2000-03-27,124067.85503399225,124067.85503399225,0,1.0,0.0,1.0,False,5
2000-03-28,124105.66618981214,124105.66618981214,0,1.0,0.0,1.0,False,5
2000-03-29,124141.1718690319,99337.52353071402,1,1.0,0.0,1.0,False,5
2000-03-30,123172.12431712984,19845.670924504986,5,1.0,-0.0073860616182593805,1.0,False,5
2000-03-31,126125.35147501795,33003.204880016725,5,1.0,0.0,1.0,False,5
2000-04-03,127299.1576574056,43313.087844630936,5,1.0,0.0,1.0,False,5
