date,symbol,action,shares,price,cost,planned_exit,proceeds,pnl_pct,minutes_held
2000-01-03 00:00:00-05:00,BRK-B,BUY_RANDOM,537,35.29999923706055,18975.055689891815,2000-01-03 11:06:00-05:00,,,
2000-01-03 00:00:00-05:00,MSFT,BUY_RANDOM,533,35.6014518737793,18994.549422573087,2000-01-03 11:06:00-05:00,,,
2000-01-03 00:00:00-05:00,CVX,BUY_RANDOM,1195,15.875272750854492,18989.921888208388,2000-01-03 11:06:00-05:00,,,
2000-01-03 00:00:00-05:00,PG,BUY_RANDOM,707,26.833696365356445,18990.394753637313,2000-01-03 11:06:00-05:00,,,
2000-01-04 00:00:00-05:00,BRK-B,SELL_666,537,34.08000183105469,,,18282.66002229309,-0.034560833778291306,1440.0
2000-01-04 00:00:00-05:00,MSFT,SELL_666,533,34.39882278442383,,,18316.2379715538,-0.03378033833056154,1440.0
2000-01-04 00:00:00-05:00,CVX,SELL_666,1195,15.875272750854492,,,18951.97998633385,0.0,1440.0
2000-01-04 00:00:00-05:00,PG,SELL_666,707,26.317359924316406,,,18587.767093025206,-0.01924209151097996,1440.0
2000-01-04 00:00:00-05:00,JPM,BUY_RANDOM,831,22.407794952392578,18639.49848304367,2000-01-04 11:06:00-05:00,,,
2000-01-04 00:00:00-05:00,DHR,BUY_RANDOM,4181,4.456552982330322,18651.4808671422,2000-01-04 11:06:00-05:00,,,
2000-01-05 00:00:00-05:00,JPM,SELL_666,831,22.269481658935547,,,18487.433319316864,-0.006172552620679124,1440.0
2000-01-05 00:00:00-05:00,DHR,SELL_666,4181,4.506278038024902,,,18821.907728505135,0.011157739152150492,1440.0
2000-01-05 00:00:00-05:00,ABT,BUY_RANDOM,2375,7.847377300262451,18656.15860921144,2000-01-05 11:06:00-05:00,,,
2000-01-05 00:00:00-05:00,MSFT,BUY_RANDOM,536,34.76151657104492,18650.805054962155,2000-01-05 11:06:00-05:00,,,
2000-01-05 00:00:00-05:00,WMT,BUY_RANDOM,1391,13.399762153625488,18657.708224848746,2000-01-05 11:06:00-05:00,,,
2000-01-06 00:00:00-05:00,ABT,SELL_666,2375,8.12196159362793,,,19270.369126081467,0.034990581293484535,1440.0
2000-01-06 00:00:00-05:00,MSFT,SELL_666,536,33.597076416015625,,,17990.02492602539,-0.033497967577146306,1440.0
2000-01-06 00:00:00-05:00,WMT,SELL_666,1391,13.545981407165527,,,18823.617677229882,0.01091207827897732,1440.0
2000-01-06 00:00:00-05:00,PG,BUY_RANDOM,691,27.005802154541016,18679.670298076628,2000-01-06 11:06:00-05:00,,,
2000-01-06 00:00:00-05:00,NEE,BUY_RANDOM,7860,2.374288320541382,18680.568105654715,2000-01-06 11:06:00-05:00,,,
2000-01-06 00:00:00-05:00,MSFT,BUY_RANDOM,555,33.597076416015625,18665.023788299557,2000-01-06 11:06:00-05:00,,,
2000-01-06 00:00:00-05:00,NKE,BUY_RANDOM,4195,4.448148727416992,18678.643895425794,2000-01-06 11:06:00-05:00,,,
2000-01-07 00:00:00-05:00,PG,SELL_666,691,29.165021896362305,,,20132.877100255966,0.07995391988229526,1440.0
2000-01-07 00:00:00-05:00,NEE,SELL_666,7860,2.44271183013916,,,19180.515269908905,0.02881853438177908,1440.0
2000-01-07 00:00:00-05:00,MSFT,SELL_666,555,34.03614044189453,,,18871.167887306212,0.013068518833073396,1440.0
2000-01-07 00:00:00-05:00,NKE,SELL_666,4195,4.448148727416992,,,18641.323927602767,0.0,1440.0
2000-01-07 00:00:00-05:00,XOM,BUY_RANDOM,1018,18.715293884277344,19071.22134336853,2000-01-07 11:06:00-05:00,,,
2000-01-07 00:00:00-05:00,DHR,BUY_RANDOM,4150,4.593295574188232,19081.238809514045,2000-01-07 11:06:00-05:00,,,
2000-01-07 00:00:00-05:00,DIS,BUY_RANDOM,810,23.528337478637695,19077.011311054226,2000-01-07 11:06:00-05:00,,,
2000-01-07 00:00:00-05:00,PG,BUY_RANDOM,653,29.165021896362305,19063.804057622907,2000-01-07 11:06:00-05:00,,,
2000-01-07 00:00:00-05:00,ADBE,BUY_RANDOM,1186,16.072982788085938,19081.62014425659,2000-01-07 11:06:00-05:00,,,
2000-01-10 00:00:00-05:00,XOM,SELL_666,1018,18.45363426208496,,,18767.013879123686,-0.013981058689770412,4320.0
2000-01-10 00:00:00-05:00,DHR,SELL_666,4150,4.686531066894531,,,19429.654823684694,0.020298169625797752,4320.0
2000-01-10 00:00:00-05:00,DIS,SELL_666,810,27.119009017944336,,,21944.430907230377,0.15261050818260122,4320.0
2000-01-10 00:00:00-05:00,PG,SELL_666,653,29.02420425415039,,,18933.852572582244,-0.004828305725684299,4320.0
2000-01-10 00:00:00-05:00,ADBE,SELL_666,1186,16.693567276000977,,,19778.77221854782,0.03861041202477028,4320.0
2000-01-10 00:00:00-05:00,CVX,BUY_RANDOM,1182,16.682096481323242,19737.956278964994,2000-01-10 11:06:00-05:00,,,
2000-01-10 00:00:00-05:00,AAPL,BUY_RANDOM,26915,0.7329061031341553,19745.893933621643,2000-01-10 11:06:00-05:00,,,
2000-01-10 00:00:00-05:00,JNJ,BUY_RANDOM,825,23.882041931152344,19722.38727779388,2000-01-10 11:06:00-05:00,,,
2000-01-10 00:00:00-05:00,ABT,BUY_RANDOM,2420,8.150864601135254,19744.81742708206,2000-01-10 11:06:00-05:00,,,
2000-01-11 00:00:00-05:00,CVX,SELL_666,1182,16.52785301208496,,,19516.38633802414,-0.009246048265634205,1440.0
2000-01-11 00:00:00-05:00,AAPL,SELL_666,26915,0.6954173445701599,,,18698.44067127675,-0.0511508341978334,1440.0
2000-01-11 00:00:00-05:00,JNJ,SELL_666,825,23.961376190185547,,,19748.367221546174,0.0033219211012990267,1440.0
2000-01-11 00:00:00-05:00,ABT,SELL_666,2420,8.035248756408691,,,19425.856688518525,-0.014184488441932836,1440.0
2000-01-11 00:00:00-05:00,KO,BUY_RANDOM,1322,14.686631202697754,19435.142176416393,2000-01-11 11:06:00-05:00,,,
