date,value,cash,positions
2000-01-03 00:00:00-05:00,100000.0,68333.33333333333,1
2000-01-04 00:00:00-05:00,100000.0,36666.66666666666,2
2000-01-05 00:00:00-05:00,101573.83454052868,69408.78693602793,1
2000-01-06 00:00:00-05:00,102219.95092018026,69850.2997954565,1
2000-01-07 00:00:00-05:00,103753.26760732112,70898.0661983361,1
2000-01-10 00:00:00-05:00,102866.53301666913,37717.728772778675,2
2000-01-11 00:00:00-05:00,101805.4006269385,37328.646896544116,2
2000-01-12 00:00:00-05:00,100496.54886431414,36848.73458358184,2
2000-01-13 00:00:00-05:00,105303.73589016017,71957.55285827612,1
2000-01-14 00:00:00-05:00,105653.07875537935,72196.27048284255,1
2000-01-18 00:00:00-05:00,104804.9393451698,38428.4777598956,2
2000-01-19 00:00:00-05:00,104173.31655857792,38196.88273814525,2
2000-01-20 00:00:00-05:00,104171.74939264535,38196.30811063663,2
2000-01-21 00:00:00-05:00,104324.48443945115,71288.39770029162,1
2000-01-24 00:00:00-05:00,103336.48101230894,70613.26202507778,1
2000-01-25 00:00:00-05:00,103616.17062934604,37992.59589742689,2
2000-01-26 00:00:00-05:00,100416.56498655977,68617.98607414917,1
2000-01-27 00:00:00-05:00,101502.86396849719,69360.29037847307,1
2000-01-28 00:00:00-05:00,102611.22030764382,37624.11411280272,2
2000-01-31 00:00:00-05:00,100925.94406704576,37006.17949125011,2
2000-02-01 00:00:00-05:00,102445.70488173157,37563.42512330157,2
2000-02-02 00:00:00-05:00,101444.68935539141,37196.38609697686,2
2000-02-03 00:00:00-05:00,104357.64838451278,38264.47107432134,2
2000-02-04 00:00:00-05:00,101678.59608261441,37282.15189695862,2
2000-02-07 00:00:00-05:00,100417.66581745636,100417.66581745636,0
2000-02-08 00:00:00-05:00,100417.66581745636,36819.81079973401,2
2000-02-09 00:00:00-05:00,99400.99578579026,36447.0317881231,2
2000-02-10 00:00:00-05:00,98059.2027138645,67007.12185447408,1
2000-02-11 00:00:00-05:00,98492.48876463613,36113.91254703325,2
2000-02-14 00:00:00-05:00,97831.84739236787,66851.76238478471,1
2000-02-15 00:00:00-05:00,97501.44401036532,35750.5294704673,2
2000-02-16 00:00:00-05:00,96477.21490036865,65926.09684858525,1
2000-02-17 00:00:00-05:00,96703.51981564536,66080.73854069099,1
2000-02-18 00:00:00-05:00,97355.98806027553,35697.19562210102,2
2000-02-22 00:00:00-05:00,96077.44619618572,65652.92156739357,1
2000-02-23 00:00:00-05:00,95783.48982902523,95783.48982902523,0
2000-02-24 00:00:00-05:00,95783.48982902523,65452.05138316724,1
2000-02-25 00:00:00-05:00,94918.24596389435,34803.35685342792,2
2000-02-28 00:00:00-05:00,95110.51002464382,34873.85367570273,2
2000-02-29 00:00:00-05:00,95419.97133385381,65203.647078133436,1
2000-03-01 00:00:00-05:00,99124.67120354387,36345.71277463276,2
2000-03-02 00:00:00-05:00,99676.97765216054,68112.60139564304,1
2000-03-03 00:00:00-05:00,98675.85870426972,36181.14819156556,2
2000-03-06 00:00:00-05:00,97531.43714092387,66646.48204629797,1
2000-03-07 00:00:00-05:00,98650.8215080147,36171.967886272076,2
2000-03-08 00:00:00-05:00,96413.98713488842,35351.79528279242,2
2000-03-09 00:00:00-05:00,103258.89833621122,70560.247196411,1
2000-03-10 00:00:00-05:00,102129.66685545737,37447.544513667715,2
2000-03-13 00:00:00-05:00,101511.31864670888,37220.81683712659,2
2000-03-14 00:00:00-05:00,99776.94260139504,36584.87895384486,2
2000-03-15 00:00:00-05:00,100760.53383664275,68853.0314550392,1
2000-03-16 00:00:00-05:00,103107.94843524555,70457.0980974178,1
2000-03-17 00:00:00-05:00,103780.39580971724,38052.81179689633,2
2000-03-20 00:00:00-05:00,102814.91609937223,70256.85933457103,1
2000-03-21 00:00:00-05:00,103717.02588440306,103717.02588440306,0
2000-03-22 00:00:00-05:00,103717.02588440306,38029.57615761445,2
2000-03-23 00:00:00-05:00,104574.51312609368,71459.25063616401,1
2000-03-24 00:00:00-05:00,104452.77883412491,38299.352239179134,2
2000-03-27 00:00:00-05:00,103166.55633728388,37827.73732367075,2
2000-03-28 00:00:00-05:00,103369.26090708736,37902.062332598696,2
2000-03-29 00:00:00-05:00,104017.33554532402,38139.68969995214,2
2000-03-30 00:00:00-05:00,106145.59753956407,72532.82498536879,1
2000-03-31 00:00:00-05:00,108835.2884725674,108835.2884725674,0
2000-04-03 00:00:00-04:00,108835.2884725674,74370.78045625439,1
2000-04-04 00:00:00-04:00,108976.82649316828,74467.49810366498,1
2000-04-05 00:00:00-04:00,109530.0421328286,74845.52879076621,1
