symbol,entry_date,exit_date,pnl,return
COST,2000-01-03,2000-01-05,-2937.308873994033,-0.038657238069216046
BMY,2000-01-03,2000-01-05,-6201.752422944512,-0.08161981941453476
AIG,2000-01-04,2000-01-06,600.3072095713899,0.03295125305267138
INTC,2000-01-04,2000-01-06,-920.5850948803692,-0.05053151442172226
WMT,2000-01-05,2000-01-07,5114.197325516371,0.08722723698000849
INTU,2000-01-05,2000-01-07,-3645.6726781831626,-0.062180227787616095
SLB,2000-01-06,2000-01-10,780.0143844867473,0.02808054346252837
KLAC,2000-01-06,2000-01-10,4782.776709860075,0.17218011865405045
AIG,2000-01-07,2000-01-10,-916.0453988913789,-0.017695560648525916
COST,2000-01-07,2000-01-10,1076.0897022477316,0.02078719091043309
LRCX,2000-01-10,2000-01-12,1146.2126303493476,0.015275565318501105
CSCO,2000-01-10,2000-01-12,-4101.941949073445,-0.05466654311484382
PFE,2000-01-11,2000-01-13,1585.2306488189201,0.08815315440715671
MS,2000-01-11,2000-01-13,248.95048893398902,0.013843897673241328
AMAT,2000-01-12,2000-01-14,4054.334013734412,0.06734457367939417
ADBE,2000-01-12,2000-01-14,3860.671324272679,0.06412773677961632
MDT,2000-01-13,2000-01-18,578.1276553004201,0.020078339461595006
MU,2000-01-13,2000-01-18,-1595.2704722440878,-0.05540364966303403
SLB,2000-01-14,2000-01-18,4182.426427141417,0.07514940030363303
KO,2000-01-14,2000-01-18,3585.0435891398556,0.06441568799343636
AMGN,2000-01-18,2000-01-20,3187.139832325187,0.039797947934561116
GE,2000-01-18,2000-01-20,-1116.6904364513002,-0.013944160026542795
BIIB,2000-01-19,2000-01-21,4244.428392435473,0.22104962527218733
QCOM,2000-01-19,2000-01-21,1088.1392799916075,0.05667024104229821
C,2000-01-20,2000-01-24,-3867.687676012907,-0.05838895459423691
BMY,2000-01-20,2000-01-24,-3415.305871401799,-0.05155952500701478
ORCL,2000-01-21,2000-01-24,-2995.917698712552,-0.09218809568059254
MDT,2000-01-21,2000-01-24,-374.19724186758987,-0.01151451228167167
INTC,2000-01-24,2000-01-26,-1846.3627537710208,-0.023438740728558283
MRK,2000-01-24,2000-01-26,2870.385617846406,0.03643824819920955
KLAC,2000-01-25,2000-01-27,-1525.18229775367,-0.08075681710132022
COST,2000-01-25,2000-01-27,-285.6551477528176,-0.015125143109188298
BMY,2000-01-26,2000-01-28,2893.42721484409,0.044670700395025194
KO,2000-01-26,2000-01-28,-6295.306441741346,-0.09719122931836145
MS,2000-01-27,2000-01-31,-567.9562389351205,-0.019456492663980283
AIG,2000-01-27,2000-01-31,-242.72453497237632,-0.008315021141263562
TXN,2000-01-28,2000-01-31,318.7778915701978,0.005804067057043768
MU,2000-01-28,2000-01-31,2478.878023211396,0.04513353859667763
XOM,2000-01-31,2000-02-02,876.2607861197557,0.011256464109864904
SLB,2000-01-31,2000-02-02,553.4461737740276,0.0071095809495439225
JNJ,2000-02-01,2000-02-03,-330.9315381222813,-0.01773264338657332
AXP,2000-02-01,2000-02-03,-676.908920097239,-0.03627150362695098
SLB,2000-02-02,2000-02-03,-199.08517991077596,-0.0031026138631558534
QCOM,2000-02-02,2000-02-03,-1300.0641038897409,-0.020260658847269995
IBM,2000-03-06,2000-03-08,2380.6259832255387,0.030907205250099077
MSFT,2000-03-06,2000-03-08,4193.765713486086,0.05444684658189029
AMZN,2000-03-07,2000-03-09,1539.191466149323,0.0833464579446516
AMGN,2000-03-07,2000-03-09,-605.9248082541519,-0.03281052920278885
JPM,2000-03-08,2000-03-10,-261.52153248890033,-0.0039957659959008575
WMT,2000-03-08,2000-03-10,-514.3697521790787,-0.007859013158560265
MU,2000-03-09,2000-03-13,2186.836610673603,0.07270861734752235
MDT,2000-03-09,2000-03-13,111.82273402872283,0.003717916711090626
KLAC,2000-03-10,2000-03-13,-4469.258506125733,-0.0788960916120651
PFE,2000-03-10,2000-03-13,-1117.2209900828122,-0.019722369933106724
AMGN,2000-03-13,2000-03-15,672.4853292750154,0.008595478783785441
ADBE,2000-03-13,2000-03-15,1365.5937715823109,0.01745455518495783
MRK,2000-03-14,2000-03-16,2821.1539031466014,0.15039484286807334
MDT,2000-03-14,2000-03-16,2300.3842058097866,0.12263277121573697
BMY,2000-03-15,2000-03-17,3841.131808165995,0.05935120884823445
INTC,2000-03-15,2000-03-17,5214.612950984752,0.08057353867905316
HD,2000-03-16,2000-03-20,1094.939475526725,0.03452489867410307
INTU,2000-03-16,2000-03-20,-573.8539821326533,-0.018094379670921677
AXP,2000-03-17,2000-03-20,-683.3486313769121,-0.01134765263423108
GE,2000-03-17,2000-03-20,456.972917001527,0.00758846902925083
PG,2000-03-20,2000-03-22,-1639.6697874998313,-0.01942391736432781
MDT,2000-03-20,2000-03-22,2172.082038497485,0.02573099922067094
TXN,2000-03-21,2000-03-23,354.1290727386996,0.01749808141630417
WMT,2000-03-21,2000-03-23,-939.8699713196603,-0.04644047197736232
BA,2000-03-22,2000-03-24,-480.17249378190036,-0.006939351051293395
ADBE,2000-03-22,2000-03-24,4212.767753103608,0.06088202617793593
WMT,2000-03-23,2000-03-27,842.2856075817662,0.0265330951515929
MRK,2000-03-23,2000-03-27,-884.9007855731838,-0.027875528837233897
JNJ,2000-03-24,2000-03-27,-2135.0563875213525,-0.034656932059048746
INTC,2000-03-24,2000-03-27,1604.2749592954988,0.026041114695281673
MS,2000-03-27,2000-03-29,-3089.201730786045,-0.036133959795167786
IBM,2000-03-27,2000-03-29,-5307.867820681039,-0.06208538617571977
MU,2000-03-28,2000-03-30,-2328.0162554437416,-0.11356837435373703
BIIB,2000-03-28,2000-03-30,-4831.757372596233,-0.23570919180409408
INTU,2000-03-29,2000-03-31,3126.702138982461,0.04688726761482076
TXN,2000-03-29,2000-03-31,-4222.452028805995,-0.0633188674408874
BIIB,2000-03-30,2000-04-03,2451.1827868574633,0.08497977937902712
