symbol,entry_date,exit_date,exit_reason,pnl,return
BIIB,2002-01-02,2002-01-07,position_stop,-1319.6829471410965,-0.08570799738529518
INTU,2002-01-02,2002-01-09,hold_expired,-641.9250597633131,-0.03664643850544969
IBM,2002-01-02,2002-01-09,hold_expired,719.9555990558154,0.024592739418576686
JNJ,2002-01-02,2002-01-09,hold_expired,-653.8419854647613,-0.030526250931251227
BIIB,2002-01-07,2002-01-14,hold_expired,516.0977038082258,0.0279088692046188
WMT,2002-01-09,2002-01-16,hold_expired,-224.56672693292654,-0.007351565691310415
JNJ,2002-01-09,2002-01-16,hold_expired,1215.9079423575035,0.046882376458436646
AAPL,2002-01-09,2002-01-16,hold_expired,-638.0399293089754,-0.04326883843429998
IBM,2002-01-14,2002-01-22,position_stop,-1103.867742392107,-0.06397334421618282
WMT,2002-01-16,2002-01-24,hold_expired,2471.4549164476875,0.06564286937038037
COST,2002-01-16,2002-01-24,hold_expired,938.5356000251115,0.054037577947453466
IBM,2002-01-22,2002-01-29,position_stop,-1146.6404621618926,-0.06789152371191338
MSFT,2002-01-24,2002-01-29,regime_reduce,-963.3297059972172,-0.035345194020688135
ORCL,2002-01-16,2002-01-31,hold_expired,671.4798387368315,0.04093819991275012
HD,2002-01-24,2002-01-31,hold_expired,988.4776470664734,0.04372344704615484
NVDA,2002-01-31,2002-02-04,regime_reduce,-1496.340464264212,-0.0724191781199061
C,2002-01-31,2002-02-04,position_stop,-1793.7852565755015,-0.06540470858029666
INTC,2002-01-31,2002-02-07,position_stop,-2122.0704617802403,-0.0774173279154981
NVDA,2002-02-04,2002-02-11,hold_expired,-186.19912354199982,-0.0054154053710922115
INTC,2002-02-07,2002-02-14,hold_expired,978.0072331011854,0.03182380412969805
NVDA,2002-02-11,2002-02-19,position_stop,-3951.0258481340547,-0.12298209944137162
AAPL,2002-02-12,2002-02-19,position_stop,-1680.470153981077,-0.08728146008746691
INTC,2002-02-14,2002-02-21,position_stop,-2805.52371757735,-0.11582921370124409
AAPL,2002-02-19,2002-02-26,hold_expired,905.5465783534613,0.043468208836697594
HD,2002-02-19,2002-02-26,hold_expired,563.1933781964481,0.023004666015578705
PG,2002-02-26,2002-03-05,hold_expired,-248.30169111921927,-0.01669194189298142
HD,2002-02-27,2002-03-05,position_stop,-1437.914261664066,-0.06719736764543122
BA,2002-02-26,2002-03-12,hold_expired,1708.929614990354,0.11358800965687213
HD,2002-03-05,2002-03-12,hold_expired,227.08867012610938,0.018913038763239385
PG,2002-03-05,2002-03-12,hold_expired,33.45888433686891,0.0025412136072171135
WMT,2002-03-07,2002-03-14,hold_expired,231.5818685819859,0.009162464721488997
BA,2002-03-12,2002-03-19,hold_expired,-1008.5945005344113,-0.04458049243741991
HD,2002-03-12,2002-03-19,hold_expired,546.2856336108855,0.023749657465952197
AMAT,2002-03-12,2002-03-19,hold_expired,429.1093820904699,0.03764781275297892
ADBE,2002-03-14,2002-03-21,hold_expired,1345.431118485727,0.0691774513302552
AXP,2002-03-15,2002-03-22,hold_expired,-291.1992275055934,-0.02494828004191337
SLB,2002-03-19,2002-03-25,position_stop,-1042.9021990637905,-0.06015259402935797
BA,2002-03-19,2002-03-26,hold_expired,-792.2594510326045,-0.0468669068578646
XOM,2002-03-19,2002-03-26,hold_expired,-22.850062562764325,-0.0014187503303155515
HON,2002-03-21,2002-03-28,hold_expired,-333.0210415372214,-0.0185154364291741
AXP,2002-03-22,2002-04-01,hold_expired,-340.39495500427114,-0.022180468306706846
WMT,2002-03-26,2002-04-03,hold_expired,-1109.0877871474274,-0.05749857427100614
SLB,2002-03-27,2002-04-04,hold_expired,-568.3388813780234,-0.04909661693340585
XOM,2002-03-28,2002-04-05,hold_expired,-384.225142770339,-0.027428152267564374
AXP,2002-04-01,2002-04-08,hold_expired,190.07250734725056,0.013190763454160308
BA,2002-03-26,2002-04-10,hold_expired,1927.9785134535628,0.08273587452629111
WMT,2002-04-03,2002-04-10,hold_expired,534.0022547847232,0.03353849765620403
SLB,2002-04-04,2002-04-11,hold_expired,-299.7002307652171,-0.02147106028436813
XOM,2002-04-05,2002-04-12,hold_expired,-432.0765220812311,-0.031249650936253783
AMAT,2002-04-08,2002-04-15,hold_expired,-424.6316304347114,-0.030035325677355208
BA,2002-04-10,2002-04-17,position_stop,-1751.6578454560042,-0.08494369688012533
PG,2002-04-10,2002-04-17,hold_expired,-340.0945825080059,-0.02010866726374301
XOM,2002-04-15,2002-04-22,hold_expired,157.66408736609085,0.005957126472647515
BA,2002-04-17,2002-04-23,position_stop,-1121.8667149184143,-0.06329081422988853
PG,2002-04-17,2002-04-24,hold_expired,-174.32712928909896,-0.007587895762418684
BA,2002-04-23,2002-04-30,hold_expired,1535.2796641527077,0.049376975794657905
XOM,2002-04-24,2002-05-01,hold_expired,267.3594039591069,0.009624030627512572
JNJ,2002-04-25,2002-05-02,hold_expired,209.86876331777927,0.012588014245872354
AXP,2002-04-30,2002-05-07,hold_expired,-165.4242413335852,-0.008573276385524882
BAC,2002-04-30,2002-05-07,hold_expired,100.86801864221071,0.006573773364737251
BAC,2002-05-07,2002-05-08,regime_reduce,428.37454798240634,0.01420626005998786
AMAT,2002-05-02,2002-05-09,hold_expired,2839.3866445944427,0.10444322160642275
ADBE,2002-05-07,2002-05-10,trailing_stop,1010.1745713811357,0.06596935011359402
PG,2002-05-09,2002-05-16,hold_expired,356.5315230866404,0.00984375569859202
PG,2002-05-16,2002-05-23,hold_expired,-545.2690113712233,-0.017251324173476735
BAC,2002-05-10,2002-05-24,hold_expired,875.1325851793983,0.030960785492483447
AXP,2002-05-22,2002-05-30,hold_expired,-67.87534901119899,-0.003575353907978867
PG,2002-05-23,2002-05-31,hold_expired,-475.4283134867794,-0.01996076104790501
BAC,2002-05-24,2002-06-03,hold_expired,-577.2079674776215,-0.02224247534571196
HON,2002-05-29,2002-06-05,hold_expired,-167.40772235851531,-0.010746224881589505
AMAT,2002-05-30,2002-06-06,hold_expired,-1251.551313359029,-0.07398756309888065
PG,2002-05-31,2002-06-07,hold_expired,104.45570239628097,0.005359778229187478
BAC,2002-06-05,2002-06-12,hold_expired,-789.816767009505,-0.02818632268004228
HON,2002-06-06,2002-06-13,hold_expired,-77.75927427668799,-0.003368782329809106
AXP,2002-06-07,2002-06-13,position_stop,-1795.4527941720917,-0.08277847925135225
AXP,2002-06-13,2002-06-20,hold_expired,1605.6374854535984,0.04143691325509052
BAC,2002-06-13,2002-06-20,hold_expired,917.5909726560485,0.035868600899367394
BAC,2002-06-20,2002-06-26,position_stop,-1734.7683952970704,-0.0645423984478603
PG,2002-06-20,2002-06-27,hold_expired,-654.8167770541207,-0.017195825915507782
BAC,2002-06-26,2002-07-03,hold_expired,523.026802775983,0.019962465920858742
PG,2002-06-27,2002-07-05,hold_expired,-786.5693340807563,-0.025626191497840407
INTU,2002-07-03,2002-07-11,hold_expired,-358.83868482448344,-0.012320870709180665
PG,2002-07-05,2002-07-12,position_stop,-2048.532419804094,-0.06957949798033648
INTU,2002-07-11,2002-07-18,position_stop,-3560.899368733095,-0.12199441666842978
PG,2002-07-12,2002-07-19,position_stop,-2994.9310216429994,-0.10517891909782642
INTU,2002-07-18,2002-07-25,hold_expired,142.86352387263747,0.005222911521888983
BAC,2002-07-19,2002-07-26,hold_expired,54.70199362643576,0.002055887960040935
INTU,2002-07-25,2002-08-01,trailing_stop,-400.0650519806931,-0.020812392222709065
GS,2002-07-26,2002-08-02,hold_expired,278.7326213177673,0.013057817945215811
INTU,2002-08-01,2002-08-08,hold_expired,391.18030927700846,0.018950333724336587
