date,value,cash,positions,drawdown,leverage,in_protection,risk_on,regime_score,universe_size,overlay_scalar,damped_scalar,bso_scalar,m2_scalar,fomc_scalar,fed_emergency,cash_rate_daily,v_recovery_boost
2000-01-03,100000.0,100020.91269841269,0,0.0,1.0,False,True,0.5,40,0.5,0.5,1.0,1.0,0.5,0,0.0002091269841269841,0.0
2000-01-04,100020.91269841269,100041.82977023494,0,0.0,1.0,False,True,0.5,40,0.5,0.5,1.0,1.0,0.5,0,0.0002091269841269841,0.0
2000-01-05,100041.82977023494,100062.79091552013,0,0.0,1.0,False,True,0.5,40,0.5,0.5,1.0,1.0,0.5,0,0.0002095238095238095,0.0
2000-01-06,100062.79091552013,100083.6373302942,0,0.0,1.0,False,True,0.5,40,0.5357142857142857,0.5357142857142857,1.0,1.0,0.5357142857142857,0,0.00020833333333333332,0.0
2000-01-07,100083.6373302942,100104.36894088404,0,0.0,1.0,False,True,0.5,40,0.5714285714285714,0.5714285714285714,1.0,1.0,0.5714285714285714,0,0.00020714285714285713,0.0
2000-01-10,100104.36894088404,100125.1842937908,0,0.0,1.0,False,True,0.5,40,0.6785714285714286,0.6785714285714286,1.0,1.0,0.6785714285714286,0,0.00020793650793650794,0.0
2000-01-11,100125.1842937908,100146.1231716173,0,0.0,1.0,False,True,0.5,40,0.7142857142857143,0.7142857142857143,1.0,1.0,0.7142857142857143,0,0.0002091269841269841,0.0
2000-01-12,100146.1231716173,100167.14590937833,0,0.0,1.0,False,True,0.5,40,0.75,0.75,1.0,1.0,0.75,0,0.00020992063492063494,0.0
2000-01-13,100167.14590937833,100188.01406477611,0,0.0,1.0,False,True,0.5,40,0.7857142857142857,0.7857142857142857,1.0,1.0,0.7857142857142857,0,0.00020833333333333332,0.0
2000-01-14,100188.01406477611,100208.88656770627,0,0.0,1.0,False,True,0.5,40,0.8214285714285714,0.8214285714285714,1.0,1.0,0.8214285714285714,0,0.00020833333333333332,0.0
