symbol,entry_date,exit_date,exit_reason,pnl,return
AIG,2000-06-15,2000-06-20,position_stop,-1379.0511787233202,-0.06643157804184673
BAC,2000-06-15,2000-06-21,position_stop,-1101.3189780461971,-0.08310595619650811
C,2000-06-15,2000-06-22,hold_expired,-699.051440074409,-0.040466560376295986
SLB,2000-06-15,2000-06-22,hold_expired,368.2443634240969,0.022914401153806357
AIG,2000-06-23,2000-06-30,hold_expired,-31.421462625343214,-0.0015942851723479774
DIS,2000-06-23,2000-06-30,hold_expired,-361.03842389022043,-0.020538162166003404
GE,2000-06-23,2000-06-30,hold_expired,1139.957657784296,0.06264900662563341
PFE,2000-06-23,2000-07-10,hold_expired,763.6899798806453,0.042173797687287594
AIG,2000-07-03,2000-07-11,hold_expired,658.3375920889736,0.024788279186753304
AXP,2000-07-03,2000-07-11,hold_expired,556.7061210866968,0.033767868061404395
C,2000-07-03,2000-07-11,hold_expired,1152.606746755465,0.07106674523823979
MRK,2000-07-11,2000-07-13,position_stop,-1194.0263723942714,-0.07451281694655576
JNJ,2000-07-11,2000-07-14,position_stop,-1282.1594319426556,-0.08363208413664075
PFE,2000-07-10,2000-07-17,hold_expired,-616.9508188110827,-0.03567895913990468
AIG,2000-07-11,2000-07-18,hold_expired,-311.53244906572644,-0.018529439466423412
MRK,2000-07-13,2000-07-20,position_stop,-1590.3718702329422,-0.0732750039403555
JNJ,2000-07-14,2000-07-21,hold_expired,88.05740669615604,0.0047226839749474015
PFE,2000-07-17,2000-07-24,hold_expired,561.7982153066023,0.03145502354761994
AIG,2000-07-18,2000-07-25,hold_expired,662.974397430493,0.038278928676670494
PFE,2000-07-24,2000-07-25,position_stop,-1387.479506675261,-0.07496014248280598
BA,2000-07-20,2000-07-27,hold_expired,875.259485238999,0.04745611803323882
JNJ,2000-07-21,2000-07-28,hold_expired,282.18416857161327,0.015201661023282766
PFE,2000-07-25,2000-08-01,hold_expired,795.563621202803,0.03971039447296217
AIG,2000-07-25,2000-08-01,hold_expired,1142.4194679064194,0.06666637497166573
C,2000-07-27,2000-08-03,hold_expired,402.3774913046781,0.02233497030031787
AMGN,2000-07-28,2000-08-04,hold_expired,759.8706060098218,0.04140856544313107
BA,2000-08-01,2000-08-08,hold_expired,-69.28659468464424,-0.002598876135949873
PFE,2000-08-01,2000-08-08,hold_expired,-290.5139263089718,-0.018161897387366784
JNJ,2000-08-03,2000-08-10,hold_expired,70.38948153902275,0.004147871891847503
KO,2000-08-04,2000-08-11,hold_expired,34.69370890975143,0.0019459182546310236
BA,2000-08-08,2000-08-15,hold_expired,-669.7054495715422,-0.024245539830565974
PFE,2000-08-08,2000-08-15,hold_expired,-1078.9718511510007,-0.06510525751411064
JNJ,2000-08-10,2000-08-17,hold_expired,-70.59656834092061,-0.004210860769430202
C,2000-08-11,2000-08-18,hold_expired,556.6909468195536,0.03235179628284613
KO,2000-08-15,2000-08-22,position_stop,-1058.1863097060084,-0.06458254951461775
JNJ,2000-08-17,2000-08-24,hold_expired,-74.11902818041942,-0.004488153289850646
AXP,2000-08-18,2000-08-25,hold_expired,-564.0571944698648,-0.03314674823876271
BA,2000-08-15,2000-08-29,trailing_stop,2925.077180384406,0.10711054476989253
KO,2000-08-22,2000-08-29,hold_expired,-476.769246428497,-0.02916582611516464
AIG,2000-08-24,2000-08-31,hold_expired,869.2161561277665,0.05303454552831102
JNJ,2000-08-29,2000-09-06,hold_expired,74.88523531574079,0.002646295230384437
C,2000-08-29,2000-09-06,hold_expired,-901.1187167026785,-0.05307438723557485
MS,2000-08-25,2000-09-11,hold_expired,1317.1512745367481,0.08022664676072118
C,2000-09-06,2000-09-13,hold_expired,422.82132701966856,0.015075328495134804
AMGN,2000-09-06,2000-09-13,hold_expired,957.7224445925643,0.056911406678319294
BA,2000-08-31,2000-09-15,hold_expired,1030.3877365974947,0.060268350078697235
MS,2000-09-11,2000-09-15,position_stop,-1710.4960187725635,-0.09944738669608276
SCHW,2000-09-13,2000-09-18,position_stop,-4037.0658683088814,-0.14003706105160138
C,2000-09-13,2000-09-20,hold_expired,-795.0925721542823,-0.04596785903544521
MS,2000-09-15,2000-09-21,position_stop,-1333.9563021580882,-0.09329484549172473
JPM,2000-09-18,2000-09-25,hold_expired,172.9755911190703,0.009351022087277174
C,2000-09-20,2000-09-27,hold_expired,-489.24076944856114,-0.03878117260742089
MS,2000-09-21,2000-09-28,hold_expired,106.5065696490179,0.00837475565059236
BA,2000-09-15,2000-09-29,hold_expired,3194.264734920618,0.13403875812999347
XOM,2000-09-25,2000-10-02,hold_expired,936.0688632168739,0.06491587670426666
BA,2000-09-29,2000-10-02,position_stop,-1632.2094189068405,-0.09401630923814897
ADBE,2000-09-27,2000-10-04,hold_expired,895.4866364149856,0.06502187459624921
MS,2000-09-28,2000-10-05,hold_expired,320.31347088149164,0.023718538038530603
MS,2000-10-05,2000-10-06,position_stop,-1843.04412889141,-0.0842613824103098
BA,2000-10-02,2000-10-09,hold_expired,121.18417826839448,0.017086133639084296
AIG,2000-10-02,2000-10-09,hold_expired,-477.3675941624639,-0.033657269580340134
MS,2000-10-06,2000-10-10,position_stop,-2446.923462625714,-0.11575146834483499
GE,2000-10-04,2000-10-11,hold_expired,-1040.820536543587,-0.03822311353325546
C,2000-10-10,2000-10-12,position_stop,-1405.1333413832053,-0.08333735024077128
BA,2000-10-09,2000-10-16,hold_expired,170.63224562995475,0.012592771220023238
AIG,2000-10-09,2000-10-16,hold_expired,-136.15261419878834,-0.00870822367060841
GE,2000-10-11,2000-10-18,hold_expired,-409.3117654641839,-0.01987413034228622
C,2000-10-12,2000-10-19,hold_expired,1809.6130319518822,0.09758992937289487
BA,2000-10-16,2000-10-23,hold_expired,112.79004138029681,0.017627803352789958
PG,2000-10-16,2000-10-23,hold_expired,-279.55733779717605,-0.028430555178197987
XOM,2000-10-18,2000-10-25,hold_expired,124.22820773890513,0.007167914549919324
JNJ,2000-10-19,2000-10-26,hold_expired,271.8613035232226,0.014943456237178385
PG,2000-10-23,2000-10-31,trailing_stop,264.88609860242025,0.026897469941418124
SLB,2000-10-25,2000-11-01,hold_expired,1121.8784696272512,0.06385641216043886
AIG,2000-10-26,2000-11-02,hold_expired,560.9290004532264,0.03147919025424532
BA,2000-10-23,2000-11-06,hold_expired,607.9737328455932,0.07854621802339078
PG,2000-10-31,2000-11-07,hold_expired,-926.7201718549941,-0.04204980069208472
MRK,2000-11-01,2000-11-08,hold_expired,244.45973621332342,0.011808015377776019
BA,2000-11-06,2000-11-13,hold_expired,-717.6110423080095,-0.04717210937719352
XOM,2000-11-08,2000-11-15,hold_expired,25.805238133312052,0.0013634391755040715
AIG,2000-11-02,2000-11-16,hold_expired,385.2449570554685,0.01947931102896621
PG,2000-11-07,2000-11-21,hold_expired,1443.505036158677,0.08213451117850984
BA,2000-11-13,2000-11-22,trailing_stop,631.4726170188694,0.03679128480085533
MRK,2000-11-15,2000-11-22,hold_expired,-183.51699963974912,-0.010260908217121197
AIG,2000-11-16,2000-11-24,hold_expired,-1005.8083934863834,-0.0535034176787363
PG,2000-11-21,2000-11-29,hold_expired,381.7229780846989,0.020200475866935855
MRK,2000-11-22,2000-11-30,hold_expired,492.00879537085893,0.02202464083493263
BA,2000-11-22,2000-11-30,hold_expired,1003.4813257724628,0.06043688305740931
AIG,2000-11-24,2000-12-01,hold_expired,846.2378193712416,0.04953880445569643
XOM,2000-11-29,2000-12-06,hold_expired,-543.8991459983059,-0.0302672967915749
BMY,2000-11-30,2000-12-07,hold_expired,-577.1631301344293,-0.02979619190968106
MRK,2000-11-30,2000-12-07,hold_expired,-265.79384736664156,-0.013835064089556
PG,2000-12-06,2000-12-13,hold_expired,77.86635125860606,0.0042782003094258714
BMY,2000-12-07,2000-12-14,hold_expired,282.532533700321,0.020406026569840238
MRK,2000-12-07,2000-12-14,hold_expired,-14.642516501258612,-0.0007149551641521746
BA,2000-12-01,2000-12-15,trailing_stop,-266.8399702800387,-0.014268396901163643
PG,2000-12-13,2000-12-20,hold_expired,32.783724858754056,0.0016714906721125352
MRK,2000-12-14,2000-12-21,hold_expired,332.1300986112189,0.016453990929191434
BMY,2000-12-14,2000-12-21,hold_expired,169.65428696283138,0.01270986809929023
BMY,2001-01-02,2001-01-03,position_stop,-420.04128007925794,-0.06198995100758536
MRK,2001-01-02,2001-01-04,position_stop,-922.6691371178833,-0.08605032446675283
BA,2001-01-02,2001-01-09,hold_expired,-262.03812062164536,-0.04941959387761482
MRK,2001-01-18,2001-01-25,hold_expired,-214.0142579183417,-0.012098445704010936
BMY,2001-01-18,2001-01-25,hold_expired,-588.2934243947791,-0.04545315898059432
LLY,2001-01-18,2001-01-25,hold_expired,214.60786560292559,0.016030924282516717
MRK,2001-01-26,2001-02-02,hold_expired,286.47518018378224,0.020879612694523698
BMY,2001-01-26,2001-02-02,hold_expired,90.07069182612955,0.00819206489137607
PG,2001-01-26,2001-02-02,hold_expired,907.7537785363065,0.06507022506700061
COST,2001-01-26,2001-02-02,hold_expired,631.6791382047519,0.06511492939961167
JPM,2001-02-02,2001-02-08,regime_reduce,-576.2793975482037,-0.05421003012647009
MRK,2001-02-02,2001-02-09,hold_expired,-230.575163558378,-0.014917655727971437
BMY,2001-02-02,2001-02-09,hold_expired,-73.66674037397445,-0.005151889587822515
