symbol,entry_date,exit_date,exit_reason,pnl,return
AIG,2000-06-15,2000-06-20,position_stop,-1332.9067688456732,-0.06643157804184673
BAC,2000-06-15,2000-06-21,position_stop,-1064.4677609825621,-0.08310595619650812
SLB,2000-06-15,2000-06-22,hold_expired,355.92254455098896,0.022914401153806357
PFE,2000-06-15,2000-06-22,hold_expired,-537.750460024672,-0.02665400307966377
AIG,2000-06-23,2000-06-30,hold_expired,-33.96873820078679,-0.0015942851723479777
SLB,2000-06-23,2000-06-30,hold_expired,26.28252963805519,0.0016334917146141191
DIS,2000-06-23,2000-06-30,hold_expired,-362.6349881031169,-0.0205381621660034
PFE,2000-06-23,2000-07-10,hold_expired,825.600809944677,0.04217379768728758
AIG,2000-07-03,2000-07-11,hold_expired,608.5212867546186,0.024788279186753297
XOM,2000-07-03,2000-07-11,hold_expired,288.19806666972914,0.012710901235956347
DIS,2000-07-03,2000-07-11,position_stop,-904.423257769786,-0.06648477445273084
MRK,2000-07-11,2000-07-13,position_stop,-1809.6037907779967,-0.07451281694655576
JNJ,2000-07-11,2000-07-14,position_stop,-1943.1736367536898,-0.08363208413664075
PFE,2000-07-10,2000-07-17,hold_expired,-582.7269473038484,-0.03567895913990468
AIG,2000-07-11,2000-07-18,hold_expired,-280.1703271170216,-0.018529439466423412
MRK,2000-07-13,2000-07-20,position_stop,-1323.9438945197837,-0.0732750039403555
JNJ,2000-07-14,2000-07-21,hold_expired,91.43375531824954,0.004722683974947401
PFE,2000-07-17,2000-07-24,hold_expired,563.6563780539587,0.03145502354761994
AIG,2000-07-18,2000-07-25,hold_expired,638.896024961505,0.0382789286766705
PFE,2000-07-24,2000-07-25,position_stop,-1355.630164755393,-0.07496014248280598
KO,2000-07-21,2000-07-28,hold_expired,533.9168479066411,0.0299709748726519
JNJ,2000-07-25,2000-08-01,hold_expired,342.57294893413007,0.013995665249269705
PFE,2000-07-25,2000-08-01,hold_expired,583.1803238388535,0.03971039447296217
BA,2000-07-20,2000-08-03,hold_expired,1065.5802291464756,0.06373818795909669
AMGN,2000-07-28,2000-08-04,hold_expired,669.1007504883468,0.04140856544313106
JNJ,2000-08-01,2000-08-08,hold_expired,503.63710706801317,0.019569151863464945
PFE,2000-08-01,2000-08-08,hold_expired,-280.4440588821382,-0.018161897387366784
BA,2000-08-03,2000-08-10,hold_expired,4.940160778040444,0.00030153364615745365
KO,2000-08-04,2000-08-11,hold_expired,32.23190325975867,0.001945918254631024
JNJ,2000-08-08,2000-08-15,hold_expired,-159.56165107506743,-0.006020250841830591
PFE,2000-08-08,2000-08-15,hold_expired,-1035.3079155386154,-0.06510525751411064
BA,2000-08-10,2000-08-17,position_stop,-988.854938182481,-0.061412242339409354
C,2000-08-11,2000-08-18,hold_expired,527.4079577387497,0.03235179628284613
JNJ,2000-08-15,2000-08-22,hold_expired,540.1982039003485,0.020561946693163358
KO,2000-08-15,2000-08-22,position_stop,-1017.9901154505022,-0.06458254951461775
BA,2000-08-17,2000-08-24,hold_expired,2619.36473916071,0.16890359230303684
AXP,2000-08-18,2000-08-25,hold_expired,-531.6500505305198,-0.033146748238762715
KO,2000-08-22,2000-08-29,hold_expired,-765.6550749603159,-0.029165826115164637
JNJ,2000-08-22,2000-08-29,hold_expired,-765.9918238338262,-0.048633388171615916
AIG,2000-08-24,2000-08-31,hold_expired,886.0255310006783,0.053034545528311036
AXP,2000-08-25,2000-09-01,hold_expired,537.5421976116565,0.03312029660397999
JNJ,2000-08-29,2000-09-06,hold_expired,68.62328821855633,0.0026462952303844367
MS,2000-08-29,2000-09-06,hold_expired,250.93672266302104,0.016128421866945967
C,2000-09-01,2000-09-11,hold_expired,-215.74250051009747,-0.013046501833881273
MS,2000-09-06,2000-09-13,hold_expired,-424.05006064340057,-0.01591071279636664
KO,2000-09-06,2000-09-13,hold_expired,-485.57942413197986,-0.03036596724395027
BA,2000-08-31,2000-09-15,hold_expired,987.0576444750145,0.06026835007869723
AMGN,2000-09-11,2000-09-18,position_stop,-1577.1511671353776,-0.09777120114166735
MS,2000-09-13,2000-09-18,position_stop,-2777.109952537201,-0.10528288480643092
SCHW,2000-09-13,2000-09-18,position_stop,-2216.276080190672,-0.1400370610516014
MS,2000-09-18,2000-09-25,hold_expired,-280.1624312296549,-0.011385748742816197
C,2000-09-18,2000-09-25,hold_expired,242.15094327501458,0.011678847674139186
JPM,2000-09-18,2000-09-25,hold_expired,116.33100278931558,0.009351022087277174
BA,2000-09-15,2000-09-29,hold_expired,2204.5662673436877,0.1340387581299935
MS,2000-09-25,2000-10-02,hold_expired,-89.62811001979702,-0.019629578008730095
XOM,2000-09-25,2000-10-02,hold_expired,710.6181688881795,0.06491587670426666
C,2000-09-25,2000-10-02,hold_expired,145.55214940913487,0.023091174389964733
BA,2000-09-29,2000-10-02,position_stop,-1968.0382978256368,-0.09401630923814898
BA,2000-10-02,2000-10-09,hold_expired,74.75261991582194,0.0170861336390843
MS,2000-10-02,2000-10-09,position_stop,-345.7124252187134,-0.07939796963185312
AIG,2000-10-02,2000-10-09,hold_expired,-294.4648289607928,-0.033657269580340134
JNJ,2000-10-02,2000-10-09,hold_expired,-188.19779152148587,-0.020161943105391676
ADBE,2000-10-09,2000-10-12,position_stop,-1341.5259130395632,-0.12612286506979473
AXP,2000-10-09,2000-10-12,position_stop,-1262.4158343657452,-0.08391364904659279
BA,2000-10-09,2000-10-16,hold_expired,181.32987555304024,0.012592771220023237
AIG,2000-10-09,2000-10-16,hold_expired,-268.0210908633776,-0.00870822367060841
GE,2000-10-12,2000-10-17,trailing_stop,376.90735581197225,0.020635208105519873
C,2000-10-12,2000-10-19,hold_expired,1069.4980112100122,0.09758992937289487
BA,2000-10-16,2000-10-23,hold_expired,268.09812893148285,0.017627803352789954
PG,2000-10-16,2000-10-23,hold_expired,-526.875154794842,-0.028430555178197994
XOM,2000-10-17,2000-10-24,hold_expired,-225.7466895500184,-0.012150642076886793
JNJ,2000-10-19,2000-10-26,hold_expired,238.5743064986174,0.014943456237178387
GE,2000-10-23,2000-10-30,hold_expired,1508.6499068724427,0.08542009584922908
PG,2000-10-24,2000-10-31,hold_expired,-535.1771747283659,-0.029764498632649277
AIG,2000-10-26,2000-11-02,hold_expired,543.8281177831594,0.03147919025424532
BA,2000-10-23,2000-11-06,hold_expired,1036.1560283059857,0.07854621802339079
BMY,2000-10-30,2000-11-06,hold_expired,425.60277056840965,0.023592488184262343
PG,2000-10-31,2000-11-07,hold_expired,-748.69065646768,-0.04204980069208472
BA,2000-11-06,2000-11-13,hold_expired,-576.7018027427715,-0.04717210937719352
MRK,2000-11-06,2000-11-13,hold_expired,-131.69135640995762,-0.006973959301445773
PG,2000-11-07,2000-11-14,hold_expired,1060.1061792619728,0.05839012579540407
AIG,2000-11-02,2000-11-16,hold_expired,347.0568489626697,0.019479311028966214
MRK,2000-11-13,2000-11-20,hold_expired,179.86457836889687,0.01115935206101917
SLB,2000-11-14,2000-11-21,hold_expired,-245.72906142570628,-0.014034718756246015
BA,2000-11-13,2000-11-22,trailing_stop,625.359716880301,0.03679128480085533
AIG,2000-11-16,2000-11-24,hold_expired,-951.1088527434198,-0.0535034176787363
MRK,2000-11-20,2000-11-28,hold_expired,427.4972465115027,0.024867010671707993
PG,2000-11-21,2000-11-29,hold_expired,347.9092201670514,0.020200475866935855
BA,2000-11-22,2000-12-01,trailing_stop,183.11980188696134,0.010532888139667424
AIG,2000-11-24,2000-12-01,hold_expired,850.3054648074935,0.04953880445569643
MRK,2000-11-28,2000-12-05,hold_expired,-492.2619896726353,-0.028368723441940823
XOM,2000-11-29,2000-12-06,hold_expired,-527.9385216993946,-0.030267296791574895
BMY,2000-12-01,2000-12-08,hold_expired,130.8062701207106,0.006417319234137325
MRK,2000-12-05,2000-12-12,hold_expired,318.5667230858592,0.019098597572104407
PG,2000-12-06,2000-12-13,hold_expired,71.77354424784959,0.0042782003094258714
BA,2000-12-01,2000-12-15,trailing_stop,-236.15564061578945,-0.014268396901163643
BMY,2000-12-08,2000-12-15,hold_expired,-0.7334199575154673,-4.012804837212862e-05
MRK,2000-12-12,2000-12-19,hold_expired,23.806136594675188,0.0013395570823727283
AIG,2000-12-13,2000-12-20,hold_expired,-790.1498438415103,-0.045397413183564786
MRK,2001-01-02,2001-01-04,position_stop,-1706.0557168787063,-0.08605032446675281
AIG,2001-01-02,2001-01-04,position_stop,-1240.7436667781437,-0.0812912008525551
BA,2001-01-02,2001-01-09,hold_expired,-484.51998201993985,-0.049419593877614826
MRK,2001-01-18,2001-01-25,hold_expired,-208.48251624478746,-0.012098445704010936
BMY,2001-01-18,2001-01-25,hold_expired,-573.0874877265584,-0.04545315898059431
LLY,2001-01-18,2001-01-25,hold_expired,209.0607806321607,0.01603092428251672
MRK,2001-01-26,2001-02-02,hold_expired,304.995060707506,0.020879612694523698
BMY,2001-01-26,2001-02-02,hold_expired,95.89352942846189,0.00819206489137607
PG,2001-01-26,2001-02-02,hold_expired,966.4377158765889,0.06507022506700061
COST,2001-01-26,2001-02-05,trailing_stop,484.7348001539914,0.04693344514716976
JPM,2001-02-02,2001-02-08,regime_reduce,-933.5958047277942,-0.05421003012647009
MRK,2001-02-02,2001-02-09,hold_expired,-373.54103979488616,-0.014917655727971437
BMY,2001-02-02,2001-02-09,hold_expired,-83.56015508925844,-0.005151889587822516
COST,2001-02-05,2001-02-12,hold_expired,-244.63941164389593,-0.01740065428962179
WMT,2001-02-09,2001-02-16,hold_expired,1109.1467398691611,0.03879566873925333
JPM,2001-02-09,2001-02-16,hold_expired,14.485859029397712,0.0007299098036891404
COST,2001-02-12,2001-02-20,hold_expired,692.7258245319573,0.0397284333825874
JPM,2001-02-16,2001-02-21,position_stop,-2705.140286558118,-0.08928700344989143
MRK,2001-02-16,2001-02-26,hold_expired,479.15924907489335,0.026359581975934538
AMGN,2001-02-20,2001-02-27,hold_expired,1459.1245805229908,0.08034293400362907
COST,2001-02-27,2001-03-02,position_stop,-2558.6208132126917,-0.1003252198161183
JPM,2001-02-26,2001-03-05,hold_expired,-1085.8533831970014,-0.03691148446582326
COST,2001-03-02,2001-03-09,hold_expired,434.29839159436176,0.01773207128691683
JPM,2001-03-05,2001-03-12,trailing_stop,-708.1629072874,-0.027203754491948527
AMGN,2001-03-09,2001-03-12,position_stop,-2042.3773742551505,-0.07975992818303676
AMGN,2001-03-12,2001-03-19,hold_expired,1082.519204481591,0.042789623483428164
IBM,2001-03-12,2001-03-19,hold_expired,-707.4177370960601,-0.030285594934297926
JPM,2001-03-19,2001-03-21,position_stop,-2269.5492138496265,-0.1096801922113186
COST,2001-03-19,2001-03-26,hold_expired,-203.51334926551067,-0.008221612527842011
AMGN,2001-03-21,2001-03-28,hold_expired,1806.9975728556894,0.07438187589009665
BAC,2001-03-26,2001-04-02,hold_expired,700.307639883653,0.028691788899137913
COST,2001-03-28,2001-04-03,position_stop,-2414.5309899658955,-0.0962255824714662
BAC,2001-04-02,2001-04-06,position_stop,-2056.7180403099615,-0.08190510064579538
GS,2001-04-03,2001-04-18,hold_expired,5444.828837653589,0.2255394431478229
BAC,2001-04-06,2001-04-23,hold_expired,1818.5405926077003,0.1076083345888104
JPM,2001-04-18,2001-04-25,hold_expired,-678.5199501439591,-0.03303548583443827
MSFT,2001-04-20,2001-04-27,hold_expired,-562.8763319789939,-0.02729411017670232
BAC,2001-04-25,2001-05-02,hold_expired,611.277746121569,0.02197293097324462
IBM,2001-04-30,2001-05-07,hold_expired,97.67943340922237,0.006582873059636893
BAC,2001-05-02,2001-05-09,hold_expired,-265.1941918631825,-0.013076350932156174
MSFT,2001-04-27,2001-05-11,hold_expired,838.6559007326358,0.033920115065846836
IBM,2001-05-07,2001-05-14,hold_expired,-403.57828796063944,-0.02766062487046336
HD,2001-05-07,2001-05-14,hold_expired,14.630778896922624,0.0011879014710185407
BAC,2001-05-09,2001-05-16,hold_expired,324.32878008139164,0.021060174892365887
MSFT,2001-05-11,2001-05-18,hold_expired,-368.4449813014145,-0.018923499907872288
GE,2001-05-14,2001-05-21,hold_expired,1157.3985593728833,0.07379116264847657
BA,2001-05-18,2001-05-23,regime_reduce,-523.8718710999411,-0.03440389976924372
IBM,2001-05-14,2001-05-29,hold_expired,397.4125388854117,0.024058608331139365
XOM,2001-05-21,2001-05-29,hold_expired,-170.7169368929417,-0.010753385685626494
MSFT,2001-05-18,2001-05-30,trailing_stop,327.3110469805667,0.016107142738955076
BA,2001-05-29,2001-06-05,hold_expired,1523.185333099525,0.05349465469135242
HD,2001-05-29,2001-06-05,hold_expired,-64.79417025074461,-0.0037927066910366063
HD,2001-06-05,2001-06-06,regime_reduce,-206.93141445042681,-0.01671765192850033
GE,2001-05-31,2001-06-07,hold_expired,-34.16522031161511,-0.0018450043679461756
BAC,2001-06-05,2001-06-12,hold_expired,-339.4434229073862,-0.014239304700888897
DIS,2001-06-05,2001-06-12,hold_expired,88.60822828419882,0.004423732875261482
XOM,2001-06-07,2001-06-14,hold_expired,-73.84364785792094,-0.0037495299273733293
GE,2001-06-07,2001-06-14,hold_expired,-12.166355803301723,-0.0010296445331064296
BA,2001-06-12,2001-06-19,hold_expired,-1460.9562790788104,-0.059526864208892756
BAC,2001-06-12,2001-06-19,hold_expired,153.5612333910251,0.010428283595216071
MSFT,2001-06-14,2001-06-21,hold_expired,291.06002830896693,0.01359482877343253
BA,2001-06-19,2001-06-21,position_stop,-1793.1827284794463,-0.06555863255404612
BAC,2001-06-19,2001-06-26,hold_expired,193.66126467286543,0.011325564540382221
BA,2001-06-21,2001-06-28,hold_expired,-238.83313807366304,-0.00885708448981266
JNJ,2001-06-26,2001-07-03,hold_expired,-25.27405608873332,-0.001407558671645783
MSFT,2001-06-21,2001-07-05,regime_reduce,-350.9335906028304,-0.019090442477812657
BAC,2001-06-28,2001-07-06,hold_expired,-581.1946467386623,-0.02707009309944479
HD,2001-06-28,2001-07-06,hold_expired,-449.948083095361,-0.03492986803152197
XOM,2001-07-03,2001-07-11,hold_expired,-408.6985727699165,-0.027415554168594626
MSFT,2001-07-06,2001-07-13,hold_expired,1884.8519887875148,0.07987727332591137
BAC,2001-07-06,2001-07-13,hold_expired,648.1663823404004,0.03232275057781873
ADBE,2001-07-11,2001-07-18,hold_expired,-599.2953752527199,-0.033590872189886115
BAC,2001-07-13,2001-07-20,hold_expired,1257.597404497165,0.04309283058518301
C,2001-07-13,2001-07-20,hold_expired,609.1408132960313,0.03478943729772774
ADBE,2001-07-18,2001-07-25,hold_expired,833.8191578339722,0.04788981984676789
MSFT,2001-07-20,2001-07-27,hold_expired,-1257.0695791602134,-0.05367601998602154
JNJ,2001-07-20,2001-07-27,hold_expired,-557.7371063289029,-0.027196305517191
BAC,2001-07-25,2001-08-01,hold_expired,187.42497110165402,0.0095562287317105
JNJ,2001-07-27,2001-08-03,hold_expired,306.70545754491866,0.010716864820744621
MSFT,2001-07-27,2001-08-03,hold_expired,371.5576150363518,0.021638726563895948
PG,2001-08-01,2001-08-08,hold_expired,-421.70394291994717,-0.023131089972708095
BAC,2001-08-02,2001-08-09,hold_expired,-28.214304121095438,-0.0025787021874478476
JNJ,2001-08-03,2001-08-10,hold_expired,675.104914359467,0.026839281114282753
XOM,2001-08-03,2001-08-10,hold_expired,116.91736276060647,0.007747075563763662
PG,2001-08-08,2001-08-15,hold_expired,539.0198324079768,0.03330147328037654
COST,2001-08-09,2001-08-16,hold_expired,-179.47662713530661,-0.012747631591121565
JNJ,2001-08-10,2001-08-17,hold_expired,-494.89786309718767,-0.019903671490116903
BAC,2001-08-10,2001-08-17,hold_expired,-50.67416629587865,-0.0033967464298972063
C,2001-08-16,2001-08-21,regime_reduce,-306.0777461424011,-0.020471898685221875
JNJ,2001-08-17,2001-08-24,hold_expired,389.2265471334762,0.015778502981414626
BAC,2001-08-20,2001-08-27,hold_expired,-191.81035671114805,-0.012956077436201098
PG,2001-08-15,2001-08-28,trailing_stop,608.3592302493589,0.03887717825722292
BAC,2001-08-27,2001-08-29,regime_reduce,-892.5708729110062,-0.04308633783122383
JNJ,2001-08-24,2001-08-31,hold_expired,-858.5759244678248,-0.034650422565155936
PG,2001-08-28,2001-09-05,hold_expired,223.75250335139532,0.01181678753726736
BAC,2001-08-31,2001-09-10,hold_expired,-1562.096306823336,-0.054104595076100895
PG,2001-09-05,2001-09-18,hold_expired,-554.675617554009,-0.022190752534387587
BAC,2001-09-10,2001-09-20,position_stop,-1810.0212389520289,-0.06979430487095091
PG,2001-09-18,2001-09-21,position_stop,-2460.6503110994063,-0.09708681691288593
PG,2001-09-21,2001-09-28,hold_expired,2079.191912680728,0.08635973075658612
BAC,2001-09-20,2001-10-04,hold_expired,2437.024233816883,0.09801224845992454
JNJ,2001-09-28,2001-10-05,hold_expired,-225.02501614814457,-0.012669661470665183
PG,2001-10-04,2001-10-11,hold_expired,398.9905955594291,0.01946865522180746
JNJ,2001-10-05,2001-10-12,hold_expired,232.8640455479538,0.011847745179757207
BAC,2001-10-08,2001-10-15,hold_expired,471.44496261025836,0.023896155705056977
PG,2001-10-11,2001-10-18,hold_expired,-533.0507408134469,-0.02638353020351831
JNJ,2001-10-12,2001-10-19,hold_expired,1113.0511126217389,0.05542990609816421
BMY,2001-10-15,2001-10-22,hold_expired,321.1682393914447,0.015953578658793932
PG,2001-10-18,2001-10-25,hold_expired,563.8327549711322,0.028252433195480632
WMT,2001-10-19,2001-10-26,hold_expired,156.39874820406524,0.00764620165431558
AIG,2001-10-22,2001-10-29,hold_expired,-919.0124479232717,-0.044925417709007605
JNJ,2001-10-25,2001-11-01,hold_expired,-35.43074558116746,-0.0017289677851503556
WMT,2001-10-26,2001-11-02,hold_expired,-174.83863246232858,-0.008510881209872204
KO,2001-11-01,2001-11-08,hold_expired,277.64066031428405,0.009795718309140326
PG,2001-11-02,2001-11-09,hold_expired,432.35940190916045,0.017186547318608036
JNJ,2001-11-08,2001-11-15,hold_expired,449.2873836276817,0.01691683915068385
PG,2001-11-09,2001-11-16,hold_expired,423.58126318108503,0.01844701481853487
KO,2001-11-09,2001-11-16,hold_expired,243.68255574827398,0.014343023022104625
WMT,2001-11-14,2001-11-21,hold_expired,-30.39004621262187,-0.002978925618273782
JNJ,2001-11-15,2001-11-23,hold_expired,324.84074974032166,0.019192378431180233
PG,2001-11-16,2001-11-26,hold_expired,-120.26982298460321,-0.007541081582690928
