symbol,entry_date,exit_date,exit_reason,pnl,return
AIG,2000-06-15,2000-06-20,position_stop,-1404.1248365182898,-0.06643157804184674
BAC,2000-06-15,2000-06-21,position_stop,-1121.3429594652189,-0.08310595619650811
C,2000-06-15,2000-06-22,hold_expired,-711.7614662575802,-0.040466560376295986
SLB,2000-06-15,2000-06-22,hold_expired,374.9397154863531,0.022914401153806354
AIG,2000-06-23,2000-06-30,hold_expired,-31.405035469593244,-0.0015942851723479772
DIS,2000-06-23,2000-06-30,hold_expired,-360.84967282883025,-0.020538162166003404
GE,2000-06-23,2000-06-30,hold_expired,1139.3616873733677,0.06264900662563343
PFE,2000-06-23,2000-07-10,hold_expired,763.290722392419,0.04217379768728759
AIG,2000-07-03,2000-07-11,hold_expired,818.8362471391545,0.0247882791867533
AXP,2000-07-03,2000-07-11,hold_expired,682.3124187092305,0.033767868061404395
C,2000-07-03,2000-07-11,hold_expired,861.5656076019264,0.07106674523823979
MRK,2000-07-11,2000-07-13,position_stop,-1908.2133610407884,-0.07451281694655576
JNJ,2000-07-11,2000-07-14,position_stop,-2049.0617423394365,-0.08363208413664075
PFE,2000-07-10,2000-07-17,hold_expired,-529.0336704838876,-0.03567895913990468
AIG,2000-07-11,2000-07-18,hold_expired,-295.4374677464727,-0.018529439466423412
MRK,2000-07-13,2000-07-20,position_stop,-1396.088713819988,-0.0732750039403555
JNJ,2000-07-14,2000-07-21,hold_expired,96.41619587534495,0.0047226839749474015
PFE,2000-07-17,2000-07-24,hold_expired,565.3138220833818,0.031455023547619934
AIG,2000-07-18,2000-07-25,hold_expired,652.4885990452011,0.0382789286766705
PFE,2000-07-24,2000-07-25,position_stop,-1391.9587176004698,-0.07496014248280598
BA,2000-07-20,2000-07-27,hold_expired,820.8123636145406,0.04745611803323883
JNJ,2000-07-21,2000-07-28,hold_expired,282.5297051616138,0.01520166102328277
PFE,2000-07-25,2000-08-01,hold_expired,793.7987254250592,0.03971039447296217
AIG,2000-07-25,2000-08-01,hold_expired,1139.8850995145212,0.06666637497166573
C,2000-07-27,2000-08-03,hold_expired,391.13120512043827,0.022334970300317874
AMGN,2000-07-28,2000-08-04,hold_expired,747.7388248137945,0.04140856544313107
BA,2000-08-01,2000-08-08,hold_expired,-68.73928791546595,-0.0025988761359498733
PFE,2000-08-01,2000-08-08,hold_expired,-288.2191066669739,-0.018161897387366784
JNJ,2000-08-03,2000-08-10,hold_expired,69.2207594976244,0.004147871891847504
KO,2000-08-04,2000-08-11,hold_expired,34.1271579168473,0.0019459182546310236
BA,2000-08-08,2000-08-15,hold_expired,-662.2274454805624,-0.024245539830565974
PFE,2000-08-08,2000-08-15,hold_expired,-1066.923933783565,-0.06510525751411063
JNJ,2000-08-10,2000-08-17,hold_expired,-69.65221159605382,-0.004210860769430202
C,2000-08-11,2000-08-18,hold_expired,548.561495513491,0.03235179628284614
KO,2000-08-15,2000-08-22,position_stop,-1044.9946388505762,-0.06458254951461775
JNJ,2000-08-17,2000-08-24,hold_expired,-73.16774877218839,-0.004488153289850647
AXP,2000-08-18,2000-08-25,hold_expired,-556.401235421028,-0.033146748238762715
BA,2000-08-15,2000-08-29,trailing_stop,2888.6122828172774,0.10711054476989251
KO,2000-08-22,2000-08-29,hold_expired,-470.4959379842409,-0.029165826115164637
AIG,2000-08-24,2000-08-31,hold_expired,857.8918631479164,0.053034545528311036
JNJ,2000-08-29,2000-09-06,hold_expired,73.91972245639545,0.0026462952303844367
C,2000-08-29,2000-09-06,hold_expired,-889.5003822592491,-0.05307438723557486
MS,2000-08-25,2000-09-11,hold_expired,1299.7035344100454,0.08022664676072117
C,2000-09-06,2000-09-13,hold_expired,417.3613595229364,0.015075328495134805
GS,2000-09-06,2000-09-13,hold_expired,48.432648757356034,0.002915697888598967
BA,2000-08-31,2000-09-15,hold_expired,1017.0465656906533,0.06026835007869723
MS,2000-09-11,2000-09-15,position_stop,-1688.1798398364067,-0.09944738669608276
GS,2000-09-13,2000-09-18,position_stop,-2101.263296147017,-0.07734584741516552
C,2000-09-13,2000-09-20,hold_expired,-791.9881523337456,-0.045967859035445216
MS,2000-09-15,2000-09-21,position_stop,-1321.9068723553676,-0.09329484549172475
GS,2000-09-18,2000-09-25,hold_expired,-322.5750944575839,-0.017408007658324755
C,2000-09-20,2000-09-27,hold_expired,-489.06997664872415,-0.03878117260742089
GS,2000-09-25,2000-09-27,position_stop,-1155.4850647257897,-0.08102103410294345
MS,2000-09-21,2000-09-28,hold_expired,106.20068418492049,0.008374755650592359
BA,2000-09-15,2000-09-29,hold_expired,3165.411414438932,0.13403875812999347
BA,2000-09-29,2000-10-02,position_stop,-1799.1059804307486,-0.09401630923814898
GS,2000-09-27,2000-10-04,hold_expired,223.42966955894633,0.022169885604210553
ADBE,2000-09-27,2000-10-04,hold_expired,475.6371403987143,0.06502187459624921
MS,2000-09-28,2000-10-05,hold_expired,381.4913428487909,0.023718538038530603
MS,2000-10-05,2000-10-06,position_stop,-1491.9482319943365,-0.08426138241030978
BA,2000-10-02,2000-10-09,hold_expired,318.2690409545762,0.0170861336390843
MS,2000-10-06,2000-10-10,position_stop,-1980.7898664291768,-0.115751468344835
GS,2000-10-04,2000-10-11,hold_expired,-921.0162788493889,-0.049699054216315326
