symbol,entry_date,exit_date,exit_reason,pnl,return
AIG,2000-06-15,2000-06-20,position_stop,-1404.1248365182898,-0.06643157804184674
BAC,2000-06-15,2000-06-21,position_stop,-1121.3429594652189,-0.08310595619650811
C,2000-06-15,2000-06-22,hold_expired,-711.7614662575802,-0.040466560376295986
SLB,2000-06-15,2000-06-22,hold_expired,374.9397154863531,0.022914401153806354
AIG,2000-06-23,2000-06-30,hold_expired,-31.405035469593244,-0.0015942851723479772
DIS,2000-06-23,2000-06-30,hold_expired,-360.84967282883025,-0.020538162166003404
GE,2000-06-23,2000-06-30,hold_expired,1139.3616873733677,0.06264900662563343
PFE,2000-06-23,2000-07-10,hold_expired,763.290722392419,0.04217379768728759
AIG,2000-07-03,2000-07-11,hold_expired,818.8362471391545,0.0247882791867533
AXP,2000-07-03,2000-07-11,hold_expired,682.3124187092305,0.033767868061404395
C,2000-07-03,2000-07-11,hold_expired,861.5656076019264,0.07106674523823979
JNJ,2000-07-11,2000-07-14,position_stop,-2497.189757585316,-0.08363208413664074
PFE,2000-07-10,2000-07-17,hold_expired,-529.0336704838876,-0.03567895913990468
LLY,2000-07-11,2000-07-18,hold_expired,-349.17775738357807,-0.02429128746476315
AIG,2000-07-11,2000-07-18,hold_expired,-338.99413696675487,-0.018529439466423412
JNJ,2000-07-14,2000-07-21,hold_expired,103.57670298696158,0.004722683974947401
PFE,2000-07-17,2000-07-24,hold_expired,593.9368548960783,0.03145502354761994
LLY,2000-07-18,2000-07-25,hold_expired,67.52108323037262,0.004955153922216748
AIG,2000-07-18,2000-07-25,hold_expired,714.8243407853844,0.03827892867667051
PFE,2000-07-24,2000-07-25,position_stop,-1485.0348965276517,-0.07496014248280598
JNJ,2000-07-21,2000-07-28,hold_expired,304.47079882892564,0.01520166102328277
PFE,2000-07-25,2000-08-01,hold_expired,825.5831609112872,0.03971039447296218
AIG,2000-07-25,2000-08-01,hold_expired,1234.247792506671,0.06666637497166573
AMGN,2000-07-28,2000-08-04,hold_expired,797.1849869929403,0.04140856544313107
LLY,2000-07-25,2000-08-08,hold_expired,1050.0900512215994,0.07470224570498202
PFE,2000-08-01,2000-08-08,hold_expired,-403.62677384835143,-0.018161897387366784
KO,2000-08-01,2000-08-08,hold_expired,-630.2671297070963,-0.03280379540326471
LLY,2000-08-08,2000-08-09,position_stop,-7728.928323879349,-0.29179943410103537
JNJ,2000-08-04,2000-08-11,hold_expired,258.7033722345315,0.013227931526249837
KO,2000-08-08,2000-08-15,hold_expired,405.561879336936,0.017368676173750455
PFE,2000-08-08,2000-08-15,hold_expired,-912.0910268154206,-0.06510525751411063
MRK,2000-08-09,2000-08-16,hold_expired,689.9606179932598,0.043363362805573645
JNJ,2000-08-11,2000-08-18,hold_expired,-140.8548165149065,-0.01131046420386314
KO,2000-08-15,2000-08-22,position_stop,-614.3600832420224,-0.06458254951461775
AIG,2000-08-15,2000-08-22,hold_expired,71.31760158163424,0.0072039422284632905
AXP,2000-08-16,2000-08-23,hold_expired,-0.5253830521566487,-2.822319736148246e-05
JNJ,2000-08-18,2000-08-25,hold_expired,-172.46171276882032,-0.010249189821498217
KO,2000-08-22,2000-08-29,hold_expired,-291.6002825523666,-0.029165826115164644
MS,2000-08-22,2000-08-29,hold_expired,117.02690024450135,0.01577600331651521
AIG,2000-08-23,2000-08-30,hold_expired,278.19850970990973,0.015663301560244654
AXP,2000-08-25,2000-09-01,hold_expired,811.3121896160679,0.03312029660397999
JNJ,2000-08-29,2000-09-06,hold_expired,57.16704031462778,0.0026462952303844367
MS,2000-08-29,2000-09-06,hold_expired,209.04433630766172,0.016128421866945963
KO,2000-08-30,2000-09-07,hold_expired,-70.24205449129536,-0.004684453205217864
C,2000-09-01,2000-09-11,hold_expired,-249.51025313850695,-0.013046501833881272
MS,2000-09-06,2000-09-13,hold_expired,-404.35127240243247,-0.015910712796366643
GS,2000-09-06,2000-09-13,hold_expired,44.458761808875536,0.0029156978885989675
AMGN,2000-09-07,2000-09-14,hold_expired,-958.5124225809373,-0.06338810396412334
C,2000-09-11,2000-09-18,hold_expired,-952.3372901147975,-0.05727231312768071
MS,2000-09-13,2000-09-18,position_stop,-2748.2761696021375,-0.10528288480643092
GS,2000-09-13,2000-09-18,position_stop,-1211.3933097106885,-0.07734584741516554
IBM,2000-09-14,2000-09-21,hold_expired,-638.4827654332339,-0.0423815279266483
MS,2000-09-18,2000-09-25,hold_expired,-228.34135027284466,-0.011385748742816197
GS,2000-09-18,2000-09-25,hold_expired,-295.6735470515102,-0.017408007658324755
C,2000-09-18,2000-09-25,hold_expired,182.43538319923982,0.011678847674139185
GS,2000-09-25,2000-09-27,position_stop,-418.5980832351159,-0.08102103410294346
IBM,2000-09-21,2000-09-28,hold_expired,-555.503953498578,-0.05145643650411658
MS,2000-09-25,2000-10-02,hold_expired,-100.92491643074501,-0.019629578008730095
XOM,2000-09-25,2000-10-02,hold_expired,800.1851126099533,0.06491587670426664
GS,2000-09-27,2000-10-04,hold_expired,389.0013341287815,0.022169885604210553
ADBE,2000-09-28,2000-10-05,hold_expired,-1156.8609890923647,-0.07479145280612746
BA,2000-10-02,2000-10-09,hold_expired,139.102859837127,0.0170861336390843
MS,2000-10-02,2000-10-09,position_stop,-643.3164092884647,-0.07939796963185312
