symbol,entry_date,exit_date,exit_reason,pnl,return
AXP,1997-01-02,1997-01-09,hold_expired,596.7058736308437,0.047962995132001536
MSFT,1997-01-02,1997-01-09,hold_expired,110.9763472241781,0.009027884392198373
BMY,1997-01-02,1997-01-09,hold_expired,537.0945250367251,0.03606426931651829
XOM,1997-01-02,1997-01-13,trailing_stop,1616.4159852899095,0.04818427717446345
INTC,1997-01-02,1997-01-16,hold_expired,1082.5468569547156,0.09193329857230711
MSFT,1997-01-09,1997-01-16,hold_expired,594.557274654095,0.043846690484271804
IBM,1997-01-09,1997-01-16,hold_expired,336.62757201504314,0.022342518202728128
BMY,1997-01-09,1997-01-16,hold_expired,1229.6195738027948,0.0888594749347867
PG,1997-01-13,1997-01-20,hold_expired,902.36475783861,0.04033890387117568
XOM,1997-01-16,1997-01-23,hold_expired,-100.02865924335731,-0.0037274794991051683
TXN,1997-01-16,1997-01-23,hold_expired,1269.8363922987503,0.06571312044688285
IBM,1997-01-16,1997-01-23,position_stop,-963.7291557939203,-0.08313154426886751
SLB,1997-01-20,1997-01-27,hold_expired,-853.4794914200294,-0.052469588186691875
INTC,1997-01-16,1997-01-30,hold_expired,1986.6525425980724,0.12494444374417439
IBM,1997-01-23,1997-01-30,hold_expired,834.5734646266951,0.036188731452458205
AMAT,1997-01-23,1997-01-30,hold_expired,681.3096563876198,0.029019470775438552
XOM,1997-01-23,1997-01-30,hold_expired,172.73446474429977,0.012055566260353473
SLB,1997-01-27,1997-02-03,hold_expired,49.96471424714789,0.0033842643501623775
AN,1997-01-30,1997-02-04,trailing_stop,-122.10103476042113,-0.00631717291383798
AMAT,1997-01-30,1997-02-05,position_stop,-1819.7400521039795,-0.08808347919728773
INTC,1997-01-30,1997-02-06,hold_expired,-1136.161538319611,-0.04380470905155076
AXP,1997-01-30,1997-02-06,hold_expired,58.18529515813444,0.00396737971236058
AN,1997-02-04,1997-02-07,position_stop,-1176.6986870895976,-0.07123061825570907
SLB,1997-02-03,1997-02-10,position_stop,-1083.181142598334,-0.07355048430710134
MSFT,1997-02-05,1997-02-12,hold_expired,263.7235909327411,0.01511419145685484
INTC,1997-02-06,1997-02-13,hold_expired,662.6099165571756,0.025213721260286023
AN,1997-02-07,1997-02-14,hold_expired,-611.635647934593,-0.03921242919593116
MSFT,1997-02-12,1997-02-20,hold_expired,-528.6714450172168,-0.04643955613122139
BMY,1997-02-06,1997-02-21,trailing_stop,371.0145267151725,0.023531273128091217
INTC,1997-02-13,1997-02-21,position_stop,-1071.9640360352523,-0.06776482103071653
MSI,1997-02-14,1997-02-21,position_stop,-1016.5664708607077,-0.06523651208096647
LLY,1997-02-10,1997-02-25,hold_expired,876.4375999578182,0.059148981490983195
PG,1997-02-20,1997-02-27,hold_expired,-526.7727335291399,-0.036992366932306196
MSFT,1997-02-21,1997-02-27,trailing_stop,81.86147552658274,0.011703970631535441
BMY,1997-02-21,1997-02-28,trailing_stop,33.26654586230677,0.003756820366004065
MRK,1997-02-21,1997-02-28,hold_expired,-230.24339664879273,-0.031596424796040655
