date,portfolio_value,cash,positions,drawdown,leverage,in_protection,risk_on,universe_size
2000-01-03,100000.0,100021.8253968254,0,0.0,1.0,False,True,40
2000-01-04,100021.8253968254,100043.65555713026,0,0.0,1.0,False,True,40
2000-01-05,100043.65555713026,100065.49048195424,0,0.0,1.0,False,True,40
2000-01-06,100065.49048195424,100087.33017233721,0,0.0,1.0,False,True,40
2000-01-07,100087.33017233721,100109.17462931927,0,0.0,1.0,False,True,40
2000-01-10,100109.17462931927,100131.02385394074,0,0.0,1.0,False,True,40
2000-01-11,100131.02385394074,100152.8778472422,0,0.0,1.0,False,True,40
2000-01-12,100152.8778472422,100174.73661026442,0,0.0,1.0,False,True,40
2000-01-13,100174.73661026442,100196.6001440484,0,0.0,1.0,False,True,40
2000-01-14,100196.6001440484,100218.46844963539,0,0.0,1.0,False,True,40
2000-01-18,100218.46844963539,100240.34152806686,0,0.0,1.0,False,True,40
2000-01-19,100240.34152806686,100262.21938038449,0,0.0,1.0,False,True,40
2000-01-20,100262.21938038449,100284.10200763021,0,0.0,1.0,False,True,40
2000-01-21,100284.10200763021,100305.98941084616,0,0.0,1.0,False,True,40
2000-01-24,100305.98941084616,100327.88159107472,0,0.0,1.0,False,True,40
2000-01-25,100327.88159107472,100349.77854935848,0,0.0,1.0,False,True,40
2000-01-26,100349.77854935848,100371.68028674029,0,0.0,1.0,False,True,40
2000-01-27,100371.68028674029,100393.58680426319,0,0.0,1.0,False,True,40
2000-01-28,100393.58680426319,100415.49810297046,0,0.0,1.0,False,True,40
2000-01-31,100415.49810297046,100437.41418390564,0,0.0,1.0,False,True,40
2000-02-01,100437.41418390564,100459.33504811245,0,0.0,1.0,False,True,40
2000-02-02,100459.33504811245,100481.26069663485,0,0.0,0.47772412895279726,False,True,40
2000-02-03,100481.26069663485,100503.19113051705,0,0.0,0.4714967396468902,False,True,0
2000-02-04,100503.19113051705,100525.12635080348,0,0.0,0.4803775993004838,False,True,0
2000-02-07,100525.12635080348,100547.06635853877,0,0.0,0.6487243271239974,False,True,0
2000-02-08,100547.06635853877,100569.01115476781,0,0.0,0.6339551279418689,False,True,0
2000-02-09,100569.01115476781,100590.96074053571,0,0.0,0.6136617697275996,False,True,0
2000-02-10,100590.96074053571,100612.91511688782,0,0.0,0.6190415364855537,False,True,0
2000-02-11,100612.91511688782,100634.87428486967,0,0.0,0.6092392450736874,False,True,0
2000-02-14,100634.87428486967,100656.83824552708,0,0.0,0.6219969666593006,False,True,0
2000-02-15,100656.83824552708,100678.80699990605,0,0.0,0.6120714407686677,False,True,0
2000-02-16,100678.80699990605,100700.78054905286,0,0.0,0.608436339056174,False,True,0
2000-02-17,100700.78054905286,100722.75889401395,0,0.0,0.6192301008195974,False,True,0
2000-02-18,100722.75889401395,100744.74203583605,0,0.0,0.5958672660512064,False,True,0
2000-02-22,100744.74203583605,100766.7299755661,0,0.0,0.6424879283162466,False,True,0
2000-02-23,100766.7299755661,100788.72271425124,0,0.0,0.6415440518640766,False,True,0
2000-02-24,100788.72271425124,100810.72025293887,0,0.0,0.6200547920805736,False,True,0
2000-02-25,100810.72025293887,100832.72259267663,0,0.0,0.6201274982517153,False,True,0
2000-02-28,100832.72259267663,100854.72973451232,0,0.0,0.6516925932979551,False,True,0
2000-02-29,100854.72973451232,100876.74167949407,0,0.0,0.7124425247034526,False,True,0
2000-03-01,100876.74167949407,100898.75842867015,0,0.0,0.7176110378471218,False,True,0
2000-03-02,100898.75842867015,100920.7799830891,0,0.0,0.7176840953790978,False,True,0
2000-03-03,100920.7799830891,100942.80634379969,0,0.0,0.7040331692458309,False,True,0
2000-03-06,100942.80634379969,100964.83751185091,0,0.0,0.6970411323360214,False,True,40
2000-03-07,100964.83751185091,100986.873488292,0,0.0,0.6668612689521256,False,True,40
2000-03-08,100986.873488292,101008.91427417238,0,0.0,0.6896987624755115,False,True,40
2000-03-09,101008.91427417238,101030.95987054174,0,0.0,0.6425041534308634,False,True,40
2000-03-10,101030.95987054174,101053.01027845,0,0.0,0.640861109458147,False,True,40
2000-03-13,101053.01027845,101075.06549894728,0,0.0,0.6645994913744423,False,True,40
2000-03-14,101075.06549894728,101097.12553308396,0,0.0,0.6520040610539092,False,True,40
2000-03-15,101097.12553308396,101119.19038191062,0,0.0,0.6193623921078901,False,True,40
2000-03-16,101119.19038191062,101141.2600464781,0,0.0,0.5213825849334318,False,True,40
2000-03-17,101141.2600464781,101163.33452783745,0,0.0,0.5236682744122623,False,True,40
2000-03-20,101163.33452783745,101185.41382703996,0,0.0,0.5489635913873218,False,True,40
2000-03-21,101185.41382703996,101207.49794513713,0,0.0,0.5395942010991697,False,True,40
2000-03-22,101207.49794513713,101229.58688318072,0,0.0,0.5416191427629612,False,True,40
2000-03-23,101229.58688318072,101251.68064222268,0,0.0,0.5696850871988334,False,True,40
2000-03-24,101251.68064222268,101273.77922331523,0,0.0,0.5759816686735377,False,True,40
2000-03-27,101273.77922331523,101295.8826275108,0,0.0,0.5712150053062073,False,True,40
2000-03-28,101295.8826275108,101317.99085586204,0,0.0,0.5654837681996091,False,True,40
2000-03-29,101317.99085586204,101340.10390942184,0,0.0,0.5650286755478675,False,True,40
2000-03-30,101340.10390942184,101362.22178924334,0,0.0,0.5435749705639014,False,True,40
2000-03-31,101362.22178924334,101384.34449637988,0,0.0,0.5517183621856028,False,True,40
2000-04-03,101384.34449637988,101406.47203188504,0,0.0,0.5608694037935011,False,True,40
2000-04-04,101406.47203188504,101428.60439681263,0,0.0,0.5844521084416475,False,True,40
2000-04-05,101428.60439681263,101450.7415922167,0,0.0,0.579556875045445,False,True,40
2000-04-06,101450.7415922167,101472.88361915151,0,0.0,0.6182206740266977,False,True,40
2000-04-07,101472.88361915151,101495.03047867157,0,0.0,0.6236960013996473,False,True,40
2000-04-10,101495.03047867157,101517.1821718316,0,0.0,0.6357865684103203,False,True,40
2000-04-11,101517.1821718316,101539.33869968657,0,0.0,0.6598859114991136,False,True,40
2000-04-12,101539.33869968657,101561.50006329166,0,0.0,0.6149139815144764,False,True,40
2000-04-13,101561.50006329166,101583.6662637023,0,0.0,0.8051660676432946,False,True,40
2000-04-14,101583.6662637023,101605.83730197414,0,0.0,0.5517149170872555,False,True,40
2000-04-17,101605.83730197414,101628.01317916307,0,0.0,0.49282926339488436,False,True,40
2000-04-18,101628.01317916307,101650.19389632519,0,0.0,0.4827267157280265,False,True,40
2000-04-19,101650.19389632519,101672.37945451685,0,0.0,0.48292289245204045,False,True,40
2000-04-20,101672.37945451685,101694.56985479462,0,0.0,0.49425246771518305,False,True,40
2000-04-24,101694.56985479462,101716.76509821531,0,0.0,0.4951635327114371,False,True,40
2000-04-25,101716.76509821531,101738.96518583596,0,0.0,0.43969328167049204,False,True,40
2000-04-26,101738.96518583596,101761.17011871382,0,0.0,0.43767356547444924,False,True,40
2000-04-27,101761.17011871382,101783.3798979064,0,0.0,0.4377351608524301,False,True,40
2000-04-28,101783.3798979064,101805.59452447142,0,0.0,0.443147516624481,False,True,40
2000-05-01,101805.59452447142,101827.81399946685,0,0.0,0.44162832391167944,False,True,40
2000-05-02,101827.81399946685,101850.03832395085,0,0.0,0.43454803152191873,False,True,40
2000-05-03,101850.03832395085,101872.26749898188,0,0.0,0.4249491616466743,False,True,40
2000-05-04,101872.26749898188,101894.50152561856,0,0.0,0.4229112103593289,False,True,40
2000-05-05,101894.50152561856,101916.74040491978,0,0.0,0.4209964053359389,False,True,40
2000-05-08,101916.74040491978,101938.98413794466,0,0.0,0.4221454586665514,False,True,40
2000-05-09,101938.98413794466,101961.23272575255,0,0.0,0.4215943256444755,False,True,40
2000-05-10,101961.23272575255,101983.48616940301,0,0.0,0.4138116335100784,False,True,40
2000-05-11,101983.48616940301,102005.74446995585,0,0.0,0.41285590647466164,False,True,40
2000-05-12,102005.74446995585,102028.00762847112,0,0.0,0.41352891341505305,False,True,40
2000-05-15,102028.00762847112,102050.27564600909,0,0.0,0.502881425292349,False,True,40
2000-05-16,102050.27564600909,102072.54852363025,0,0.0,0.5443312866073601,False,True,40
2000-05-17,102072.54852363025,102094.82626239532,0,0.0,0.5694554917131874,False,True,40
2000-05-18,102094.82626239532,47216.40872259011,5,0.0,0.5659066994838081,False,True,40
2000-05-19,100062.27965605889,47226.713891160514,5,-0.019908419268108192,0.5549536091570637,False,True,40
2000-05-22,98979.29735791,47237.02130887486,5,-0.030516031208849395,0.557823800209572,False,True,40
2000-05-23,96364.36858809697,31911.688097855047,5,-0.05612877639431424,0.6757819299649493,False,True,40
2000-05-24,97863.82496470888,31918.652950416086,5,-0.041441877640423064,0.6507824238724225,False,True,40
