date,value,cash,positions,drawdown,leverage,in_protection,risk_on,universe_size
2000-01-03,100000.0,100013.88888888889,0,0.0,1.0,False,True,40
2000-01-04,100013.88888888889,100027.77970679013,0,0.0,1.0,False,True,40
2000-01-05,100027.77970679013,100041.67245397162,0,0.0,1.0,False,True,40
2000-01-06,100041.67245397162,100055.56713070134,0,0.0,1.0,False,True,40
2000-01-07,100055.56713070134,100069.46373724726,0,0.0,1.0,False,True,40
2000-01-10,100069.46373724726,100083.36227387744,0,0.0,1.0,False,True,40
2000-01-11,100083.36227387744,100097.26274085992,0,0.0,1.0,False,True,40
2000-01-12,100097.26274085992,100111.16513846282,0,0.0,1.0,False,True,40
2000-01-13,100111.16513846282,100125.06946695427,0,0.0,1.0,False,True,40
2000-01-14,100125.06946695427,100138.97572660245,0,0.0,1.0,False,True,40
2000-01-18,100138.97572660245,100152.88391767559,0,0.0,1.0,False,True,40
2000-01-19,100152.88391767559,100166.79404044194,0,0.0,1.0,False,True,40
2000-01-20,100166.79404044194,100180.70609516978,0,0.0,1.0,False,True,40
2000-01-21,100180.70609516978,100194.62008212744,0,0.0,1.0,False,True,40
2000-01-24,100194.62008212744,100208.53600158328,0,0.0,1.0,False,True,40
2000-01-25,100208.53600158328,100222.45385380572,0,0.0,1.0,False,True,40
2000-01-26,100222.45385380572,100236.3736390632,0,0.0,1.0,False,True,40
2000-01-27,100236.3736390632,100250.29535762417,0,0.0,1.0,False,True,40
2000-01-28,100250.29535762417,100264.21900975717,0,0.0,1.0,False,True,40
2000-01-31,100264.21900975717,100278.14459573074,0,0.0,1.0,False,True,40
2000-02-01,100278.14459573074,100292.07211581348,0,0.0,1.0,False,True,40
2000-02-02,100292.07211581348,100306.00157027402,0,0.0,0.4777313084299849,False,True,40
2000-02-03,100306.00157027402,100319.932959381,0,0.0,0.47150409864058707,False,True,0
2000-02-04,100319.932959381,100333.86628340313,0,0.0,0.4803861022158779,False,True,0
2000-02-07,100333.86628340313,100347.80154260916,0,0.0,0.648736205265246,False,True,0
2000-02-08,100347.80154260916,100361.73873726785,0,0.0,0.6339655261302,False,True,0
2000-02-09,100361.73873726785,100375.67786764803,0,0.0,0.6136696111922622,False,True,0
2000-02-10,100375.67786764803,100389.61893401854,0,0.0,0.6190485908106337,False,True,0
2000-02-11,100389.61893401854,100403.56193664826,0,0.0,0.609246691641432,False,True,0
2000-02-14,100403.56193664826,100417.50687580612,0,0.0,0.6220022273329695,False,True,0
2000-02-15,100417.50687580612,100431.4537517611,0,0.0,0.6120764698258746,False,True,0
2000-02-16,100431.4537517611,100445.40256478218,0,0.0,0.6084428088741186,False,True,0
2000-02-17,100445.40256478218,100459.3533151384,0,0.0,0.6192372938173376,False,True,0
2000-02-18,100459.3533151384,100473.30600309884,0,0.0,0.5958754570892992,False,True,0
2000-02-22,100473.30600309884,100487.2606289326,0,0.0,0.6424955700039536,False,True,0
2000-02-23,100487.2606289326,100501.21719290885,0,0.0,0.6415508617324405,False,True,0
2000-02-24,100501.21719290885,100515.17569529676,0,0.0,0.6200615119826446,False,True,0
2000-02-25,100515.17569529676,100529.13613636555,0,0.0,0.6201343172200491,False,True,0
2000-02-28,100529.13613636555,100543.09851638449,0,0.0,0.6516965076264519,False,True,0
2000-02-29,100543.09851638449,100557.06283562287,0,0.0,0.7124481131342832,False,True,0
2000-03-01,100557.06283562287,100571.02909435004,0,0.0,0.7176158854865758,False,True,0
2000-03-02,100571.02909435004,100584.99729283537,0,0.0,0.7176889899183936,False,True,0
2000-03-03,100584.99729283537,100598.96743134827,0,0.0,0.7040361393922425,False,True,0
2000-03-06,100598.96743134827,100612.93951015818,0,0.0,0.6970435763829883,False,True,40
2000-03-07,100612.93951015818,100626.91352953459,0,0.0,0.6668623178501146,False,True,40
2000-03-08,100626.91352953459,100640.88948974703,0,0.0,0.689701282185152,False,True,40
2000-03-09,100640.88948974703,100654.86739106505,0,0.0,0.6425126598082349,False,True,40
2000-03-10,100654.86739106505,100668.84723375826,0,0.0,0.6408697370908732,False,True,40
2000-03-13,100668.84723375826,100682.82901809628,0,0.0,0.6646093977557211,False,True,40
2000-03-14,100682.82901809628,100696.81274434879,0,0.0,0.652014186330664,False,True,40
2000-03-15,100696.81274434879,100710.7984127855,0,0.0,0.6193706558565596,False,True,40
2000-03-16,100710.7984127855,100724.78602367616,0,0.0,0.5213854739407362,False,True,40
2000-03-17,100724.78602367616,100738.77557729057,0,0.0,0.523671589099727,False,True,40
2000-03-20,100738.77557729057,100752.76707389852,0,0.0,0.5489641621534777,False,True,40
2000-03-21,100752.76707389852,100766.7605137699,0,0.0,0.5395940768778921,False,True,40
2000-03-22,100766.7605137699,100780.75589717459,0,0.0,0.5416186059797332,False,True,40
2000-03-23,100780.75589717459,100794.75322438253,0,0.0,0.5696838098627649,False,True,40
2000-03-24,100794.75322438253,100808.75249566369,0,0.0,0.5759797914707978,False,True,40
2000-03-27,100808.75249566369,100822.7537112881,0,0.0,0.5712150783095626,False,True,40
2000-03-28,100822.7537112881,100836.75687152578,0,0.0,0.5654817868961581,False,True,40
2000-03-29,100836.75687152578,100850.76197664683,0,0.0,0.5650268695310314,False,True,40
2000-03-30,100850.76197664683,100864.76902692136,0,0.0,0.5435735729424847,False,True,40
2000-03-31,100864.76902692136,100878.77802261955,0,0.0,0.5517169047088667,False,True,40
2000-04-03,100878.77802261955,100892.78896401158,0,0.0,0.5608681452616809,False,True,40
2000-04-04,100892.78896401158,100906.8018513677,0,0.0,0.5844523187914975,False,True,40
