symbol,entry_date,exit_date,exit_reason,pnl,return
SLB,2000-05-18,2000-05-22,position_stop,-1766.1642824168794,-0.08908167629674665
AMD,2000-05-18,2000-05-23,position_stop,-1215.9272748791923,-0.1271907514450867
TXN,2000-05-18,2000-05-23,position_stop,-1297.4317143785279,-0.11787221517998815
ADBE,2000-05-18,2000-05-25,position_stop,-555.0587238930955,-0.09133936239183747
SBUX,2000-05-18,2000-05-25,hold_expired,-214.28846245485227,-0.02674453021280928
TXN,2000-05-23,2000-05-26,trailing_stop,752.719003885663,0.046849543572755926
ORCL,2000-05-22,2000-05-30,hold_expired,2442.5952135741195,0.09404954157715247
AMD,2000-05-23,2000-05-31,trailing_stop,1367.465032062985,0.08116556291390722
ADBE,2000-05-25,2000-06-02,hold_expired,1437.2483410766372,0.1961337160336529
SLB,2000-05-25,2000-06-02,hold_expired,-701.1814796690408,-0.0582412282064248
TXN,2000-05-26,2000-06-05,hold_expired,3539.7517920850105,0.25370702669921513
WFC,2000-05-30,2000-06-05,trailing_stop,108.17207049280688,0.005480428314826107
AMD,2000-05-31,2000-06-07,trailing_stop,1257.9776859306564,0.06576013720445921
ADBE,2000-06-02,2000-06-07,position_stop,-801.3750676251896,-0.08563221339839194
SLB,2000-06-02,2000-06-09,hold_expired,439.1565197438388,0.02783221475283618
USB,2000-06-05,2000-06-09,position_stop,-995.9695298251243,-0.08438517934935101
PEP,2000-06-05,2000-06-12,hold_expired,1523.2655286537633,0.06582963507043729
AMD,2000-06-07,2000-06-14,hold_expired,-589.9213419627426,-0.03737931034482759
ADBE,2000-06-07,2000-06-14,trailing_stop,1042.9257161311737,0.06645645953769486
TXN,2000-06-09,2000-06-16,hold_expired,-381.5594904739977,-0.020914975658218645
SCHW,2000-06-09,2000-06-16,hold_expired,1745.025029345364,0.1349515480268885
ORCL,2000-06-12,2000-06-19,hold_expired,1189.581062469954,0.06749626879641747
HON,2000-06-19,2000-06-20,position_stop,-1505.4542926759736,-0.08998671574526157
AMD,2000-06-14,2000-06-21,hold_expired,2443.301541014843,0.1343044776119403
ADBE,2000-06-14,2000-06-21,hold_expired,909.1846549564426,0.05657074097694054
USB,2000-06-16,2000-06-21,trailing_stop,237.68804612556622,0.015494972749897407
