symbol,entry_date,exit_date,exit_reason,pnl,return,side
AMD,2022-01-03,2022-01-05,position_stop,-1275.971281312509,-0.09379000986072801,long
TSLA,2022-01-03,2022-01-05,position_stop,-1026.5188861032693,-0.09306956590018145,long
NVDA,2022-01-03,2022-01-05,position_stop,-1076.4053107286425,-0.08359612720756407,long
AVGO,2022-01-03,2022-01-10,hold_expired,-1297.4400988092752,-0.06357528193783178,long
QCOM,2022-01-03,2022-01-10,hold_expired,-825.2893369448435,-0.035073871411603036,long
TSLA,2022-01-05,2022-01-12,hold_expired,224.65629975488451,0.016631415346786735,long
AMD,2022-01-05,2022-01-12,hold_expired,164.1249067899708,0.009687898518905544,long
NVDA,2022-01-05,2022-01-12,hold_expired,253.33183833326967,0.014273127004270908,long
AVGO,2022-01-10,2022-01-18,hold_expired,-1352.1064305739824,-0.0698383338985169,long
COST,2022-01-10,2022-01-18,hold_expired,-1146.8194259965203,-0.05923495087590898,long
TSLA,2022-01-12,2022-01-19,position_stop,-831.0184633136869,-0.09995568669435546,long
QCOM,2022-01-12,2022-01-20,portfolio_stop,-1945.5177126657102,-0.10686140392177222,long
HD,2022-01-12,2022-01-20,portfolio_stop,-2310.8978715898743,-0.10226270299132978,long
AVGO,2022-01-18,2022-01-20,portfolio_stop,-961.5559381293502,-0.0520617981868571,long
MU,2022-01-18,2022-01-20,portfolio_stop,-1300.27573773162,-0.0839993421862698,long
TSLA,2022-01-19,2022-01-20,portfolio_stop,6.196748110091129,0.0006196907758447168,long
AMD,2022-01-20,2022-01-25,position_stop,-1568.2334984184065,-0.0882845367964154,long
TSLA,2022-01-20,2022-01-27,position_stop,-2018.562322367745,-0.1677988745557427,long
AMD,2022-01-25,2022-02-01,hold_expired,1054.1365839942532,0.0508323734859551,long
TSLA,2022-01-27,2022-02-02,trailing_stop,1597.8986169961204,0.09233743393732077,long
CVX,2022-02-01,2022-02-08,hold_expired,229.25078446671927,0.012232775840712239,long
TSLA,2022-02-02,2022-02-09,hold_expired,546.4957160592414,0.02908044643559354,long
QCOM,2022-02-09,2022-02-11,position_stop,-1995.2471265357942,-0.10498024404105057,long
XOM,2022-02-08,2022-02-15,hold_expired,-330.3324222971972,-0.017524919324301804,long
QCOM,2022-02-11,2022-02-17,trailing_stop,240.85005642007727,0.01311289938755811,long
XOM,2022-02-15,2022-02-23,hold_expired,-288.34683438930034,-0.01565751761749082,long
QCOM,2022-02-17,2022-02-25,hold_expired,457.38103361161706,0.024753604752375882,long
MU,2022-02-23,2022-03-02,hold_expired,1259.763050896614,0.06859449154552504,long
XOM,2022-02-25,2022-03-04,hold_expired,1488.9587672464986,0.08027815867766736,long
MU,2022-03-02,2022-03-04,position_stop,-2306.558305444796,-0.12209017849581227,long
MU,2022-03-04,2022-03-11,position_stop,-1421.6714911083097,-0.11098803991804602,long
QCOM,2022-03-04,2022-03-11,hold_expired,-1000.4610754158119,-0.06114316630422037,long
XOM,2022-03-11,2022-03-15,position_stop,-1240.5080126943049,-0.09068717246555823,long
CVX,2022-03-11,2022-03-18,hold_expired,-782.0074346789374,-0.0536638311251663,long
XOM,2022-03-15,2022-03-22,hold_expired,1120.3455797584365,0.059814349459121334,long
CVX,2022-03-18,2022-03-25,hold_expired,803.6449273533286,0.04686119495774677,long
XOM,2022-03-22,2022-03-29,hold_expired,116.40405553411388,0.006461924656827859,long
CVX,2022-03-25,2022-04-01,hold_expired,-541.0898673563287,-0.030070025680708573,long
XOM,2022-03-29,2022-04-05,hold_expired,78.58758097242796,0.004356832292062618,long
CVX,2022-04-01,2022-04-08,hold_expired,620.5446341185973,0.03476314803006338,long
XOM,2022-04-05,2022-04-12,hold_expired,621.9559176122411,0.0346771040512316,long
CVX,2022-04-08,2022-04-18,hold_expired,421.83824475930237,0.023297055718016938,long
XOM,2022-04-12,2022-04-20,hold_expired,502.9343462291914,0.027556378287234524,long
CVX,2022-04-18,2022-04-25,position_stop,-1729.80562987484,-0.0943193539656875,long
XOM,2022-04-20,2022-04-27,hold_expired,-697.4618228338303,-0.037757026373693096,long
CVX,2022-04-25,2022-05-02,hold_expired,256.39734266297535,0.014342816527638306,long
XOM,2022-04-27,2022-05-04,hold_expired,1488.1459116017138,0.0833982374266603,long
CVX,2022-05-02,2022-05-09,trailing_stop,-56.26866319803604,-0.0031371519564199536,long
XOM,2022-05-04,2022-05-11,hold_expired,-984.5208285590576,-0.053556540489837816,long
CVX,2022-05-09,2022-05-16,hold_expired,1574.3250192434887,0.08639770967791902,long
XOM,2022-05-11,2022-05-18,hold_expired,990.5927654725266,0.055160824566088326,long
CVX,2022-05-16,2022-05-23,hold_expired,13.027700128781099,0.000702441361966957,long
XOM,2022-05-18,2022-05-25,hold_expired,1163.7395891815918,0.06231507107192282,long
CVX,2022-05-23,2022-05-31,hold_expired,318.9720634741327,0.01711409264309869,long
XOM,2022-05-25,2022-06-02,hold_expired,270.38964241966306,0.014214418017405386,long
CVX,2022-05-31,2022-06-07,hold_expired,602.5724090609639,0.031712243369732905,long
XOM,2022-06-02,2022-06-09,hold_expired,910.8110999939091,0.04770031861325767,long
CVX,2022-06-07,2022-06-14,hold_expired,-1351.9840190853508,-0.0702060352228852,long
XOM,2022-06-09,2022-06-16,position_stop,-2084.588621903093,-0.1069203043918304,long
CVX,2022-06-14,2022-06-17,position_stop,-2172.548814020466,-0.11442065148311203,long
XOM,2022-06-16,2022-06-24,hold_expired,-908.3099474784299,-0.04914235176446679,long
