symbol,entry_date,exit_date,exit_reason,pnl,return,side
GS,2021-01-04,2021-01-14,short_stop,-307.3860150614054,-0.16177361412647726,short
WFC,2021-01-04,2021-01-14,short_stop,-323.2082436829315,-0.17003367234988193,short
BAC,2021-01-04,2021-02-19,short_stop,-285.49132288928945,-0.15018344158077965,short
MS,2021-01-04,2021-02-24,short_stop,-332.6478676823304,-0.1750433024501236,short
C,2021-01-04,2021-02-24,short_stop,-285.82617186448914,-0.1503948628459228,short
USB,2021-01-04,2021-03-08,short_stop,-326.79339867677584,-0.1719427981512327,short
D,2021-01-04,2021-04-06,rebalance,-82.03737976953416,-0.04314384691181427,short
DUK,2021-01-04,2021-04-06,rebalance,-188.02509930894828,-0.09893322699200102,short
SO,2021-01-04,2021-04-06,rebalance,-141.42339201828176,-0.07439265636081266,short
MCD,2021-01-04,2021-04-06,rebalance,-208.95450249290954,-0.10996538941022377,short
WFC,2021-04-06,2021-04-29,short_stop,-319.80763284050306,-0.16035153843795005,short
MS,2021-04-06,2021-05-28,short_stop,-308.7684352608921,-0.1548412759142635,short
GS,2021-04-06,2021-06-01,short_stop,-345.4762770591012,-0.17327587569363698,short
C,2021-04-06,2021-07-06,rebalance,107.46340333076627,0.05393392891008228,short
D,2021-04-06,2021-07-06,rebalance,9.413004985469676,0.004753667510871124,short
BAC,2021-04-06,2021-07-06,rebalance,-27.673276379819182,-0.01382368331625953,short
DUK,2021-04-06,2021-07-06,rebalance,-65.86467946851175,-0.03301127726353014,short
SO,2021-04-06,2021-07-06,rebalance,26.612389827782437,0.013386034925910246,short
MCD,2021-04-06,2021-07-06,rebalance,-18.291434532597492,-0.009164943249086295,short
USB,2021-04-06,2021-07-06,rebalance,-6.889260891470851,-0.003411755893120115,short
MS,2021-07-06,2021-08-11,short_stop,-333.97236212990435,-0.1599876354252971,short
WFC,2021-07-06,2021-08-11,short_stop,-354.7891990333908,-0.1699357702406378,short
GS,2021-07-06,2021-10-04,rebalance,-34.480718131612136,-0.01651442900175483,short
C,2021-07-06,2021-10-04,rebalance,-110.6057771727716,-0.052958975626904645,short
D,2021-07-06,2021-10-04,rebalance,40.08069011023032,0.019236025685123306,short
BAC,2021-07-06,2021-10-04,rebalance,-182.01167740231304,-0.0871500113042075,short
DUK,2021-07-06,2021-10-04,rebalance,-39.04063191975214,-0.018681135869824964,short
SO,2021-07-06,2021-10-04,rebalance,-48.27417510302746,-0.023090821112938902,short
MCD,2021-07-06,2021-10-04,rebalance,-104.60305926750917,-0.05010811715048386,short
USB,2021-07-06,2021-10-04,rebalance,-185.82764447590318,-0.08899054623787354,short
GS,2021-10-04,2022-01-03,rebalance,-130.67267251407438,-0.062184436699317676,short
MS,2021-10-04,2022-01-03,rebalance,-80.79256888657079,-0.03842731877346744,short
C,2021-10-04,2022-01-03,rebalance,227.8406496160835,0.10846799929481263,short
D,2021-10-04,2022-01-03,rebalance,-163.43485276780274,-0.07774960420591892,short
BAC,2021-10-04,2022-01-03,rebalance,-148.57033204008428,-0.07065699330972598,short
DUK,2021-10-04,2022-01-03,rebalance,-78.03100779390881,-0.03711325063227593,short
SO,2021-10-04,2022-01-03,rebalance,-217.53798915954815,-0.10349421775735501,short
WFC,2021-10-04,2022-01-03,rebalance,-174.6406122450397,-0.08306832423958502,short
MCD,2021-10-04,2022-01-03,rebalance,-233.31038866449964,-0.11102916610464936,short
USB,2021-10-04,2022-01-03,rebalance,96.79058122768967,0.046105075554702585,short
GS,2022-01-03,2022-01-20,portfolio_stop,257.9264971156551,0.11946415688622376,short
MS,2022-01-03,2022-01-20,portfolio_stop,7.708194084241765,0.003570214451353584,short
C,2022-01-03,2022-01-20,portfolio_stop,-46.61342272080442,-0.02159000066761289,short
BAC,2022-01-03,2022-01-20,portfolio_stop,19.999975238533118,0.009263414989679598,short
TFC,2022-01-03,2022-01-20,portfolio_stop,-97.31651337793025,-0.045074218243611824,short
NEE,2022-01-03,2022-01-20,portfolio_stop,191.91838341359855,0.08889109153912123,short
D,2022-01-03,2022-01-20,portfolio_stop,-20.458175978270848,-0.0094756404324687,short
USB,2022-01-03,2022-01-20,portfolio_stop,12.350019343609134,0.005720174797517033,short
PNC,2022-01-03,2022-01-20,portfolio_stop,1.7551780497075193,0.0008129481392502833,short
JPM,2022-01-03,2022-01-20,portfolio_stop,175.6149976189832,0.0813398307724881,short
GS,2022-12-02,2023-03-07,rebalance,104.16263892912457,0.08413995626593651,short
MS,2022-12-02,2023-03-07,rebalance,-63.67717091464634,-0.05140918532262864,short
C,2022-12-02,2023-03-07,rebalance,-113.89918703575243,-0.09195123642526706,short
BAC,2022-12-02,2023-03-07,rebalance,98.2690081075396,0.07943385435432859,short
TFC,2022-12-02,2023-03-07,rebalance,13.939549081153924,0.011312037268013641,short
NEE,2022-12-02,2023-03-07,rebalance,159.42737105629246,0.12879835694859817,short
D,2022-12-02,2023-03-07,rebalance,105.0801264396993,0.0849137869751106,short
USB,2022-12-02,2023-03-07,rebalance,-12.827580804527313,-0.010309985908756517,short
PNC,2022-12-02,2023-03-07,rebalance,129.67310297315066,0.10475346373031287,short
JPM,2022-12-02,2023-03-07,rebalance,-41.091888753788496,-0.03317475303281467,short
GS,2023-03-07,2023-06-06,rebalance,73.41181505938636,0.04851960781166894,short
MS,2023-03-07,2023-06-06,rebalance,148.93112537714714,0.0984425416987199,short
C,2023-03-07,2023-06-06,rebalance,98.94915930862845,0.06543296997158722,short
BAC,2023-03-07,2023-06-06,rebalance,162.08061928786455,0.10717440667117006,short
PNC,2023-03-07,2023-06-06,rebalance,184.45516521443463,0.12191071536706076,short
SCHW,2023-03-07,2023-06-06,rebalance,404.7912380461543,0.26752988732178945,short
D,2023-03-07,2023-06-06,rebalance,64.85542186430575,0.042901008146541644,short
TFC,2023-03-07,2023-06-06,rebalance,357.0214613704058,0.23598723630771337,short
JPM,2023-03-07,2023-06-06,rebalance,-19.820973402688047,-0.0130829899621164,short
DUK,2023-03-07,2023-06-06,rebalance,46.09276391504634,0.030483954476502335,short
SCHW,2023-06-06,2023-07-18,short_stop,-426.23661794820475,-0.20875307150505146,short
GS,2023-06-06,2023-09-06,rebalance,18.67910950024627,0.009156426107537132,short
MS,2023-06-06,2023-09-06,rebalance,21.85994345850532,0.010733542363649148,short
C,2023-06-06,2023-09-06,rebalance,232.06550281494142,0.1137233218887897,short
BAC,2023-06-06,2023-09-06,rebalance,41.99382266803316,0.020643553474316585,short
PNC,2023-06-06,2023-09-06,rebalance,106.40446069004457,0.05213962808136711,short
D,2023-06-06,2023-09-06,rebalance,199.28676166791524,0.09766408498447694,short
TFC,2023-06-06,2023-09-06,rebalance,174.7033278211718,0.08564794037738309,short
JPM,2023-06-06,2023-09-06,rebalance,-96.95436901033247,-0.04747760945742175,short
