symbol,entry_date,exit_date,exit_reason,pnl,return
AMD,2000-05-18,2000-05-23,position_stop,-14851.608400342164,-0.1271791907514451
MU,2000-05-18,2000-05-23,position_stop,-11275.165250498545,-0.09846365839801673
TXN,2000-05-18,2000-05-23,position_stop,-15788.590450474949,-0.11763238795035137
ADBE,2000-05-18,2000-05-25,position_stop,-6770.4385978729515,-0.09132161391682325
SBUX,2000-05-18,2000-05-25,hold_expired,-2610.691988730533,-0.02665135586194143
AMAT,2000-05-23,2000-05-26,trailing_stop,5028.26136364792,0.03389405742706037
AMD,2000-05-23,2000-05-31,trailing_stop,14941.105279336258,0.0827682119205298
MU,2000-05-23,2000-05-31,hold_expired,34802.87490218266,0.19806421873029445
ADBE,2000-05-25,2000-05-31,trailing_stop,8932.439755853484,0.07713358967004134
ORCL,2000-05-25,2000-05-31,trailing_stop,10744.723314024264,0.08182523663311246
TXN,2000-05-26,2000-06-05,hold_expired,35555.978943126094,0.25371922677403236
ADBE,2000-05-31,2000-06-06,trailing_stop,2490.4116885321014,0.027744600699051002
MU,2000-05-31,2000-06-06,trailing_stop,11416.23428446015,0.10186938065975812
AMD,2000-05-31,2000-06-07,trailing_stop,5546.756603416395,0.06420795107033639
ABT,2000-05-31,2000-06-07,hold_expired,-2584.4566585450325,-0.01234166597497026
PFE,2000-06-05,2000-06-12,trailing_stop,8522.829187141066,0.03797827691927151
MU,2000-06-06,2000-06-13,hold_expired,12275.0191247305,0.07055284235075328
ADBE,2000-06-06,2000-06-13,hold_expired,14303.594671680352,0.09938834933663183
AMD,2000-06-07,2000-06-14,hold_expired,-5461.692600972132,-0.037367816091954026
ORCL,2000-06-07,2000-06-14,hold_expired,-1937.6179835030196,-0.012515547525232658
TXN,2000-06-12,2000-06-15,trailing_stop,3231.448604116095,0.01736744137678383
MU,2000-06-13,2000-06-20,hold_expired,21183.429157397703,0.08938779675924872
ADBE,2000-06-13,2000-06-20,hold_expired,4936.755218296183,0.031925278513223895
AMD,2000-06-14,2000-06-21,hold_expired,21750.40298268126,0.13431641791044777
HPQ,2000-06-14,2000-06-21,hold_expired,7225.89194148623,0.04968413951382864
ORCL,2000-06-15,2000-06-22,hold_expired,-1977.8261573359057,-0.012135540995317017
AMD,2000-06-21,2000-06-26,position_stop,-13949.09701127426,-0.08158947368421053
MU,2000-06-20,2000-06-27,hold_expired,334.2565717616125,0.001384960453475629
HON,2000-06-20,2000-06-27,position_stop,-15517.338574032381,-0.09217766216742532
BAC,2000-06-21,2000-06-28,hold_expired,-7739.237744268559,-0.04629991406947153
ADBE,2000-06-22,2000-06-29,hold_expired,4333.43537482734,0.026312669433376526
AMD,2000-06-26,2000-06-29,position_stop,-20378.019878402076,-0.12608595988538682
MU,2000-06-27,2000-07-05,hold_expired,-13256.891560028054,-0.06945023974377287
