symbol,entry_date,exit_date,exit_reason,pnl,return
MU,2000-07-17,2000-07-21,position_stop,-2321.2103178121847,-0.1327309053819713
AMD,2000-07-17,2000-07-21,position_stop,-1559.0609911765123,-0.12193972602739725
BIIB,2000-07-17,2000-07-24,hold_expired,-723.040441313003,-0.068530282477871
ADBE,2000-07-17,2000-07-24,hold_expired,-1366.7155002440893,-0.07314404929236676
MS,2000-07-17,2000-07-24,hold_expired,462.1618165865368,0.021688073758804105
MU,2000-07-21,2000-07-26,trailing_stop,-0.22645533893983774,-1.242313262512985e-05
ADBE,2000-07-24,2000-07-27,position_stop,-1460.9701981160165,-0.09339194896615105
SCHW,2000-07-21,2000-07-28,position_stop,-921.0306801454753,-0.08421219764555736
BIIB,2000-07-24,2000-07-28,trailing_stop,-219.91361097092906,-0.018014782521081348
MS,2000-07-24,2000-07-31,hold_expired,-458.1420200845747,-0.030566182036549358
MU,2000-07-26,2000-08-02,hold_expired,-431.9848920898014,-0.02652768666166223
ADBE,2000-07-27,2000-08-03,hold_expired,33.4688800731332,0.0021671845639475414
SCHW,2000-07-28,2000-08-03,trailing_stop,1228.103609619055,0.06797397690383694
BIIB,2000-07-28,2000-08-04,hold_expired,1962.144925936494,0.18100861473712873
MU,2000-08-02,2000-08-04,position_stop,-1228.9750831999597,-0.08950717420997815
MS,2000-07-31,2000-08-07,hold_expired,1003.5631137209646,0.08148397305068805
SCHW,2000-08-03,2000-08-10,trailing_stop,284.9148082528205,0.020909029098214207
C,2000-08-03,2000-08-10,trailing_stop,-29.32509812225573,-0.0017563758262863374
MU,2000-08-04,2000-08-10,trailing_stop,356.34400458103676,0.02562731139792765
BA,2000-08-04,2000-08-11,hold_expired,228.15720859233463,0.015651586827639903
MS,2000-08-07,2000-08-14,hold_expired,766.2567059791209,0.05444473173823499
SCHW,2000-08-10,2000-08-15,trailing_stop,254.40411079415279,0.018512486716787003
MU,2000-08-10,2000-08-17,hold_expired,2512.5739100237133,0.19831985729016033
C,2000-08-10,2000-08-17,hold_expired,791.3897067038813,0.05003978656727876
AIG,2000-08-11,2000-08-18,hold_expired,55.58718877970403,0.0036069183646613295
SCHW,2000-08-15,2000-08-18,trailing_stop,-171.00106434785152,-0.011626174535440651
MS,2000-08-14,2000-08-21,hold_expired,-319.4651225560569,-0.021041155958591802
