symbol,year,total_revenue,total_debt,ratio
AAPL,2025,416161000000.0,98657000000.0,4.218261248568272
AAPL,2024,391035000000.0,106629000000.0,3.6672481219930786
AAPL,2023,383285000000.0,111088000000.0,3.450282658793029
AAPL,2022,394328000000.0,132480000000.0,2.976509661835749
MSFT,2025,281724000000.0,60588000000.0,4.64983164983165
MSFT,2024,245122000000.0,67127000000.0,3.651615594321212
MSFT,2023,211915000000.0,59965000000.0,3.5339781539231216
MSFT,2022,198270000000.0,61270000000.0,3.2360045699363473
NVDA,2025,130497000000.0,10270000000.0,12.706621226874391
NVDA,2024,60922000000.0,11056000000.0,5.510311143270623
NVDA,2023,26974000000.0,12031000000.0,2.242041393067908
NVDA,2022,26914000000.0,11831000000.0,2.274871101343927
GOOGL,2025,402836000000.0,59291000000.0,6.794218346797996
GOOGL,2024,350018000000.0,22574000000.0,15.505360148843803
GOOGL,2023,307394000000.0,27121000000.0,11.334169094059954
GOOGL,2022,282836000000.0,29679000000.0,9.529835910913441
META,2025,200966000000.0,83897000000.0,2.3953895848480875
META,2024,164501000000.0,49060000000.0,3.353057480635956
META,2023,134902000000.0,37234000000.0,3.623086426384487
META,2022,116609000000.0,26591000000.0,4.3852807340829605
AVGO,2025,63887000000.0,65136000000.0,0.9808247359371162
AVGO,2024,51574000000.0,67566000000.0,0.7633129088594856
AVGO,2023,35819000000.0,39229000000.0,0.9130745112034464
AVGO,2022,33203000000.0,39515000000.0,0.8402631911932178
ADBE,2025,23769000000.0,6648000000.0,3.575361010830325
ADBE,2024,21505000000.0,6056000000.0,3.5510237780713343
ADBE,2023,19409000000.0,4080000000.0,4.757107843137255
ADBE,2022,17606000000.0,4633000000.0,3.800129505719836
CRM,2025,37895000000.0,11392000000.0,3.3264571629213484
CRM,2024,34857000000.0,12588000000.0,2.76906577693041
CRM,2023,31352000000.0,14088000000.0,2.225440090857467
CRM,2022,26492000000.0,13985000000.0,1.894315337861995
AMD,2025,34639000000.0,3847000000.0,9.0041590850013
AMD,2024,25785000000.0,2212000000.0,11.656871609403256
AMD,2023,22680000000.0,3003000000.0,7.5524475524475525
